DM,PGC,Name,Inc,e_Inc,HRV,Wmx,e_Wmx,m21,e_m21,umag,rmag,W1mag,Reu,Rer,ReW1,Au,e_Au,Ar,e_Ar,AW1,e_AW1,Gu,Gr,Gw1,QSflag,QWflag,ALFALFA,ADHI,SimbadName,LEDA,_RA,_DE,_ivoid,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1,logW,M_W1,M_pred,residual_M,mu_tf,d_tf_mpc,d_catalog_mpc
*,10658,PGC010658,84,3,3409,206,5,16.805,0.056,,,13.8,,,0.23,,,,,0.06,0.01,1.23,0.71,0.07,0,5,1,0,LEDA   10658,LEDA,42.22312,8.4058,ivo://CDS.VizieR/J/ApJ/902/145:table1:1375,3488,3189,1.008,32.48,0.14,,,,,,,,,,32.48,0.14,0.64,2.3138672203691533,-18.679999999999996,-19.12390639846968,0.4439063984696823,32.92390639846968,38.43981418830042,31.332857243155807
*,10661,UGC02289,78,3,6373,283,11,16.878,0.076,,,14.0,,,0.22,,,,,0.04,0.01,1.23,0.71,0.07,0,5,2,1,LEDA   10661,LEDA,42.25471,15.73339,ivo://CDS.VizieR/J/ApJ/902/145:table1:1377,6482,6154,1.016,34.17,0.19,,,,,,,,,,34.17,0.19,0.57,2.45178643552429,-20.17,-20.294150937530514,0.1241509375305121,34.29415093753052,72.24872502751765,68.233869414167
*,10673,NGC1110,89,1,1332,159,13,13.769,0.185,14.61,13.48,14.04,0.81,0.8,0.64,1.08,0.07,0.48,0.05,0.0,0.0,0.76,0.31,0.01,5,5,0,1,LEDA   10673,LEDA,42.28883,-7.83995,ivo://CDS.VizieR/J/ApJ/902/145:table1:1379,1342,1125,1.003,31.12,0.32,31.11,0.31,0.56,31.11,0.32,0.6,31.13,0.32,0.59,31.35,0.35,0.66,2.2013971243204513,-17.080000000000002,-18.169597634744534,1.089597634744532,32.20959763474453,27.66428989558045,16.749428760264383
*,10677,PGC010677,50,4,10105,318,17,15.826,0.185,,,13.92,,,0.19,,,,,0.02,0.0,1.24,0.71,0.07,0,5,0,1,LEDA   10677,LEDA,42.29345,-10.68006,ivo://CDS.VizieR/J/ApJ/902/145:table1:1380,10102,9902,1.026,35.68,0.34,,,,,,,,,,35.68,0.34,0.48,2.5024271199844326,-21.759999999999998,-20.723837144612858,-1.0361628553871398,34.64383714461286,84.87258481529737,136.77288255958496
*,10695,UGC02304,88,2,7261,506,5,16.539,0.076,,,13.16,,,0.25,,,,,0.05,0.0,1.18,0.64,0.06,0,5,1,1,LEDA   10695,LEDA,42.381,22.14418,ivo://CDS.VizieR/J/ApJ/902/145:table1:1381,7394,7045,1.019,35.29,0.1,,,,,,,,,,35.29,0.1,0.48,2.7041505168397992,-22.13,-22.435460164692103,0.3054601646921036,35.5954601646921,131.55035758497783,114.28783347897712
*,10715,IC1857,58,4,9090,396,19,16.797,0.076,,,13.8,,,0.19,,,,,0.02,0.0,1.19,0.64,0.06,0,5,2,1,LEDA   10715,LEDA,42.41222,14.61977,ivo://CDS.VizieR/J/ApJ/902/145:table1:1383,9194,8871,1.023,35.9,0.28,,,,,,,,,,35.9,0.28,0.48,2.597695185925512,-22.099999999999998,-21.53218668306572,-0.5678133169342772,35.33218668306572,116.52989003145679,151.3561248436207
*,10716,PGC010716,53,4,8462,353,5,16.597,0.076,15.91,13.96,13.56,0.14,0.11,0.15,0.24,0.05,0.12,0.02,0.01,0.0,1.11,0.56,0.05,5,5,0,0,LEDA   10716,LEDA,42.41652,-0.06988,ivo://CDS.VizieR/J/ApJ/902/145:table1:1384,8505,8248,1.022,35.4,0.23,35.39,0.22,0.35,35.4,0.23,0.39,35.4,0.23,0.4,35.4,0.24,0.48,2.5477747053878224,-21.839999999999996,-21.108611406257396,-0.7313885937426008,34.6686114062574,85.84643828243587,120.22644346174118
*,10740,UGC02315,85,2,5561,361,5,15.559,0.076,,,13.82,,,0.24,,,,,0.05,0.0,1.21,0.7,0.06,0,5,1,1,LEDA   10740,LEDA,42.45876,22.75373,ivo://CDS.VizieR/J/ApJ/902/145:table1:1385,5696,5346,1.014,34.81,0.1,,,,,,,,,,34.81,0.1,0.5,2.5575072019056577,-20.990000000000002,-21.191191639103227,0.20119163910322513,35.01119163910323,100.51672446700923,91.62204901220007
*,10741,PGC010741,69,3,8683,346,15,16.504,0.076,,,14.24,,,0.19,,,,,0.03,0.0,1.24,0.71,0.07,0,5,0,1,LEDA   10741,LEDA,42.47151,14.40183,ivo://CDS.VizieR/J/ApJ/902/145:table1:1386,8786,8464,1.022,35.48,0.21,,,,,,,,,,35.48,0.21,0.49,2.5390760987927767,-21.239999999999995,-21.034803729394962,-0.20519627060503254,35.27480372939496,113.49082312732509,124.73835142429407
*,10742,UGC02310,79,5,12629,453,16,16.491,0.047,,,14.06,,,0.18,,,,,0.05,0.01,1.22,0.69,0.07,0,4,0,0,LEDA   10742,LEDA,42.47259,35.86202,ivo://CDS.VizieR/J/ApJ/902/145:table1:1387,12808,12429,1.033,36.08,0.18,,,,,,,,,,36.08,0.18,0.48,2.656098202012832,-22.019999999999996,-22.027736273918524,0.007736273918528269,36.08773627391852,165.0240551190613,164.43717232149308
*,10754,UGC02313,85,2,5750,315,19,16.534,0.185,,,13.71,,,0.27,,,,,0.05,0.0,1.22,0.7,0.06,0,5,0,1,LEDA   10754,LEDA,42.51892,41.38927,ivo://CDS.VizieR/J/ApJ/902/145:table1:1389,5945,5560,1.015,34.24,0.26,,,,,,,,,,34.24,0.26,0.55,2.4983105537896004,-20.53,-20.68890808049539,0.15890808049539018,34.39890808049539,75.81962220700164,70.46930689671474
*,10759,UGC02321,81,3,6433,317,20,16.477,0.076,,,14.28,,,0.23,,,,,0.04,0.01,1.2,0.69,0.06,0,5,0,1,LEDA   10759,LEDA,42.55402,18.35149,ivo://CDS.VizieR/J/ApJ/902/145:table1:1390,6551,6216,1.016,34.92,0.28,,,,,,,,,,34.92,0.28,0.54,2.5010592622177517,-20.64,-20.71223087147775,0.07223087147774976,34.99223087147775,99.6428576852837,96.38290236239715
*,10781,NGC1116,83,3,7707,547,19,16.218,0.076,,,12.94,,,0.29,,,,,0.05,0.01,1.19,0.65,0.06,0,5,0,1,LEDA   10781,LEDA,42.64872,13.33501,ivo://CDS.VizieR/J/ApJ/902/145:table1:1392,7805,7489,1.02,35.3,0.17,,,,,,,,,,35.3,0.17,0.48,2.737987326333431,-22.36,-22.72256549287008,0.362565492870079,35.66256549287008,135.67914513015896,114.81536214968817
*,10817,PGC010817,89,1,6991,265,18,16.454,0.185,17.3,15.03,13.92,0.27,0.26,0.2,1.73,0.11,1.07,0.11,0.05,0.0,1.22,0.7,0.06,5,4,0,1,LEDA   10817,LEDA,42.79215,-6.70633,ivo://CDS.VizieR/J/ApJ/902/145:table1:1396,7004,6785,1.018,34.02,0.27,34.03,0.26,0.5,34.02,0.27,0.5,34.01,0.27,0.49,33.76,0.29,0.59,2.423245873936808,-20.1,-20.051984272777446,-0.04801572722255543,33.97198427277745,62.28691977018298,63.67955209079168
*,10836,UGC02340,56,4,10057,316,13,15.639,0.076,,,14.01,,,0.2,,,,,0.02,0.0,1.23,0.71,0.07,0,5,0,1,LEDA   10836,LEDA,42.8789,13.57495,ivo://CDS.VizieR/J/ApJ/902/145:table1:1397,10155,9840,1.026,35.38,0.27,,,,,,,,,,35.38,0.27,0.48,2.499687082618404,-21.370000000000005,-20.70058792759251,-0.6694120724074928,34.71058792759251,87.52207097375077,119.12420080273762
*,10862,UGC02347,61,4,8222,299,13,15.569,0.076,,,14.33,,,0.2,,,,,0.02,0.0,1.19,0.68,0.06,0,5,0,1,LEDA   10862,LEDA,43.01477,12.13606,ivo://CDS.VizieR/J/ApJ/902/145:table1:1402,8314,8006,1.021,35.25,0.25,,,,,,,,,,35.25,0.25,0.52,2.4756711883244296,-20.92,-20.496813064774646,-0.4231869352253561,34.82681306477465,92.33420472391757,112.2018454301963
*,10875,PGC010875,88,2,5028,381,18,16.12,0.185,16.27,13.79,12.81,0.31,0.26,0.34,1.57,0.27,0.89,0.2,0.06,0.0,1.19,0.65,0.06,5,5,0,0,LEDA   10875,LEDA,43.09746,-8.51034,ivo://CDS.VizieR/J/ApJ/902/145:table1:1403,5032,4826,1.013,33.96,0.2,33.95,0.2,0.35,33.97,0.2,0.39,33.97,0.21,0.4,33.99,0.21,0.48,2.5809249756756194,-21.15,-21.389891449281482,0.2398914492814832,34.19989144928148,69.1796387531362,61.94410750767818
*,10913,UGC02364,76,3,5429,328,5,15.512,0.076,17.04,14.56,13.84,0.27,0.2,0.25,0.72,0.11,0.41,0.06,0.04,0.0,1.18,0.68,0.06,5,4,1,1,LEDA   10913,LEDA,43.33975,6.53942,ivo://CDS.VizieR/J/ApJ/902/145:table1:1404,5497,5216,1.014,34.45,0.13,34.46,0.13,0.37,34.46,0.13,0.39,34.45,0.13,0.4,34.51,0.12,0.52,2.515873843711679,-20.610000000000003,-20.837932595289328,0.22793259528932452,34.67793259528933,86.21573184178743,77.62471166286927
*,10915,PGC010915,74,3,7445,264,11,16.679,0.076,,,14.45,,,0.19,,,,,0.04,0.0,1.22,0.71,0.07,0,5,1,1,LEDA   10915,LEDA,43.35063,9.43133,ivo://CDS.VizieR/J/ApJ/902/145:table1:1405,7525,7231,1.019,34.42,0.21,,,,,,,,,,34.42,0.21,0.59,2.4216039268698313,-19.970000000000002,-20.038052351932368,0.0680523519323657,34.48805235193237,78.99697664524287,76.55966069112569
*,10928,NGC1134,72,6,3656,392,8,13.291,0.185,,,11.12,,,0.47,,,,,0.03,0.01,1.23,0.69,0.07,0,5,0,1,LEDA   10928,LEDA,43.42233,13.01422,ivo://CDS.VizieR/J/ApJ/902/145:table1:1406,3750,3442,1.009,32.52,0.19,,,,,,,,,,32.52,0.19,0.48,2.593286067020457,-21.400000000000006,-21.49477530920526,0.09477530920525368,32.61477530920526,33.33919136052188,31.915378551007663
*,10932,IC0267,73,3,3579,336,7,14.383,0.076,,,12.04,,,0.36,,,,,0.04,0.0,1.23,0.69,0.07,0,5,0,1,LEDA   10932,LEDA,43.45944,12.84925,ivo://CDS.VizieR/J/ApJ/902/145:table1:1407,3672,3365,1.009,32.88,0.14,,,,,,,,,,32.88,0.14,0.51,2.526339277389844,-20.840000000000003,-20.92673179993242,0.08673179993241575,32.96673179993242,39.2054425014252,37.67037989839093
*,10943,UGC02375,80,3,7610,445,5,16.093,0.076,16.63,14.15,13.32,0.28,0.19,0.2,0.91,0.15,0.51,0.09,0.04,0.01,1.21,0.67,0.07,5,4,0,1,LEDA   10943,LEDA,43.51477,6.25786,ivo://CDS.VizieR/J/ApJ/902/145:table1:1410,7676,7398,1.02,34.81,0.13,34.81,0.12,0.35,34.81,0.13,0.39,34.81,0.13,0.4,35.09,0.11,0.48,2.6483600109809315,-21.490000000000002,-21.962077723098723,0.472077723098721,35.28207772309872,113.8716319077312,91.62204901220007
*,10952,UGC02378,88,3,7428,383,20,15.631,0.076,,,13.58,,,0.31,,,,,0.06,0.0,1.2,0.69,0.06,0,5,0,1,LEDA   10952,LEDA,43.5986,11.74738,ivo://CDS.VizieR/J/ApJ/902/145:table1:1411,7516,7215,1.019,34.81,0.23,,,,,,,,,,34.81,0.23,0.48,2.583198773968623,-21.230000000000004,-21.409184627772383,0.1791846277723792,34.98918462777238,99.50317199615891,91.62204901220007
*,10958,PGC010958,66,4,12532,370,5,16.744,0.076,,,14.35,,,0.18,,,,,0.02,0.0,1.24,0.71,0.07,0,4,0,1,LEDA   10958,LEDA,43.61925,14.15531,ivo://CDS.VizieR/J/ApJ/902/145:table1:1413,12630,12319,1.032,35.95,0.16,,,,,,,,,,35.95,0.16,0.48,2.568201724066995,-21.6,-21.281934659523493,-0.31806534047650814,35.631934659523495,133.77868784548477,154.88166189124829
*,10961,PGC010961,54,4,8163,208,22,17.602,0.076,,,14.25,,,0.17,,,,,0.01,0.0,1.23,0.7,0.07,0,5,0,1,LEDA   10961,LEDA,43.6354,9.45129,ivo://CDS.VizieR/J/ApJ/902/145:table1:1414,8242,7950,1.021,34.4,0.5,,,,,,,,,,34.4,0.5,0.6,2.3180633349627615,-20.15,-19.159510430749883,-0.9904895692501157,33.40951043074988,48.07309530477464,75.85775750291832
*,10965,NGC1145,87,2,2064,320,11,13.777,0.076,,,11.76,,,0.54,,,,,0.06,0.0,1.21,0.7,0.06,0,5,0,1,LEDA   10965,LEDA,43.63964,-18.63513,ivo://CDS.VizieR/J/ApJ/902/145:table1:1415,2022,1881,1.005,32.18,0.16,,,,,,,,,,32.18,0.16,0.54,2.505149978319906,-20.42,-20.746940597559135,0.3269405975591333,32.50694059755914,31.724013024773807,27.289777828080403
*,10973,UGC02382,89,2,7519,353,5,15.964,0.076,,,14.13,,,0.27,,,,,0.05,0.0,1.17,0.67,0.06,0,5,0,1,LEDA   10973,LEDA,43.66611,9.35697,ivo://CDS.VizieR/J/ApJ/902/145:table1:1416,7597,7307,1.019,35.04,0.1,,,,,,,,,,35.04,0.1,0.51,2.5477747053878224,-20.909999999999997,-21.108611406257396,0.19861140625739893,35.2386114062574,111.61492743733557,101.85913880541169
*,11004,PGC011004,60,4,3485,371,11,14.92,0.185,,,11.82,,,0.31,,,,,0.02,0.0,1.11,0.56,0.05,0,5,0,1,LEDA   11004,LEDA,43.77416,66.40183,ivo://CDS.VizieR/J/ApJ/902/145:table1:1417,3726,3361,1.009,33.4,0.22,,,,,,,,,,33.4,0.22,0.48,2.569373909615046,-21.58,-21.2918806538857,-0.2881193461142999,33.1118806538857,41.91564280779345,47.8630092322638
*,11011,UGC02380,71,3,4651,434,16,15.392,0.076,,,11.97,,,0.37,,,,,0.03,0.0,1.16,0.61,0.06,0,5,0,1,LEDA   11011,LEDA,43.79574,51.90715,ivo://CDS.VizieR/J/ApJ/902/145:table1:1418,4868,4488,1.012,33.75,0.19,,,,,,,,,,33.75,0.19,0.48,2.637489729512511,-21.78,-21.8698433849598,0.08984338495979927,33.8398433849598,58.609589147318346,56.23413251903491
*,11016,ESO356-018,82,3,1438,117,15,16.147,0.185,,,14.95,,,0.36,,,,,0.01,0.0,0.82,0.37,0.01,0,4,0,0,LEDA   11016,LEDA,43.802,-36.30017,ivo://CDS.VizieR/J/ApJ/902/145:table1:1419,1323,1298,1.003,31.69,0.54,,,,,,,,,,31.69,0.54,0.66,2.0681858617461617,-16.740000000000002,-17.039300073279943,0.2993000732799409,31.989300073279942,24.995395598340277,21.777097723531604
*,11017,UGC02387,73,3,7761,295,19,15.779,0.076,,,14.53,,,0.28,,,,,0.02,0.0,1.08,0.59,0.04,0,5,0,1,LEDA   11017,LEDA,43.82092,12.22467,ivo://CDS.VizieR/J/ApJ/902/145:table1:1420,7850,7549,1.02,34.98,0.29,,,,,,,,,,34.98,0.29,0.55,2.469822015978163,-20.449999999999996,-20.447182837481485,-0.0028171625185109406,34.977182837481486,98.95473212811252,99.08319448927661
*,11074,UGC02405,72,4,7696,395,5,15.695,0.076,15.84,13.93,13.46,0.37,0.32,0.31,0.63,0.11,0.36,0.07,0.04,0.01,1.23,0.71,0.07,5,5,1,1,LEDA   11074,LEDA,43.99006,6.49482,ivo://CDS.VizieR/J/ApJ/902/145:table1:1425,7761,7486,1.02,34.72,0.15,34.71,0.14,0.35,34.73,0.15,0.39,34.73,0.15,0.4,34.94,0.14,0.48,2.59659709562646,-21.259999999999998,-21.52286938689045,0.2628693868904506,34.98286938689045,99.21420971349579,87.90225168308838
*,11099,UGC02414,83,3,8278,345,7,16.112,0.076,16.45,14.78,14.13,0.34,0.26,0.29,1.03,0.2,0.59,0.12,0.03,0.01,1.14,0.64,0.05,5,5,1,1,LEDA   11099,LEDA,44.07332,4.52934,ivo://CDS.VizieR/J/ApJ/902/145:table1:1428,8335,8069,1.021,34.98,0.14,34.98,0.14,0.36,34.99,0.14,0.39,34.99,0.14,0.4,34.95,0.13,0.52,2.537819095073274,-20.849999999999994,-21.02413805284893,0.17413805284893513,35.15413805284893,107.35631861521324,99.08319448927661
*,11102,UGC02415,78,3,7773,323,6,15.905,0.076,16.62,14.89,14.15,0.26,0.19,0.2,0.81,0.13,0.47,0.07,0.04,0.0,1.2,0.69,0.06,5,5,0,1,LEDA   11102,LEDA,44.09462,6.15517,ivo://CDS.VizieR/J/ApJ/902/145:table1:1429,7836,7564,1.02,34.9,0.14,34.9,0.14,0.39,34.9,0.14,0.4,34.91,0.14,0.4,34.79,0.13,0.53,2.509202522331103,-20.75,-20.78132643344917,0.031326433449169855,34.93132643344917,96.88695048045454,95.49925860214354
*,11131,PGC011131,72,3,7826,232,5,16.477,0.076,16.89,15.61,15.76,0.16,0.15,0.18,0.51,0.07,0.26,0.04,0.01,0.0,0.99,0.52,0.03,5,4,0,1,LEDA   11131,LEDA,44.19085,6.05481,ivo://CDS.VizieR/J/ApJ/902/145:table1:1432,7889,7617,1.02,34.89,0.15,34.87,0.15,0.52,34.89,0.15,0.53,34.91,0.15,0.52,35.12,0.14,0.61,2.3654879848909,-19.130000000000003,-19.561908584863858,0.4319085848638551,35.321908584863856,115.97962947959446,95.0604793656282
*,11133,UGC02420,89,1,9872,598,16,16.873,0.076,,,13.27,,,0.26,,,,,0.04,0.0,1.13,0.58,0.06,0,5,2,1,LEDA   11133,LEDA,44.20816,15.98436,ivo://CDS.VizieR/J/ApJ/902/145:table1:1433,9975,9663,1.025,35.9,0.15,,,,,,,,,,35.9,0.15,0.48,2.776701183988411,-22.63,-23.05105257464297,0.42105257464297097,36.32105257464297,183.74287816846214,151.3561248436207
*,11134,UGC02409,87,2,3882,277,10,14.436,0.076,,,12.55,,,0.27,,,,,0.06,0.0,1.23,0.71,0.07,0,5,0,1,LEDA   11134,LEDA,44.18736,50.59535,ivo://CDS.VizieR/J/ApJ/902/145:table1:1434,4095,3717,1.01,32.45,0.17,,,,,,,,,,32.45,0.17,0.58,2.4424797690644486,-19.900000000000002,-20.215183872722037,0.3151838727220344,32.765183872722034,35.730309205263055,30.90295432513595
*,11136,UGC02423,76,3,7703,373,20,17.554,0.076,17.06,14.29,13.38,0.28,0.25,0.25,0.71,0.1,0.38,0.06,0.04,0.0,1.17,0.62,0.06,5,5,0,1,LEDA   11136,LEDA,44.19556,4.97783,ivo://CDS.VizieR/J/ApJ/902/145:table1:1435,7761,7495,1.02,34.69,0.23,34.7,0.22,0.35,34.69,0.23,0.39,34.68,0.23,0.4,34.67,0.24,0.48,2.571708831808688,-21.309999999999995,-21.311692468672838,0.001692468672843006,34.69169246867284,86.7637858457466,86.69618757582157
*,11150,UGC02426,52,4,7414,331,15,17.819,0.076,16.41,13.96,13.42,0.22,0.21,0.22,0.22,0.04,0.1,0.02,0.01,0.0,1.03,0.48,0.04,5,5,0,1,LEDA   11150,LEDA,44.28847,5.32089,ivo://CDS.VizieR/J/ApJ/902/145:table1:1437,7473,7206,1.019,34.99,0.28,34.99,0.27,0.35,35.0,0.28,0.39,34.99,0.29,0.4,35.1,0.31,0.48,2.519827993775719,-21.57,-20.871483558538824,-0.6985164414611766,34.29148355853882,72.16003109979654,99.5405417351528
*,11152,UGC02424,80,3,6974,534,13,15.46,0.076,,,12.4,,,0.47,,,,,0.04,0.01,1.23,0.7,0.07,0,5,0,1,LEDA   11152,LEDA,44.28144,17.51442,ivo://CDS.VizieR/J/ApJ/902/145:table1:1438,7083,6765,1.018,34.65,0.14,,,,,,,,,,34.65,0.14,0.48,2.727541257028556,-22.25,-22.633930594934135,0.38393059493413517,35.033930594934134,101.5748334712406,85.11380382023759
*,11167,PGC011167,59,4,10174,491,19,16.963,0.076,,,14.13,,,0.19,,,,,0.02,0.0,1.15,0.61,0.06,0,5,0,1,LEDA   11167,LEDA,44.35676,15.47166,ivo://CDS.VizieR/J/ApJ/902/145:table1:1441,10275,9965,1.026,36.91,0.25,,,,,,,,,,36.91,0.25,0.48,2.6910814921229687,-22.779999999999994,-22.324569490114822,-0.4554305098851721,36.45456949011482,195.39520324521789,240.99054286865905
*,11177,PGC011177,57,7,7031,295,19,17.411,0.076,,,14.05,,,0.17,,,,,0.01,0.01,1.2,0.65,0.06,0,5,0,1,LEDA   11177,LEDA,44.38007,16.63528,ivo://CDS.VizieR/J/ApJ/902/145:table1:1442,7136,6823,1.018,35.34,0.43,,,,,,,,,,35.34,0.43,0.51,2.469822015978163,-21.290000000000003,-20.447182837481485,-0.8428171625185179,34.49718283748149,79.3298380155119,116.94993910198724
*,11197,ESO356-022,56,4,6238,460,13,15.132,0.076,,,12.04,,,0.49,,,,,0.02,0.0,1.16,0.61,0.06,0,5,0,1,LEDA   11197,LEDA,44.45485,-36.71794,ivo://CDS.VizieR/J/ApJ/902/145:table1:1443,6120,6102,1.016,34.41,0.25,,,,,,,,,,34.41,0.25,0.48,2.662757831681574,-22.369999999999997,-22.084243231583898,-0.28575676841609976,34.1242432315839,66.8111037131223,76.20790100254106
*,11225,PGC011225,56,4,10420,428,19,17.0,0.076,,,13.67,,,0.17,,,,,0.01,0.0,1.05,0.5,0.05,0,5,2,1,LEDA   11225,LEDA,44.54133,24.03368,ivo://CDS.VizieR/J/ApJ/902/145:table1:1447,10553,10216,1.027,36.08,0.28,,,,,,,,,,36.08,0.28,0.48,2.6314437690131722,-22.409999999999997,-21.818543410190006,-0.5914565898099902,35.488543410190005,125.23008692579816,164.43717232149308
*,11252,UGC02441,88,2,3060,258,5,15.471,0.076,15.76,13.7,13.05,0.74,0.62,0.51,1.46,0.25,0.85,0.18,0.04,0.0,1.11,0.62,0.05,5,5,1,1,LEDA   11252,LEDA,44.59207,3.86294,ivo://CDS.VizieR/J/ApJ/902/145:table1:1450,3112,2855,1.008,32.4,0.13,32.41,0.13,0.5,32.4,0.13,0.51,32.39,0.13,0.5,32.53,0.12,0.6,2.41161970596323,-19.349999999999998,-19.953336237650653,0.6033362376506552,33.00333623765066,39.87192902159156,30.199517204020147
*,11255,UGC02444,58,4,6714,361,7,15.526,0.076,15.98,13.88,13.06,0.22,0.19,0.18,0.32,0.06,0.17,0.03,0.02,0.0,1.15,0.61,0.06,5,4,0,1,LEDA   11255,LEDA,44.62378,6.30638,ivo://CDS.VizieR/J/ApJ/902/145:table1:1451,6776,6508,1.017,34.84,0.21,34.82,0.2,0.35,34.84,0.21,0.39,34.85,0.21,0.4,34.67,0.21,0.48,2.5575072019056577,-21.78,-21.191191639103227,-0.588808360896774,34.251191639103226,70.83343904718164,92.89663867799378
*,11268,UGC02445,83,3,7211,208,12,16.333,0.076,,,16.32,,,0.3,,,,,0.0,0.0,0.78,0.34,0.01,0,3,2,1,LEDA   11268,LEDA,44.68304,25.75828,ivo://CDS.VizieR/J/ApJ/902/145:table1:1453,7350,7009,1.019,34.87,0.25,,,,,,,,,,34.87,0.25,0.64,2.3180633349627615,-18.549999999999997,-19.159510430749883,0.6095104307498858,35.47951043074988,124.71023171281728,94.18895965228404
*,11270,NGC1165,80,4,4919,448,17,15.303,0.185,,,12.02,,,0.36,,,,,0.04,0.01,1.17,0.62,0.06,0,5,0,1,LEDA   11270,LEDA,44.69864,-32.09923,ivo://CDS.VizieR/J/ApJ/902/145:table1:1454,4818,4772,1.013,33.76,0.19,,,,,,,,,,33.76,0.19,0.48,2.651278013998144,-21.74,-21.986836978667387,0.24683697866738896,34.00683697866739,63.29470728235501,56.49369748123019
*,11289,UGC02447,88,2,11472,538,12,15.954,0.076,,,13.72,,,0.24,,,,,0.06,0.0,1.24,0.71,0.07,0,5,1,1,LEDA   11289,LEDA,44.76822,32.63055,ivo://CDS.VizieR/J/ApJ/902/145:table1:1456,11634,11278,1.03,36.12,0.13,,,,,,,,,,36.12,0.13,0.48,2.7307822756663893,-22.4,-22.661430638040184,0.26143063804018496,36.381430638040186,188.9235630254076,167.49428760264348
*,11295,UGC02453,46,6,9099,392,20,16.601,0.076,,,13.04,,,0.28,,,,,0.01,0.0,1.09,0.53,0.05,0,5,0,1,LEDA   11295,LEDA,44.81208,16.03823,ivo://CDS.VizieR/J/ApJ/902/145:table1:1457,9200,8893,1.023,35.79,0.47,,,,,,,,,,35.79,0.47,0.48,2.593286067020457,-22.75,-21.49477530920526,-1.2552246907947406,34.53477530920526,80.71515067851938,143.8798578255845
*,11306,UGC02454,82,3,7623,359,12,16.32,0.076,,,14.01,,,0.32,,,,,0.04,0.01,1.17,0.66,0.06,0,5,0,1,LEDA   11306,LEDA,44.81823,7.30521,ivo://CDS.VizieR/J/ApJ/902/145:table1:1458,7689,7417,1.02,35.02,0.17,,,,,,,,,,35.02,0.17,0.5,2.5550944485783194,-21.010000000000005,-21.170719427147535,0.16071942714753007,35.18071942714754,108.67856252336195,100.92528860766855
*,11308,ESO300-003,78,3,6082,288,20,16.626,0.185,,,14.26,,,0.22,,,,,0.04,0.01,1.21,0.7,0.06,0,5,0,0,LEDA   11308,LEDA,44.84506,-37.30763,ivo://CDS.VizieR/J/ApJ/902/145:table1:1459,5961,5949,1.016,34.58,0.3,,,,,,,,,,34.58,0.3,0.57,2.459392487759231,-20.32,-20.358688290659583,0.038688290659582236,34.618688290659584,83.89530516896706,82.41381150130017
*,11365,PGC011365,54,4,8972,416,20,15.755,0.185,,,12.82,,,0.27,,,,,0.01,0.0,0.9,0.35,0.03,0,5,0,1,LEDA   11365,LEDA,45.12761,-11.41584,ivo://CDS.VizieR/J/ApJ/902/145:table1:1464,8956,8785,1.023,35.11,0.3,,,,,,,,,,35.11,0.3,0.48,2.6190933306267428,-22.29,-21.713749940618207,-0.5762500593817919,34.53374994061821,80.67704600703556,105.19618738232224
*,11371,UGC02463,61,4,1901,192,7,14.447,0.076,,,13.46,,,0.49,,,,,0.01,0.0,1.01,0.54,0.04,0,4,0,1,LEDA   11371,LEDA,45.15604,40.25123,ivo://CDS.VizieR/J/ApJ/902/145:table1:1467,2085,1719,1.005,32.29,0.24,,,,,,,,,,32.29,0.24,0.63,2.2833012287035497,-18.83,-18.864553959526226,0.034553959526228084,32.32455395952623,29.16827809110316,28.70780582024689
*,11377,ESO546-037,51,4,4350,153,18,16.715,0.076,,,14.37,,,0.33,,,,,0.01,0.0,1.12,0.63,0.05,0,4,0,1,LEDA   11377,LEDA,45.17717,-22.14003,ivo://CDS.VizieR/J/ApJ/902/145:table1:1469,4288,4182,1.011,33.33,0.54,,,,,,,,,,33.33,0.54,0.65,2.184691430817599,-18.96,-18.027849825558217,-0.9321501744417837,32.39784982555822,30.169628686120863,46.34469197362877
*,11382,UGC02472,83,3,10157,540,20,16.861,0.076,,,13.49,,,0.22,,,,,0.05,0.01,1.18,0.63,0.06,0,5,1,1,LEDA   11382,LEDA,45.19137,23.18585,ivo://CDS.VizieR/J/ApJ/902/145:table1:1470,10285,9956,1.026,35.92,0.18,,,,,,,,,,35.92,0.18,0.48,2.7323937598229686,-22.43,-22.675104081090875,0.24510408109087578,36.165104081090874,171.00972799930366,152.75660582380732
*,11400,PGC011400,84,3,6042,276,19,16.127,0.185,16.44,14.64,14.2,0.29,0.27,0.25,1.13,0.23,0.65,0.14,0.05,0.01,1.17,0.67,0.06,5,4,0,0,LEDA   11400,LEDA,45.2967,-1.93271,ivo://CDS.VizieR/J/ApJ/902/145:table1:1473,6067,5845,1.015,34.17,0.27,34.16,0.26,0.48,34.18,0.27,0.48,34.18,0.28,0.47,34.2,0.3,0.58,2.4409090820652177,-19.970000000000002,-20.201856593550993,0.2318565935509902,34.40185659355099,75.92264308343364,68.233869414167
