DM,PGC,Name,Inc,e_Inc,HRV,Wmx,e_Wmx,m21,e_m21,umag,rmag,W1mag,Reu,Rer,ReW1,Au,e_Au,Ar,e_Ar,AW1,e_AW1,Gu,Gr,Gw1,QSflag,QWflag,ALFALFA,ADHI,SimbadName,LEDA,_RA,_DE,_ivoid,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1,logW,M_W1,M_pred,residual_M,mu_tf,d_tf_mpc,d_catalog_mpc
*,55603,PGC055603,61,6,9999,358,5,16.607,0.076,16.57,14.64,14.19,0.19,0.15,0.19,0.39,0.1,0.23,0.06,0.02,0.01,1.24,0.71,0.07,5,4,2,1,LEDA   55603,LEDA,234.17633,9.0253,ivo://CDS.VizieR/J/ApJ/902/145:table1:6354,10036,10139,1.027,35.98,0.24,35.98,0.24,0.35,35.97,0.24,0.39,35.98,0.25,0.4,35.84,0.26,0.48,2.5538830266438746,-21.79,-21.160440512047213,-0.6295594879527862,35.350440512047214,117.51359227056068,157.036280433355
*,55618,PGC055618,56,4,10429,427,18,17.615,0.076,16.53,14.37,13.94,0.19,0.16,0.18,0.28,0.05,0.14,0.03,0.01,0.0,1.1,0.55,0.05,5,5,0,1,LEDA   55618,LEDA,234.26599,25.56534,ivo://CDS.VizieR/J/ApJ/902/145:table1:6356,10534,10543,1.028,36.3,0.26,36.32,0.25,0.35,36.3,0.26,0.39,36.29,0.26,0.4,36.38,0.28,0.48,2.630427875025024,-22.36,-21.809923549711844,-0.5500764502881559,35.749923549711845,141.24878147708333,181.97008586099807
*,55626,PGC055626,63,4,11963,304,19,17.16,0.076,16.83,15.38,15.11,0.19,0.17,0.24,0.4,0.07,0.23,0.04,0.02,0.0,1.18,0.67,0.06,5,4,2,1,LEDA   55626,LEDA,234.35937,10.62797,ivo://CDS.VizieR/J/ApJ/902/145:table1:6357,12007,12100,1.032,36.32,0.28,36.31,0.27,0.37,36.33,0.28,0.39,36.32,0.29,0.4,36.18,0.31,0.52,2.482873583608754,-21.21,-20.55792538868221,-0.65207461131779,35.66792538868221,136.01445877817585,183.65383433483473
*,55636,PGC055636,59,4,7226,378,19,15.287,0.185,,,13.24,,,0.32,,,,,0.01,0.0,1.23,0.71,0.07,0,4,0,1,LEDA   55636,LEDA,234.40521,-8.72109,ivo://CDS.VizieR/J/ApJ/902/145:table1:6358,7188,7379,1.019,35.05,0.28,,,,,,,,,,35.05,0.28,0.48,2.5774917998372255,-21.809999999999995,-21.360760952330807,-0.4492390476691881,34.60076095233081,83.20552984047175,102.32929922807526
*,55647,NGC5981,87,2,2594,449,17,15.03,0.076,15.07,12.59,11.76,0.7,0.6,0.52,1.48,0.25,0.86,0.17,0.05,0.0,1.23,0.7,0.07,4,5,0,1,LEDA   55647,LEDA,234.47292,59.39181,ivo://CDS.VizieR/J/ApJ/902/145:table1:6360,2805,2630,1.007,33.34,0.18,33.32,0.17,0.35,33.35,0.18,0.39,33.36,0.18,0.4,33.41,0.18,0.48,2.6522463410033232,-21.580000000000005,-21.99505323329559,0.4150532332955841,33.75505323329559,56.36514734814703,46.55860935229596
*,55665,NGC5970,55,4,1956,308,5,14.122,0.076,13.08,11.31,11.16,0.62,0.48,0.43,0.28,0.05,0.15,0.03,0.02,0.0,1.16,0.62,0.06,3,5,2,1,LEDA   55665,LEDA,234.62478,12.18658,ivo://CDS.VizieR/J/ApJ/902/145:table1:6364,2008,2089,1.006,32.19,0.22,32.17,0.21,0.35,32.19,0.22,0.39,32.19,0.22,0.4,32.27,0.23,0.49,2.4885507165004443,-21.029999999999998,-20.606095861205205,-0.42390413879479283,31.766095861205205,22.55377129786783,27.415741719278792
*,55680,PGC055680,53,4,9779,238,7,16.269,0.076,16.78,15.38,15.59,0.2,0.2,0.24,0.23,0.04,0.12,0.02,0.01,0.0,1.01,0.53,0.03,5,4,0,1,LEDA   55680,LEDA,234.68098,29.41422,ivo://CDS.VizieR/J/ApJ/902/145:table1:6366,9900,9884,1.026,35.95,0.24,35.92,0.24,0.44,35.95,0.24,0.45,35.98,0.25,0.44,35.96,0.26,0.56,2.376576957056512,-20.360000000000003,-19.655998513566022,-0.704001486433981,35.24599851356602,111.99527557454442,154.88166189124829
*,55689,ESO515-003,54,4,5766,375,16,14.507,0.076,,,12.43,,,0.4,,,,,0.01,0.0,1.24,0.7,0.07,0,5,0,1,LEDA   55689,LEDA,234.73745,-22.66349,ivo://CDS.VizieR/J/ApJ/902/145:table1:6367,5671,5918,1.016,34.35,0.29,,,,,,,,,,34.35,0.29,0.48,2.574031267727719,-21.92,-21.331398337420044,-0.5886016625799577,33.76139833742005,56.530088775801744,74.1310241300918
*,55708,UGC09954,70,4,10341,469,19,16.861,0.076,16.08,13.82,13.04,0.17,0.14,0.19,0.48,0.09,0.22,0.04,0.02,0.0,1.03,0.48,0.04,5,5,0,1,LEDA   55708,LEDA,234.81944,24.45508,ivo://CDS.VizieR/J/ApJ/902/145:table1:6369,10443,10454,1.027,35.34,0.21,35.36,0.2,0.35,35.34,0.21,0.39,35.33,0.21,0.4,35.19,0.22,0.48,2.6711728427150834,-22.300000000000004,-22.155644600109845,-0.14435539989015922,35.195644600109844,109.42811546806017,116.94993910198724
*,55710,UGC09951,63,4,2005,131,5,15.952,0.076,15.73,14.82,15.45,0.45,0.35,0.33,0.27,0.05,0.13,0.02,0.01,0.0,0.81,0.36,0.01,5,5,2,1,LEDA   55710,LEDA,234.83346,15.38433,ivo://CDS.VizieR/J/ApJ/902/145:table1:6370,2071,2133,1.006,32.54,0.22,32.54,0.22,0.56,32.53,0.22,0.6,32.55,0.23,0.59,32.5,0.24,0.66,2.1172712956557644,-17.09,-17.455789979458217,0.3657899794582171,32.90578997945822,38.12044799735183,32.21068791283433
*,55724,PGC055724,69,3,14949,518,17,16.461,0.076,16.46,14.64,14.21,0.24,0.19,0.2,0.55,0.07,0.31,0.04,0.02,0.0,1.24,0.7,0.07,5,4,2,0,LEDA   55724,LEDA,234.91834,25.7398,ivo://CDS.VizieR/J/ApJ/902/145:table1:6372,15056,15060,1.039,36.78,0.18,36.78,0.18,0.35,36.77,0.18,0.39,36.78,0.18,0.4,36.88,0.18,0.48,2.714329759745233,-22.57,-22.52183104063175,-0.04816895936825105,36.73183104063175,222.00676481256752,226.98648518838235
*,55725,NGC5985,61,4,2520,534,20,13.429,0.076,12.87,10.88,10.65,1.24,1.04,0.91,0.37,0.06,0.2,0.03,0.02,0.0,1.18,0.63,0.06,5,5,0,1,LEDA   55725,LEDA,234.90439,59.332,ivo://CDS.VizieR/J/ApJ/902/145:table1:6373,2732,2555,1.007,32.97,0.23,32.95,0.22,0.35,32.97,0.23,0.39,32.98,0.23,0.4,33.13,0.24,0.48,2.727541257028556,-22.32,-22.633930594934135,0.3139305949341349,33.283930594934134,45.37181148706965,39.26449353995997
