DM,PGC,Name,Inc,e_Inc,HRV,Wmx,e_Wmx,m21,e_m21,umag,rmag,W1mag,Reu,Rer,ReW1,Au,e_Au,Ar,e_Ar,AW1,e_AW1,Gu,Gr,Gw1,QSflag,QWflag,ALFALFA,ADHI,SimbadName,LEDA,_RA,_DE,_ivoid,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1,logW,M_W1,M_pred,mu_tf,d_tf_mpc,d_catalog_mpc
*,6161,ESO413-016,81,3,5923,530,20,15.602,0.185,,,12.32,,,0.47,,,,,0.04,0.01,1.22,0.69,0.07,0,5,0,1,LEDA    6161,LEDA,24.98764,-28.69669,ivo://CDS.VizieR/J/ApJ/902/145:table1:748,5893,5687,1.015,34.55,0.18,,,,,,,,,,34.55,0.18,0.48,2.724275869600789,-22.229999999999997,-22.54201283575693,34.86201283575693,93.84314783684003,81.28305161640982
*,6162,ESO413-017,87,2,5162,209,16,16.211,0.185,,,16.37,,,0.36,,,,,0.01,0.0,0.75,0.3,0.01,0,4,0,1,LEDA    6162,LEDA,24.99792,-28.38389,ivo://CDS.VizieR/J/ApJ/902/145:table1:749,5133,4925,1.013,34.86,0.33,,,,,,,,,,34.86,0.33,0.64,2.3201462861110542,-18.49,-19.204634226400408,35.574634226400406,130.29472850533662,93.75620069258802
*,6169,NGC0649,72,3,7458,318,18,16.091,0.185,16.1,14.38,14.15,0.27,0.22,0.2,0.62,0.08,0.36,0.05,0.03,0.0,1.22,0.7,0.06,5,5,0,1,LEDA    6169,LEDA,25.03107,-9.27213,ivo://CDS.VizieR/J/ApJ/902/145:table1:750,7517,7175,1.019,34.94,0.24,34.92,0.23,0.38,34.94,0.24,0.39,34.95,0.24,0.4,34.96,0.26,0.53,2.5024271199844326,-20.79,-20.709943861521772,34.85994386152177,93.75377687068116,97.2747223776964
*,6172,NGC0645,74,4,3311,322,5,14.253,0.076,,,12.47,,,0.55,,,,,0.03,0.01,1.18,0.68,0.06,0,4,1,1,LEDA    6172,LEDA,25.03624,5.72672,ivo://CDS.VizieR/J/ApJ/902/145:table1:751,3435,3014,1.008,33.06,0.14,,,,,,,,,,33.06,0.14,0.53,2.507855871695831,-20.590000000000003,-20.75477552091349,33.22477552091349,44.152480173198875,40.92606597300114
*,6173,UGC01173,83,3,6811,265,20,16.371,0.185,,,15.55,,,0.28,,,,,0.02,0.0,0.93,0.47,0.02,0,3,0,1,LEDA    6173,LEDA,25.05348,46.55346,ivo://CDS.VizieR/J/ApJ/902/145:table1:752,7058,6576,1.017,35.37,0.32,,,,,,,,,,35.37,0.32,0.59,2.423245873936808,-19.819999999999997,-20.056050141246157,35.60605014124616,132.19347777493502,118.57687481671584
*,6189,UGC01178,90,1,5525,367,5,14.666,0.076,,,12.64,,,0.41,,,,,0.05,0.0,1.2,0.69,0.06,0,5,1,1,LEDA    6189,LEDA,25.11654,34.62534,ivo://CDS.VizieR/J/ApJ/902/145:table1:753,5747,5258,1.014,33.6,0.1,,,,,,,,,,33.6,0.1,0.5,2.5646660642520893,-20.96,-21.22392484622018,33.86392484622018,59.2631824138085,52.480746024977286
*,6190,PGC006190,80,3,2125,170,10,15.25,0.076,15.68,14.26,14.71,0.48,0.46,0.4,0.62,0.1,0.28,0.05,0.01,0.0,0.82,0.37,0.01,5,4,0,1,LEDA    6190,LEDA,25.115,-5.52028,ivo://CDS.VizieR/J/ApJ/902/145:table1:754,2201,1837,1.005,32.42,0.24,32.42,0.23,0.56,32.41,0.24,0.6,32.42,0.24,0.59,32.39,0.25,0.66,2.230448921378274,-17.71,-18.463896407134982,33.17389640713498,43.12998244995665,30.47894989627986
*,6193,UGC01181,89,1,8140,282,9,16.374,0.076,17.63,16.06,15.64,0.24,0.22,0.2,1.37,0.09,0.76,0.08,0.03,0.0,0.96,0.5,0.03,5,5,2,1,LEDA    6193,LEDA,25.12496,14.52289,ivo://CDS.VizieR/J/ApJ/902/145:table1:755,8298,7844,1.021,35.55,0.16,35.54,0.15,0.47,35.56,0.16,0.47,35.55,0.16,0.46,35.64,0.15,0.58,2.450249108319361,-19.909999999999997,-20.27904796296851,35.919047962968506,152.68964753817605,128.82495516931323
*,6208,NGC0652,62,4,5342,237,11,16.138,0.076,15.55,13.78,13.43,0.19,0.19,0.2,0.4,0.07,0.24,0.04,0.02,0.0,1.24,0.71,0.07,5,5,1,1,LEDA    6208,LEDA,25.18082,7.98295,ivo://CDS.VizieR/J/ApJ/902/145:table1:756,5475,5045,1.013,33.59,0.25,33.59,0.24,0.49,33.59,0.25,0.49,33.58,0.25,0.48,33.33,0.26,0.59,2.374748346010104,-20.160000000000004,-19.655548374185187,33.08554837418519,41.41042376969453,52.23961889991205
*,6209,PGC006209,49,6,10533,311,5,16.241,0.076,15.95,14.26,13.78,0.13,0.12,0.15,0.22,0.06,0.12,0.03,0.02,0.0,1.2,0.65,0.06,4,5,1,1,LEDA    6209,LEDA,25.17439,20.8399,ivo://CDS.VizieR/J/ApJ/902/145:table1:757,10714,10243,1.027,35.67,0.35,35.66,0.34,0.35,35.68,0.35,0.39,35.67,0.36,0.4,35.59,0.39,0.48,2.4927603890268375,-21.89,-20.63011416719032,34.41011416719032,76.21190780945278,136.1444682465951
