pair_id,group_id,r_ap,x_o,y_o,x_e,y_e,flux_o,flux_e,sky_o,sky_e
22,2,5,132.2178368454926,296.5368821061878,162.6080494414143,302.1261936477401,34.1729421915129,26.758132663173456,-46.0,-46.0
22,2,6,132.2178368454926,296.5368821061878,162.6080494414143,302.1261936477401,23.846465202109357,26.415414095032247,-46.0,-46.0
22,2,8,132.2178368454926,296.5368821061878,162.6080494414143,302.1261936477401,2.2886140795526444,6.693109899069896,-46.0,-46.0
23,2,3,255.435702945476,307.8471452084548,285.4795874467606,313.28171284271707,24.796978195381598,36.192365469945344,-46.5,-47.0
23,2,4,255.435702945476,307.8471452084548,285.4795874467606,313.28171284271707,17.685688144911182,42.91859636388381,-46.5,-47.0
23,2,5,255.435702945476,307.8471452084548,285.4795874467606,313.28171284271707,16.917552689056265,48.61280835883508,-46.5,-47.0
23,2,6,255.435702945476,307.8471452084548,285.4795874467606,313.28171284271707,19.153241267920748,56.06951767562623,-46.5,-47.0
23,2,8,255.435702945476,307.8471452084548,285.4795874467606,313.28171284271707,17.574834273293163,62.67901047581836,-46.5,-47.0
24,2,3,284.945442363332,324.74710493566766,314.8852877228838,330.38034928968045,81.71128778915431,69.10248310241082,-47.0,-47.0
24,2,4,284.945442363332,324.74710493566766,314.8852877228838,330.38034928968045,87.91674550520702,65.7092480593833,-47.0,-47.0
24,2,5,284.945442363332,324.74710493566766,314.8852877228838,330.38034928968045,88.77807966859245,57.79494150093615,-47.0,-47.0
24,2,6,284.945442363332,324.74710493566766,314.8852877228838,330.38034928968045,90.7452861483398,48.34398252518531,-47.0,-47.0
24,2,8,284.945442363332,324.74710493566766,314.8852877228838,330.38034928968045,89.14281546178245,33.86681666382174,-47.0,-47.0
25,2,3,155.16460100956044,330.6192729387621,184.9601283992704,336.2023182562882,23.705395951860282,16.032114705626554,-46.5,-46.5
25,2,4,155.16460100956044,330.6192729387621,184.9601283992704,336.2023182562882,24.231304161785374,14.385418310924251,-46.5,-46.5
25,2,5,155.16460100956044,330.6192729387621,184.9601283992704,336.2023182562882,28.230708777271502,10.13219872336822,-46.5,-46.5
25,2,6,155.16460100956044,330.6192729387621,184.9601283992704,336.2023182562882,30.523605162912645,1.825605684744005,-46.5,-46.5
25,2,8,155.16460100956044,330.6192729387621,184.9601283992704,336.2023182562882,18.39939615090225,-13.425261697977476,-46.5,-46.5
26,2,3,237.74841874376835,331.0613266758326,267.8236390846352,336.77909006266,96.22171289965468,87.085569250567,-47.0,-47.0
26,2,4,237.74841874376835,331.0613266758326,267.8236390846352,336.77909006266,107.40591316129166,90.79070008891176,-47.0,-47.0
26,2,5,237.74841874376835,331.0613266758326,267.8236390846352,336.77909006266,122.53613023437993,91.16758909235841,-47.0,-47.0
26,2,6,237.74841874376835,331.0613266758326,267.8236390846352,336.77909006266,139.49356550115863,88.61093425077615,-47.0,-47.0
26,2,8,237.74841874376835,331.0613266758326,267.8236390846352,336.77909006266,159.83905715129004,80.14563629214172,-47.0,-47.0
27,2,3,68.99287544430165,342.2500882255918,99.55506819818515,348.0454758894474,35.12590726573262,22.15148245211958,-47.5,-47.0
27,2,4,68.99287544430165,342.2500882255918,99.55506819818515,348.0454758894474,39.65191159943606,14.869781384382804,-47.5,-47.0
27,2,5,68.99287544430165,342.2500882255918,99.55506819818515,348.0454758894474,38.479492626718184,6.106358648797141,-47.5,-47.0
27,2,6,68.99287544430165,342.2500882255918,99.55506819818515,348.0454758894474,42.28869474529438,-2.277098482719339,-47.5,-47.0
27,2,8,68.99287544430165,342.2500882255918,99.55506819818515,348.0454758894474,72.85223652029526,-13.868021984671941,-47.5,-47.0
28,2,3,66.60786248450141,350.60776859067704,97.1628104847784,356.247521368138,50.66209227109971,49.59560700903853,-47.5,-47.5
28,2,4,66.60786248450141,350.60776859067704,97.1628104847784,356.247521368138,53.3396829713829,52.82621474101779,-47.5,-47.5
28,2,5,66.60786248450141,350.60776859067704,97.1628104847784,356.247521368138,52.403717493002205,54.820087159252125,-47.5,-47.5
28,2,6,66.60786248450141,350.60776859067704,97.1628104847784,356.247521368138,52.25386372913363,53.75935892049165,-47.5,-47.5
28,2,8,66.60786248450141,350.60776859067704,97.1628104847784,356.247521368138,60.454816426270554,59.09740906455772,-47.5,-47.5
29,2,3,153.06759376745896,354.13808656091726,183.29545154306493,359.97032358155406,15.355777722665152,10.541590415434484,-47.0,-47.0
29,2,4,153.06759376745896,354.13808656091726,183.29545154306493,359.97032358155406,17.53851062228796,6.584694729338935,-47.0,-47.0
