F,TFC,Xpos,Ypos,Vmag,e_Vmag,B-V,e_B-V,_RA,_DE
A,7183,633.319,90.995,22.236,0.062,0.394,0.113,78.43687,-65.50399
B,2810,588.714,5.896,21.975,0.042,0.435,0.072,78.42668,-65.51178
B,2811,592.422,6.551,21.490,0.033,0.253,0.046,78.42750,-65.51172
B,3,572.974,1.748,21.065,0.041,0.227,0.053,78.42316,-65.51214
B,6123,576.100,1.307,21.435,0.046,0.435,0.084,78.42386,-65.51219
A,27,579.613,9.309,21.188,0.023,0.211,0.035,78.42467,-65.51145
A,6129,576.994,16.202,21.006,0.019,0.214,0.032,78.42411,-65.51081
A,6131,585.601,17.342,21.624,0.087,1.230,0.165,78.42602,-65.51072
B,2819,586.202,12.335,21.731,0.041,0.451,0.061,78.42614,-65.51118
A,3371,600.641,8.897,22.695,0.080,0.331,0.110,78.42934,-65.51152
A,6130,605.279,16.859,20.153,0.051,0.299,0.073,78.43040,-65.51079
B,2832,592.542,20.459,21.350,0.022,0.429,0.045,78.42758,-65.51044
A,67,606.586,25.691,19.202,0.010,1.510,0.019,78.43071,-65.50998
A,107,601.217,41.775,22.234,0.059,0.290,0.077,78.42957,-65.50849
B,49,605.404,25.169,21.347,0.036,0.446,0.054,78.43045,-65.51002
B,2869,600.974,41.866,22.089,0.045,0.595,0.081,78.42952,-65.50848
A,60,580.623,24.113,18.540,0.013,-0.069,0.015,78.42494,-65.51009
A,61,576.701,26.986,19.823,0.055,-0.222,0.056,78.42407,-65.50982
A,3416,574.930,34.642,20.166,0.013,0.190,0.022,78.42371,-65.50911
A,6132,585.594,19.705,18.729,0.014,-0.080,0.016,78.42603,-65.51050
B,51,591.558,29.254,19.226,0.011,0.079,0.014,78.42739,-65.50963
B,2850,571.135,31.165,20.311,0.022,0.214,0.030,78.42285,-65.50943
B,2864,575.128,39.317,21.276,0.041,0.493,0.053,78.42376,-65.50868
B,5278,589.737,26.076,21.894,0.044,0.663,0.080,78.42697,-65.50992
B,7586,570.354,35.770,22.375,0.084,0.309,0.115,78.42269,-65.50900
