F,TFC,Xpos,Ypos,Vmag,e_Vmag,B-V,e_B-V,_RA,_DE
A,4798,923.408,507.282,20.932,0.021,0.424,0.032,78.50257,-65.46595
A,4817,926.187,519.120,22.387,0.067,0.450,0.091,78.50322,-65.46487
A,7987,919.319,513.726,20.817,0.029,0.235,0.043,78.50168,-65.46536
B,1410,922.831,519.281,21.829,0.038,0.435,0.060,78.50248,-65.46485
A,1629,905.434,500.586,18.785,0.009,-0.068,0.013,78.49856,-65.46655
A,1683,908.959,510.955,22.381,0.061,0.296,0.089,78.49937,-65.46560
A,1708,902.580,520.387,20.276,0.015,0.058,0.023,78.49799,-65.46472
A,4808,899.489,513.490,21.986,0.052,0.471,0.084,78.49728,-65.46535
A,6636,897.380,519.256,21.179,0.030,0.153,0.041,78.49683,-65.46482
B,1368,908.702,503.081,22.276,0.050,0.516,0.096,78.49929,-65.46632
B,1369,909.640,506.632,21.309,0.024,0.340,0.045,78.49951,-65.46600
B,4006,894.769,511.820,21.061,0.028,0.986,0.076,78.49623,-65.46550
B,6797,900.105,504.822,22.721,0.116,0.550,0.163,78.49739,-65.46615
B,8250,893.469,514.051,22.646,0.088,0.063,0.195,78.49595,-65.46529
A,4845,899.070,529.411,18.607,0.007,0.547,0.011,78.49723,-65.46389
A,4846,896.428,533.451,21.233,0.024,0.542,0.042,78.49666,-65.46351
B,1464,896.174,540.112,19.414,0.013,0.255,0.015,78.49662,-65.46289
A,1656,979.055,499.676,19.694,0.009,0.459,0.017,78.51490,-65.46672
A,4762,970.438,494.598,20.943,0.020,0.173,0.028,78.51297,-65.46718
B,1345,971.695,496.069,21.990,0.057,0.685,0.085,78.51326,-65.46704
B,3924,974.052,485.915,21.813,0.040,0.433,0.059,78.51375,-65.46798
B,5718,968.535,500.298,22.015,0.069,0.383,0.089,78.51257,-65.46665
B,8217,968.142,498.002,22.212,0.056,0.495,0.121,78.51247,-65.46686
A,1687,979.381,512.927,21.743,0.037,0.171,0.062,78.51501,-65.46550
A,4800,972.371,508.699,21.355,0.033,0.415,0.049,78.51344,-65.46588
A,4815,964.518,517.801,20.951,0.024,0.235,0.035,78.51173,-65.46503
A,9073,970.297,511.980,20.796,0.015,0.111,0.027,78.51299,-65.46558
B,1349,982.016,502.629,20.170,0.018,0.139,0.020,78.51557,-65.46645
B,1377,972.233,506.460,22.282,0.086,0.607,0.113,78.51341,-65.46609
B,1391,979.286,515.092,21.261,0.025,0.738,0.042,78.51500,-65.46530
B,7154,964.852,512.877,19.740,0.040,0.438,0.058,78.51179,-65.46549
B,8253,968.094,515.854,22.220,0.055,0.120,0.100,78.51251,-65.46522
A,1691,945.269,513.056,19.730,0.012,0.134,0.016,78.50744,-65.46545
A,4801,961.123,511.049,22.777,0.108,0.699,0.166,78.51095,-65.46565
A,13263,953.485,517.563,22.373,0.208,-0.520,0.359,78.50928,-65.46504
B,3994,951.128,507.429,21.421,0.024,0.562,0.047,78.50872,-65.46597
B,4039,947.159,522.287,20.225,0.017,0.928,0.025,78.50789,-65.46460
A,4820,955.003,519.701,19.108,0.012,0.080,0.028,78.50962,-65.46485
A,4848,956.132,530.530,19.361,0.012,-0.038,0.015,78.50990,-65.46385
B,8262,950.209,523.047,22.797,0.139,0.478,0.196,78.50857,-65.46453
A,4819,984.754,521.480,22.514,0.083,0.717,0.129,78.51623,-65.46472
A,4849,968.283,531.990,20.904,0.018,0.778,0.043,78.51260,-65.46373
A,6649,979.946,534.355,18.831,0.009,-0.044,0.012,78.51520,-65.46352
B,4054,968.415,526.835,22.076,0.051,0.528,0.103,78.51262,-65.46420
A,1809,970.422,556.855,22.383,0.114,0.940,0.163,78.51315,-65.46144
A,6655,973.327,540.115,20.105,0.015,0.813,0.027,78.51375,-65.46298
A,6657,983.015,542.020,20.781,0.025,0.137,0.036,78.51590,-65.46282
A,9094,984.637,546.244,19.738,0.024,0.121,0.026,78.51627,-65.46243
A,10215,986.699,544.835,20.912,0.056,0.465,0.081,78.51673,-65.46256
B,1466,978.143,541.174,21.870,0.063,0.420,0.085,78.51482,-65.46289
B,4101,973.682,545.811,21.350,0.032,0.497,0.048,78.51384,-65.46246
A,8032,964.785,542.550,20.566,0.032,0.228,0.048,78.51186,-65.46275
B,1462,965.518,539.768,20.285,0.016,0.322,0.025,78.51201,-65.46301
B,1502,949.654,552.865,21.282,0.026,0.253,0.040,78.50853,-65.46178
B,4096,960.218,543.138,22.185,0.052,0.386,0.077,78.51085,-65.46269
A,1815,954.720,563.127,18.735,0.007,0.823,0.011,78.50968,-65.46084
A,6664,951.721,558.270,19.831,0.012,0.020,0.018,78.50900,-65.46129
A,8078,961.686,566.154,21.261,0.031,0.410,0.045,78.51124,-65.46057
B,1507,966.897,555.478,22.520,0.061,0.887,0.151,78.51236,-65.46156
B,4110,963.692,548.554,21.935,0.039,0.259,0.063,78.51163,-65.46220
B,4151,960.045,559.430,19.746,0.013,0.087,0.017,78.51085,-65.46119
A,6646,933.510,532.756,16.412,0.009,0.290,0.011,78.50489,-65.46362
B,4037,930.426,520.750,21.931,0.039,0.119,0.149,78.50417,-65.46472
B,4046,938.179,523.005,21.643,0.038,0.399,0.057,78.50590,-65.46452
B,4049,920.643,525.245,21.733,0.039,0.675,0.078,78.50201,-65.46429
B,4059,929.914,527.523,21.815,0.029,0.591,0.060,78.50407,-65.46410
B,4060,934.263,529.861,22.758,0.073,0.650,0.158,78.50505,-65.46388
A,4883,920.843,546.086,19.646,0.011,0.088,0.017,78.50212,-65.46237
A,11762,922.920,555.056,21.315,0.059,1.130,0.113,78.50260,-65.46155
A,13414,940.842,533.503,21.955,0.102,0.786,0.145,78.50652,-65.46356
B,4103,933.561,546.959,21.754,0.058,0.253,0.098,78.50494,-65.46231
B,6368,930.882,549.204,19.535,0.012,-0.018,0.018,78.50435,-65.46210
B,7041,929.157,546.055,21.724,0.068,0.459,0.090,78.50396,-65.46239
A,1726,917.155,530.082,21.573,0.052,0.407,0.062,78.50125,-65.46384
A,4860,911.016,540.248,20.561,0.015,0.334,0.025,78.49992,-65.46290
A,8013,910.045,535.185,19.123,0.013,0.093,0.017,78.49969,-65.46337
A,8031,898.973,541.664,21.900,0.065,0.263,0.098,78.49725,-65.46276
A,8049,898.163,551.315,22.214,0.060,0.475,0.092,78.49710,-65.46186
A,8050,900.996,556.057,20.112,0.023,0.126,0.031,78.49774,-65.46143
A,1835,904.569,565.255,21.558,0.050,0.455,0.066,78.49856,-65.46059
A,4884,916.143,549.509,22.112,0.095,0.697,0.139,78.50108,-65.46205
A,4898,899.636,559.250,18.298,0.007,-0.023,0.011,78.49745,-65.46113
B,7042,916.796,563.785,19.387,0.049,0.092,0.072,78.50127,-65.46074
A,6674,930.896,570.814,20.848,0.024,0.186,0.031,78.50442,-65.46010
A,9501,927.888,570.473,21.260,0.033,0.237,0.047,78.50375,-65.46013
A,11752,934.527,552.114,15.787,0.009,0.838,0.012,78.50517,-65.46183
A,1848,948.347,568.939,23.124,0.111,0.676,0.173,78.50829,-65.46030
A,1849,939.484,570.323,20.178,0.012,0.247,0.022,78.50632,-65.46016
A,1861,943.499,574.980,22.823,0.122,0.480,0.182,78.50723,-65.45973
B,1550,945.768,566.100,21.843,0.042,0.394,0.065,78.50771,-65.46056
B,1575,947.186,574.430,22.482,0.075,0.350,0.103,78.50804,-65.45979
A,1856,922.731,574.054,22.582,0.062,0.228,0.106,78.50262,-65.45980
A,3010,912.492,590.404,15.901,0.007,0.714,0.011,78.50039,-65.45828
A,4953,924.533,585.615,21.653,0.035,-0.170,0.050,78.50305,-65.45873
A,8114,919.761,585.321,20.514,0.027,0.229,0.037,78.50199,-65.45875
B,4220,923.325,588.660,22.163,0.048,0.550,0.089,78.50279,-65.45845
A,1624,870.265,491.387,20.822,0.024,0.116,0.031,78.49073,-65.46736
A,1625,867.283,496.323,21.949,0.040,0.456,0.063,78.49008,-65.46690
A,4757,885.196,493.163,22.839,0.093,0.294,0.145,78.49405,-65.46721
A,4766,876.886,497.019,23.277,0.150,0.742,0.214,78.49221,-65.46685
A,4771,871.088,499.305,22.840,0.095,0.501,0.150,78.49093,-65.46663
A,6605,878.857,484.355,20.951,0.031,0.150,0.042,78.49261,-65.46802
B,1306,885.098,484.483,20.782,0.018,0.269,0.030,78.49400,-65.46801
B,1328,880.650,491.474,22.525,0.062,0.640,0.102,78.49303,-65.46736
B,1341,880.084,498.184,22.526,0.067,0.518,0.105,78.49293,-65.46674
B,3940,886.480,494.535,19.236,0.013,1.024,0.018,78.49434,-65.46709
B,3963,875.973,495.626,19.922,0.013,0.397,0.020,78.49201,-65.46697
B,6347,886.422,488.796,21.777,0.047,0.426,0.072,78.49431,-65.46762
A,1676,873.183,508.648,19.910,0.014,-0.034,0.020,78.49143,-65.46577
A,1701,874.679,516.590,21.828,0.036,0.331,0.047,78.49178,-65.46504
B,4018,882.709,516.759,21.021,0.195,-0.538,0.238,78.49357,-65.46503
B,4022,870.747,517.360,20.573,0.023,0.389,0.035,78.49091,-65.46496
B,8219,885.597,497.693,22.910,0.142,0.735,0.204,78.49415,-65.46679
B,8249,883.522,515.717,20.922,0.158,-0.400,0.208,78.49374,-65.46513
A,4788,859.050,505.086,21.807,0.074,0.457,0.096,78.48828,-65.46608
A,4814,846.510,516.898,21.172,0.029,0.367,0.041,78.48553,-65.46498
B,1416,847.719,521.168,22.801,0.095,0.555,0.151,78.48581,-65.46458
B,5733,854.234,514.017,18.543,0.009,0.150,0.013,78.48724,-65.46525
A,1747,856.630,535.873,22.013,0.045,0.291,0.063,78.48783,-65.46324
A,4834,865.540,523.780,21.052,0.025,1.840,0.064,78.48978,-65.46436
B,1417,848.285,526.617,22.287,0.051,0.469,0.107,78.48595,-65.46408
B,4056,860.133,527.258,21.044,0.020,0.385,0.030,78.48859,-65.46404
A,4841,885.235,526.077,21.357,0.027,0.435,0.041,78.49415,-65.46418
A,4868,872.155,539.057,21.703,0.111,-0.127,0.201,78.49129,-65.46296
B,4052,887.972,526.099,22.045,0.127,0.339,0.179,78.49476,-65.46418
B,4053,887.248,528.802,19.101,0.014,0.908,0.019,78.49461,-65.46393
B,4076,875.731,537.029,23.081,0.106,0.457,0.181,78.49208,-65.46316
A,4855,888.482,533.435,21.369,0.026,0.486,0.046,78.49490,-65.46350
A,4902,877.540,555.350,21.601,0.064,0.653,0.078,78.49253,-65.46147
A,6652,888.335,537.417,22.517,0.088,0.554,0.144,78.49488,-65.46313
A,1798,857.081,553.104,21.546,0.030,0.287,0.046,78.48799,-65.46165
A,4867,862.811,537.432,21.035,0.020,0.255,0.036,78.48921,-65.46310
A,4869,872.056,541.490,18.379,0.008,-0.014,0.015,78.49127,-65.46274
A,4887,854.820,546.591,19.641,0.010,0.065,0.015,78.48746,-65.46225
A,6645,869.329,528.700,20.394,0.035,0.142,0.046,78.49063,-65.46392
A,6651,868.593,537.163,22.156,0.066,0.811,0.098,78.49049,-65.46313
A,1782,871.644,548.618,22.059,0.068,0.522,0.123,78.49120,-65.46208
A,8074,853.609,565.324,23.127,0.129,0.191,0.186,78.48725,-65.46052
B,4140,873.893,555.828,18.319,0.010,1.147,0.016,78.49172,-65.46142
B,4164,859.837,564.350,22.469,0.058,0.662,0.102,78.48863,-65.46062
B,5765,863.059,553.960,21.310,0.038,0.438,0.053,78.48931,-65.46158
A,7994,834.639,522.672,20.669,0.029,0.365,0.046,78.48291,-65.46443
A,7995,834.811,525.389,21.478,0.068,0.474,0.106,78.48296,-65.46418
A,9476,837.575,527.492,21.735,0.063,0.408,0.090,78.48358,-65.46399
B,4034,825.704,527.496,21.811,0.040,0.780,0.066,78.48095,-65.46397
B,4035,831.567,528.512,19.992,0.015,0.277,0.019,78.48225,-65.46389
A,1751,847.348,537.861,20.839,0.021,0.128,0.030,78.48578,-65.46304
A,1766,837.829,543.828,22.068,0.051,0.412,0.069,78.48369,-65.46248
A,6661,835.123,549.560,20.566,0.016,0.177,0.023,78.48310,-65.46195
B,4078,835.705,537.808,20.575,0.017,0.247,0.028,78.48320,-65.46304
B,4115,827.848,550.036,22.196,0.071,0.457,0.091,78.48149,-65.46190
A,1761,814.188,541.164,19.825,0.014,0.051,0.021,78.47843,-65.46270
A,4856,814.207,533.519,22.251,0.062,0.477,0.087,78.47841,-65.46341
A,4881,803.189,545.093,20.361,0.015,0.258,0.024,78.47600,-65.46232
B,4079,807.381,538.106,18.313,0.010,1.156,0.014,78.47691,-65.46297
B,4083,818.606,538.448,22.985,0.090,0.716,0.178,78.47940,-65.46296
B,4084,816.702,541.085,22.757,0.108,0.636,0.190,78.47899,-65.46271
A,1803,814.787,553.824,19.433,0.010,0.881,0.018,78.47860,-65.46153
A,1824,823.292,560.720,18.414,0.008,0.020,0.014,78.48051,-65.46091
A,8060,821.312,554.710,20.691,0.019,0.105,0.028,78.48005,-65.46146
A,13636,824.313,555.986,22.171,0.078,0.325,0.110,78.48072,-65.46135
B,1481,823.185,545.142,19.248,0.007,0.036,0.011,78.48044,-65.46234
B,1510,826.181,556.419,22.841,0.118,0.150,0.173,78.48114,-65.46131
B,4123,816.847,551.436,18.399,0.011,0.892,0.016,78.47905,-65.46176
A,1779,839.698,555.590,22.110,0.054,0.527,0.086,78.48414,-65.46140
A,1780,835.405,555.073,21.012,0.018,0.214,0.032,78.48318,-65.46144
A,1781,830.873,556.047,22.305,0.052,0.379,0.089,78.48218,-65.46135
A,1821,848.109,560.328,19.452,0.010,0.090,0.012,78.48602,-65.46097
A,4889,844.683,552.642,21.200,0.029,0.403,0.046,78.48523,-65.46168
A,4911,835.409,560.236,22.183,0.058,0.674,0.094,78.48320,-65.46097
A,8041,848.464,548.377,18.736,0.009,0.798,0.016,78.48606,-65.46208
A,13568,844.754,548.543,22.043,0.062,0.653,0.113,78.48524,-65.46206
A,4943,851.060,576.500,18.675,0.009,0.937,0.015,78.48672,-65.45949
A,8102,842.440,576.695,18.983,0.007,0.038,0.011,78.48481,-65.45946
A,8103,841.890,580.414,20.773,0.030,0.381,0.039,78.48470,-65.45911
B,4198,844.647,579.216,21.973,0.045,0.379,0.064,78.48530,-65.45923
B,7159,832.586,572.993,21.448,0.064,0.012,0.103,78.48261,-65.45979
B,8322,836.336,573.867,21.933,0.060,0.048,0.091,78.48344,-65.45971
A,1878,818.936,579.726,21.313,0.031,0.238,0.046,78.47960,-65.45915
A,4934,814.660,572.351,20.744,0.024,0.156,0.034,78.47863,-65.45983
A,9115,826.744,571.696,18.166,0.007,1.000,0.014,78.48131,-65.45990
B,5782,827.727,570.104,17.365,0.007,0.063,0.011,78.48152,-65.46005
B,6817,825.963,576.863,19.425,0.012,0.283,0.020,78.48115,-65.45942
A,6686,826.274,584.953,22.773,0.109,0.697,0.164,78.48124,-65.45868
A,8169,814.377,603.940,20.041,0.014,0.076,0.018,78.47866,-65.45691
A,9509,820.549,589.616,17.970,0.010,0.009,0.023,78.47999,-65.45824
A,9510,818.156,590.219,20.637,0.074,-0.163,0.093,78.47946,-65.45818
B,1598,817.911,585.126,22.319,0.048,0.341,0.102,78.47939,-65.45865
B,1634,816.961,594.778,20.925,0.021,0.394,0.031,78.47921,-65.45776
A,1806,892.305,555.867,19.021,0.008,-0.013,0.013,78.49581,-65.46144
A,4903,877.055,559.184,20.662,0.052,1.980,0.082,78.49244,-65.46111
A,4904,884.403,557.006,21.334,0.036,0.332,0.049,78.49406,-65.46132
A,4930,881.903,571.064,21.655,0.048,0.464,0.069,78.49355,-65.46002
A,9105,880.393,559.200,21.400,0.071,1.120,0.090,78.49318,-65.46112
B,1531,889.576,560.252,21.266,0.026,0.576,0.042,78.49522,-65.46103
B,1533,879.699,560.590,20.914,0.027,0.204,0.036,78.49303,-65.46099
B,1547,883.894,564.905,21.133,0.025,0.889,0.044,78.49397,-65.46059
B,4107,897.280,547.763,20.654,0.017,0.179,0.025,78.49689,-65.46219
B,4108,891.279,549.273,22.152,0.043,0.428,0.089,78.49556,-65.46204
B,6813,895.377,550.091,21.901,0.037,0.235,0.082,78.49648,-65.46197
B,7156,897.924,552.371,21.765,0.039,0.447,0.076,78.49705,-65.46177
A,1845,885.592,571.495,19.692,0.012,0.071,0.016,78.49437,-65.45999
A,4929,897.377,571.024,22.342,0.059,0.300,0.096,78.49698,-65.46005
A,4949,890.595,580.977,20.537,0.015,0.115,0.023,78.49551,-65.45912
A,10228,888.876,568.771,21.014,0.032,0.348,0.045,78.49509,-65.46024
A,10618,891.662,567.711,20.943,0.022,0.187,0.037,78.49570,-65.46034
B,1558,892.576,569.236,20.910,0.022,0.581,0.034,78.49591,-65.46021
B,4194,897.894,577.947,19.614,0.012,0.290,0.017,78.49712,-65.45941
A,1852,870.654,572.119,19.794,0.014,0.138,0.018,78.49105,-65.45991
A,1859,863.641,574.936,20.542,0.019,0.084,0.028,78.48951,-65.45965
B,1573,856.464,573.985,21.884,0.032,0.545,0.051,78.48791,-65.45972
B,4216,861.423,586.711,20.007,0.015,0.072,0.020,78.48905,-65.45856
A,1908,866.076,590.059,21.065,0.026,0.358,0.045,78.49009,-65.45825
A,4973,861.848,594.089,21.795,0.053,0.447,0.066,78.48917,-65.45788
A,4996,860.727,603.217,20.257,0.018,0.063,0.027,78.48894,-65.45703
A,9121,870.016,581.547,21.361,0.033,0.195,0.049,78.49094,-65.45904
B,1595,869.361,582.799,21.408,0.052,0.518,0.068,78.49080,-65.45893
B,1645,863.936,598.201,21.155,0.021,0.419,0.030,78.48964,-65.45750
A,4963,890.018,589.762,22.042,0.059,0.359,0.097,78.49540,-65.45831
B,1609,889.001,588.293,22.826,0.104,0.786,0.174,78.49517,-65.45844
B,1638,888.667,596.096,22.428,0.069,0.455,0.121,78.49512,-65.45772
A,1941,892.521,600.704,21.693,0.036,0.525,0.051,78.49599,-65.45730
A,1993,888.515,614.634,20.856,0.028,0.302,0.037,78.49514,-65.45601
A,2011,887.302,621.527,19.692,0.012,0.030,0.016,78.49490,-65.45538
A,4994,898.823,602.918,22.349,0.042,0.628,0.097,78.49740,-65.45711
A,6702,907.417,605.318,22.060,0.060,0.541,0.086,78.49931,-65.45690
A,8179,900.427,611.701,16.995,0.006,0.989,0.009,78.49778,-65.45630
B,1650,893.363,600.342,22.141,0.072,0.240,0.089,78.49618,-65.45734
B,1651,891.755,603.005,22.293,0.056,0.544,0.087,78.49583,-65.45709
B,4248,905.424,597.950,19.755,0.012,0.072,0.018,78.49885,-65.45757
B,4268,895.212,604.605,22.754,0.096,0.885,0.138,78.49660,-65.45695
B,4270,885.211,607.638,22.474,0.072,0.765,0.133,78.49439,-65.45666
B,6393,895.032,611.473,22.284,0.058,0.753,0.150,78.49658,-65.45631
A,1925,876.474,596.519,20.838,0.022,0.336,0.028,78.49242,-65.45767
A,5035,868.585,617.835,21.550,0.053,0.459,0.089,78.49073,-65.45570
A,8149,881.428,598.909,22.443,0.089,0.065,0.111,78.49352,-65.45746
A,8170,872.720,604.085,20.420,0.021,0.250,0.031,78.49161,-65.45697
A,8171,873.135,611.860,16.113,0.007,0.668,0.009,78.49172,-65.45625
A,10819,871.044,607.708,21.969,0.151,0.895,0.207,78.49125,-65.45663
B,1663,877.280,603.549,21.931,0.056,0.753,0.076,78.49262,-65.45702
B,4282,867.133,612.413,19.820,0.016,0.254,0.023,78.49039,-65.45619
B,4283,870.682,614.211,21.631,0.046,0.276,0.066,78.49119,-65.45603
B,8363,867.294,608.882,22.743,0.102,0.753,0.180,78.49042,-65.45652
A,2033,866.703,633.436,21.738,0.040,0.199,0.059,78.49036,-65.45425
B,1684,885.223,616.138,22.275,0.064,0.477,0.096,78.49442,-65.45587
B,4271,884.654,611.045,21.584,0.038,0.527,0.057,78.49428,-65.45634
A,6691,846.378,594.729,22.054,0.066,0.554,0.103,78.48573,-65.45780
A,8125,851.889,589.418,18.227,0.011,0.039,0.014,78.48694,-65.45830
A,9511,853.045,592.139,19.454,0.019,0.822,0.037,78.48721,-65.45805
A,10238,843.898,584.223,21.610,0.040,0.326,0.058,78.48515,-65.45877
B,1593,852.194,582.508,22.403,0.061,0.577,0.099,78.48699,-65.45893
B,4222,855.789,588.876,20.678,0.017,0.231,0.028,78.48781,-65.45835
B,4251,836.600,598.614,22.266,0.053,0.762,0.093,78.48358,-65.45743
A,1942,846.024,601.276,19.151,0.011,0.783,0.019,78.48568,-65.45720
A,1987,850.543,611.512,20.617,0.016,0.217,0.024,78.48671,-65.45626
A,8164,840.831,605.674,21.851,0.206,-0.152,0.253,78.48454,-65.45678
A,8165,842.795,604.620,19.218,0.017,0.958,0.023,78.48497,-65.45688
B,1637,850.992,595.390,21.756,0.082,0.580,0.112,78.48676,-65.45774
B,1720,842.586,615.901,21.347,0.030,0.507,0.045,78.48496,-65.45584
B,5799,858.781,600.484,22.015,0.055,0.513,0.087,78.48850,-65.45728
A,1911,833.156,591.098,21.804,0.033,0.456,0.058,78.48279,-65.45812
A,1937,826.818,602.585,20.718,0.020,0.228,0.033,78.48142,-65.45705
A,6697,822.689,598.967,21.952,0.054,0.652,0.079,78.48049,-65.45738
A,8163,835.910,603.164,17.575,0.009,1.220,0.014,78.48344,-65.45701
A,9951,817.385,604.389,20.097,0.016,0.053,0.021,78.47933,-65.45687
B,1630,832.458,593.566,22.837,0.113,0.617,0.156,78.48264,-65.45789
B,1667,819.555,604.368,21.415,0.028,0.388,0.045,78.47981,-65.45688
A,6711,836.928,616.411,20.993,0.023,0.462,0.042,78.48370,-65.45579
A,9162,838.254,619.874,22.080,0.044,0.336,0.068,78.48401,-65.45547
A,9528,833.887,611.020,22.985,0.142,0.731,0.246,78.48301,-65.45628
B,1708,831.592,613.293,22.311,0.053,0.450,0.075,78.48251,-65.45607
B,6399,838.287,621.723,21.917,0.106,0.245,0.129,78.48402,-65.45530
A,5054,858.707,625.000,22.314,0.060,0.775,0.111,78.48856,-65.45502
A,6714,845.464,620.118,19.324,0.010,0.072,0.014,78.48561,-65.45546
A,6719,844.003,627.710,21.167,0.046,0.344,0.064,78.48531,-65.45476
A,14094,841.964,620.962,22.337,0.090,0.738,0.145,78.48483,-65.45538
B,1698,859.786,610.910,22.676,0.098,0.501,0.148,78.48876,-65.45632
B,4308,861.214,622.830,21.247,0.036,0.285,0.055,78.48911,-65.45523
B,4309,858.080,624.098,20.073,0.013,0.215,0.022,78.48842,-65.45511
B,6398,840.548,620.946,20.625,0.030,0.339,0.037,78.48452,-65.45538
A,2032,861.301,630.921,21.729,0.035,0.502,0.057,78.48915,-65.45448
A,2055,857.371,637.051,21.997,0.056,0.343,0.079,78.48830,-65.45391
B,4310,862.220,626.644,18.941,0.011,0.094,0.014,78.48935,-65.45488
A,5071,830.984,629.107,19.075,0.008,-0.010,0.012,78.48242,-65.45461
A,5085,838.826,633.585,21.463,0.034,0.421,0.045,78.48418,-65.45421
A,5086,838.153,638.425,20.902,0.029,0.157,0.042,78.48404,-65.45376
A,5087,834.122,639.564,20.270,0.017,0.236,0.025,78.48315,-65.45365
A,2119,830.560,655.441,21.662,0.031,0.496,0.052,78.48241,-65.45218
A,1417,774.836,423.435,21.998,0.052,0.267,0.072,78.46934,-65.47351
A,4602,761.929,432.718,18.351,0.008,-0.054,0.012,78.46650,-65.47264
A,7847,773.146,436.534,21.426,0.048,0.291,0.075,78.46900,-65.47230
B,1125,772.843,422.945,20.950,0.026,0.358,0.035,78.46889,-65.47355
B,1149,775.655,433.687,21.869,0.041,0.558,0.065,78.46955,-65.47256
B,6328,761.765,445.343,21.356,0.026,0.403,0.041,78.46650,-65.47147
A,1481,767.658,446.041,20.300,0.011,0.703,0.033,78.46781,-65.47142
A,1482,764.360,448.898,22.695,0.071,0.598,0.143,78.46709,-65.47115
A,4682,765.243,460.260,19.587,0.012,-0.001,0.018,78.46732,-65.47010
A,9830,774.339,444.047,19.324,0.017,-0.036,0.026,78.46929,-65.47161
A,10742,772.237,442.684,21.292,0.101,0.249,0.157,78.46882,-65.47173
B,3833,762.595,451.475,22.379,0.064,0.710,0.098,78.46671,-65.47091
B,6331,768.269,454.800,21.737,0.042,0.571,0.065,78.46798,-65.47061
B,8146,782.943,444.583,21.707,0.183,1.266,0.550,78.47120,-65.47157
A,1471,757.292,443.501,19.529,0.012,0.071,0.017,78.46550,-65.47164
A,1509,739.391,458.719,22.395,0.049,0.576,0.099,78.46158,-65.47021
A,6570,753.216,447.713,20.086,0.019,0.168,0.026,78.46461,-65.47124
A,7866,741.480,446.770,22.583,0.065,0.263,0.113,78.46200,-65.47132
A,7882,747.261,453.014,22.317,0.102,0.442,0.135,78.46331,-65.47075
A,7883,743.307,454.801,21.213,0.027,0.309,0.047,78.46243,-65.47058
A,8990,747.909,439.382,19.400,0.038,-0.076,0.048,78.46341,-65.47201
A,8991,752.436,443.821,21.142,0.034,0.201,0.049,78.46443,-65.47160
A,9828,747.668,441.773,18.194,0.011,-0.055,0.015,78.46336,-65.47178
B,1164,754.810,435.932,22.149,0.049,0.603,0.085,78.46493,-65.47233
B,3803,751.464,439.757,21.701,0.026,1.022,0.061,78.46420,-65.47198
A,1532,745.424,460.848,23.658,0.212,1.010,0.402,78.46292,-65.47002
A,4681,761.180,458.606,21.333,0.032,0.423,0.052,78.46641,-65.47025
A,4705,743.424,468.078,22.806,0.095,0.532,0.136,78.46250,-65.46935
A,6598,751.280,470.921,20.534,0.054,0.162,0.072,78.46425,-65.46910
A,7914,741.718,472.548,22.760,0.089,0.569,0.154,78.46214,-65.46894
A,9030,749.167,470.872,21.440,0.137,0.200,0.192,78.46378,-65.46910
B,1241,755.917,460.944,22.431,0.049,0.625,0.090,78.46525,-65.47003
B,3862,747.064,461.645,20.770,0.019,0.307,0.027,78.46329,-65.46995
B,3878,745.533,467.890,21.917,0.043,0.486,0.067,78.46297,-65.46937
B,8168,750.828,460.842,22.779,0.086,0.353,0.130,78.46412,-65.47003
A,1579,767.669,475.458,21.103,0.021,0.267,0.031,78.46791,-65.46870
A,4689,777.281,461.123,22.071,0.048,0.340,0.075,78.47000,-65.47004
B,3837,783.483,455.490,18.866,0.012,1.033,0.016,78.47136,-65.47056
B,3843,772.078,459.297,21.420,0.023,0.452,0.037,78.46884,-65.47020
B,3889,766.089,471.194,19.068,0.010,0.970,0.014,78.46754,-65.46909
B,6786,782.236,452.104,22.486,0.114,0.370,0.153,78.47107,-65.47087
A,1545,788.258,468.287,20.135,0.015,0.616,0.023,78.47245,-65.46939
A,1586,773.509,478.302,20.782,0.018,0.209,0.025,78.46921,-65.46845
A,1594,782.266,481.043,21.014,0.022,0.210,0.031,78.47116,-65.46821
A,6596,783.603,469.157,20.788,0.027,0.309,0.036,78.47142,-65.46930
A,9466,769.036,491.028,21.547,0.046,0.383,0.073,78.46826,-65.46727
B,1292,783.865,478.761,19.207,0.013,1.030,0.020,78.47151,-65.46842
B,3929,775.527,487.069,21.873,0.049,0.522,0.074,78.46969,-65.46764
A,1558,748.279,473.683,19.275,0.012,0.085,0.016,78.46360,-65.46884
A,4731,744.373,479.708,23.002,0.111,0.514,0.168,78.46275,-65.46828
A,11154,759.675,479.384,22.755,0.158,0.101,0.224,78.46614,-65.46833
B,6346,752.464,486.948,22.270,0.041,0.728,0.072,78.46457,-65.46763
A,1636,763.128,495.801,23.235,0.139,1.060,0.270,78.46696,-65.46682
A,4751,751.147,492.084,19.899,0.012,0.116,0.018,78.46429,-65.46715
A,6601,765.097,479.271,21.731,0.046,0.576,0.071,78.46735,-65.46835
A,6602,766.094,487.737,19.596,0.015,0.117,0.023,78.46759,-65.46757
A,9884,760.204,483.636,18.409,0.027,-0.152,0.030,78.46627,-65.46794
B,3957,746.365,494.958,19.362,0.025,0.950,0.035,78.46324,-65.46688
B,8214,750.125,495.093,22.578,0.146,0.459,0.190,78.46407,-65.46687
A,1533,722.744,460.874,21.420,0.025,0.354,0.049,78.45789,-65.46999
