2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks
J03254330-6913019,13.495,0.427,4.52,12.858,0.378,12.501,0.384,g0325434-691302,1,,3.42871,-69.21719,14853,0.258,0.209,0.215,3.157,3.359,3.402,2.216,2.0,,,,,,,1,0,1
J03260258-1735295,10.492,1.120,6.00,9.834,1.103,9.581,1.098,g0326026-173529,1,p,3.43405,-17.59150,4114,0.413,0.396,0.391,2.902,3.056,3.129,2.321,1.5,,,,,9.9304,0.0144,1,1,1
J03261531-0419034,11.426,0.866,5.02,10.851,0.783,10.496,0.851,g0326153-041904,1,p,3.43759,-4.31764,5596,0.294,0.211,0.279,3.045,3.297,3.259,2.254,0.0,281,1,2,5658,2.2447,0.2723,1,1,1
J03262669-6357039,13.104,0.462,6.00,12.254,0.557,12.143,0.417,g0326266-635704,1,p,3.44073,-63.95100,10491,0.150,0.245,0.105,3.217,3.218,3.475,2.271,1.0,,,,,16.6316,0.0054,1,1,1
J03264090-2329463,13.104,0.554,6.00,12.222,0.761,12.242,0.483,g0326409-232946,1,p,3.44470,-23.49617,10751,0.252,0.459,0.181,3.027,2.820,3.301,2.223,0.7,,,,,7.9377,0.0241,1,1,1
J03265014-0422004,11.983,0.517,4.83,11.270,0.526,11.063,0.470,g0326502-042201,1,p,3.44727,-4.36681,5867,-0.055,-0.046,-0.102,3.521,3.644,3.794,2.273,1.3,281,1,2,5658,2.4613,0.2325,1,1,1
J03265329-7256079,11.857,0.715,4.97,11.812,0.532,10.977,0.584,g0326533-725608,1,p,3.44814,-72.93552,8419,0.311,0.128,0.180,3.195,3.433,3.605,2.144,2.5,,,,,3.8784,0.1996,1,1,1
J03265533-4141128,12.014,0.871,4.93,11.426,0.804,10.902,0.912,g0326554-414113,1,p,3.44871,-41.68686,14988,0.706,0.639,0.747,2.853,3.075,2.982,2.017,4.0,,,,,6.8939,0.0356,0,0,0
J03265747-3636009,13.530,0.346,4.98,12.918,0.255,12.524,0.317,g0326575-363601,1,p,3.44929,-36.60022,13746,0.146,0.055,0.117,3.289,3.569,3.522,2.177,2.2,,,,,5.8406,0.0591,1,0,1
J03272918-2133367,10.962,0.944,2.75,10.253,0.937,9.950,0.939,g0327292-213337,1,p,3.45811,-21.56017,4123,0.238,0.231,0.233,3.062,3.218,3.298,2.188,2.0,,,,,8.2953,0.0196,1,1,1
J03273374-0541174,14.033,0.440,1.47,13.349,0.409,12.643,0.597,g0327337-054118,1,,3.45937,-5.68822,12464,0.199,0.168,0.356,2.901,3.088,2.917,2.173,2.0,,,,,8.9132,0.0209,0,0,0
J03274367-3501488,14.054,0.335,2.83,13.381,0.336,13.298,0.175,g0327437-350149,1,p,3.46213,-35.03028,15183,0.175,0.176,0.015,3.110,3.230,3.498,2.255,0.8,,,,,,,0,0,0
J03280351-0449057,11.965,0.921,1.93,11.334,0.872,10.976,0.924,g0328035-044906,1,p,3.46764,-4.81825,5929,0.369,0.320,0.372,2.723,2.929,2.921,2.032,3.7,,,,,3.0188,0.1532,0,0,0
J03282042-1412332,13.450,0.253,6.00,12.699,0.297,12.569,0.130,g0328204-141233,1,p,3.47234,-14.20925,12686,0.020,0.064,-0.103,3.517,3.578,3.884,2.103,1.0,,,,,1.8393,0.5346,1,1,0
J03282774-2320198,13.635,0.394,6.00,13.069,0.281,12.613,0.435,g0328277-232020,1,p,3.47437,-23.33881,15819,0.251,0.138,0.292,3.167,3.471,3.254,2.296,1.0,,,,,4.0144,0.1040,1,0,0
J03283052-1625488,13.551,0.292,6.00,12.988,0.222,12.648,0.271,g0328305-162549,1,p,3.47514,-16.43036,10351,-0.026,-0.096,-0.047,3.376,3.593,3.564,2.146,2.0,,,,,3.5887,0.1741,1,0,0
J03285032-1348079,11.554,0.786,6.00,10.809,0.751,10.504,0.746,g0328503-134808,1,p,3.48065,-13.80214,12386,0.543,0.508,0.503,3.207,3.424,3.478,2.434,1.3,,,,,3.6071,0.1133,1,1,1
J03285067-2328386,11.934,0.558,6.00,11.317,0.527,10.986,0.564,g0328507-232838,1,p,3.48074,-23.47733,6406,0.039,0.008,0.045,3.458,3.624,3.636,2.186,1.3,,,,,11.0797,0.0116,1,1,1
J03290324-7101532,13.839,0.239,5.17,13.055,0.244,12.727,0.212,g0329032-710153,1,p,3.48421,-71.03150,16419,0.111,0.116,0.084,3.403,3.556,3.657,2.066,0.0,,,,,7.6908,0.0456,0,0,0
J03292386-7605223,13.420,0.282,2.99,12.596,0.320,12.448,0.236,g0329240-760522,1,,3.48999,-76.08947,15145,0.121,0.159,0.075,3.502,3.596,3.730,2.446,2.5,,,,,,,1,1,1
J03292593-3508301,13.393,0.444,6.00,12.553,0.577,12.509,0.380,g0329259-350830,1,,3.49054,-35.14175,13746,0.244,0.377,0.180,3.148,3.071,3.402,2.189,1.0,,,,,7.1363,0.0322,1,1,1
J03293034-1448200,12.212,0.695,5.18,11.588,0.621,11.151,0.703,g0329304-144820,1,p,3.49176,-14.80558,9031,0.320,0.246,0.328,3.111,3.356,3.304,2.180,2.0,,,,,2.6299,0.2372,1,1,1
J03293232-4012352,13.717,0.214,6.00,12.759,0.367,12.347,0.455,g0329323-401235,1,p,3.49232,-40.20975,14687,0.041,0.194,0.282,3.484,3.414,3.317,2.109,0.0,,,,,5.0478,0.0672,0,1,1
J03293744-0350049,13.771,0.234,6.00,12.864,0.387,12.728,0.332,g0329374-035005,1,p,3.49373,-3.83475,10427,-0.081,0.072,0.017,3.402,3.312,3.410,2.223,0.0,,,,,4.3001,0.1133,0,0,0
J03294455-2223567,12.635,0.605,4.95,12.014,0.572,11.912,0.431,g0329446-222357,2,p,3.49572,-22.39906,13871,0.408,0.375,0.234,3.135,3.301,3.541,2.302,0.7,,,,,7.8864,0.0237,1,1,1
J03295575-2846039,11.817,0.879,3.53,10.810,1.080,10.745,0.915,g0329558-284604,1,p,3.49882,-28.76775,11305,0.598,0.799,0.634,2.893,2.748,3.035,2.310,1.0,,,,,6.4297,0.0344,1,1,1
J03295609-3959270,13.391,0.455,5.03,13.176,0.066,12.738,0.165,g0329561-395927,1,p,3.49892,-39.99092,16246,0.323,-0.066,0.033,3.142,3.858,3.743,2.326,2.0,,,,,7.3876,0.0456,0,0,0
J03301100-1348306,12.717,0.619,6.00,11.922,0.640,11.755,0.517,g0330110-134831,1,p,3.50306,-13.80858,12388,0.376,0.397,0.274,3.075,3.200,3.434,2.239,1.7,,,,,4.2498,0.0839,1,1,1
J03301134-1331226,12.334,0.694,5.31,11.624,0.682,11.360,0.652,g0330114-133123,1,p,3.50315,-13.52300,12148,0.443,0.431,0.401,3.077,3.234,3.323,2.314,0.7,,,,,4.1626,0.0828,1,1,1
J03303282-5020186,12.759,0.742,1.67,12.037,0.735,11.771,0.732,g0330328-502019,1,p,3.50912,-50.33853,11476,0.467,0.460,0.457,2.791,2.949,2.991,2.087,4.0,,,,,3.6160,0.1739,1,1,1
J03303589-1756289,11.875,1.076,0.76,11.191,1.087,10.749,1.155,g0330359-175629,1,,3.50997,-17.94142,1363,-0.058,-0.047,0.021,2.418,2.528,2.544,2.111,4.0,13,0,2,1523,,,0,1,1
J03303704-1434229,12.790,0.611,2.50,12.045,0.592,11.801,0.588,g0330370-143423,1,p,3.51029,-14.57306,9902,0.275,0.256,0.252,3.046,3.233,3.272,2.268,3.0,,,,,2.6175,0.2212,1,1,1
J03304539-0450596,11.399,0.801,6.00,10.620,0.829,10.391,0.804,g0330454-045060,1,p,3.51261,-4.84986,5573,0.253,0.281,0.256,3.188,3.300,3.395,2.233,2.7,317,2,2,5985,2.8041,0.1892,1,1,1
J03304764-7347033,12.179,0.866,1.89,11.498,0.870,11.058,0.873,g0330477-734703,1,p,3.51325,-73.78428,8334,0.458,0.462,0.465,2.774,2.888,2.998,2.196,3.0,,,,,4.8036,0.0734,1,1,1
J03310511-3932069,12.643,0.599,5.09,11.921,0.602,11.586,0.638,g0331051-393207,1,p,3.51809,-39.53531,14627,0.424,0.427,0.463,3.145,3.280,3.257,2.345,1.0,,,,,6.0222,0.0452,1,1,1
J03313070-0401174,12.161,0.661,2.21,11.431,0.650,11.216,0.616,g0331307-040117,1,,3.52520,-4.02147,10550,0.351,0.340,0.306,3.193,3.360,3.447,2.252,2.0,,,,,4.1533,0.0951,1,1,1
J03320302-2049089,9.084,1.406,3.86,8.365,1.406,8.109,1.395,g0332030-204908,1,p,3.53416,-20.81894,1400,0.235,0.235,0.224,2.872,3.019,3.119,2.025,4.0,,,,,,,0,0,0
J03320976-1450122,12.638,0.444,5.71,11.904,0.460,11.595,0.441,g0332098-145012,1,p,3.53604,-14.83669,9934,0.109,0.125,0.106,3.441,3.552,3.648,2.191,1.3,,,,,2.5733,0.2267,1,1,1
J03321131-5457146,13.591,0.187,4.36,12.968,0.112,12.600,0.135,g0332114-545715,1,p,3.53649,-54.95406,14488,0.008,-0.067,-0.044,3.587,3.840,3.856,2.237,2.0,,,,,1.6116,0.8063,1,0,0
J03322054-2939154,12.769,0.525,2.10,11.908,0.595,11.640,0.536,g0332205-293915,1,p,3.53904,-29.65428,11369,0.246,0.316,0.257,3.220,3.279,3.435,2.200,2.0,,,,,4.4523,0.0730,1,1,1
J03323144-2223436,12.380,0.779,1.83,11.647,0.751,11.281,0.764,g0332315-222344,1,,3.54207,-22.39550,13425,0.569,0.541,0.554,2.885,3.087,3.126,2.262,3.0,,,,,6.4925,0.0337,1,1,1
J03325364-3508244,12.751,0.681,3.72,12.231,0.584,11.810,0.623,g0332537-350824,1,p,3.54824,-35.14011,15009,0.517,0.420,0.459,2.940,3.194,3.197,2.328,1.8,,,,,4.7683,0.0680,1,1,1
J03331160-5519006,13.511,0.402,2.45,12.911,0.369,12.696,0.320,g0333116-551901,1,p,3.55323,-55.31681,10142,0.076,0.043,-0.006,3.161,3.323,3.443,2.136,2.7,,,,,7.7118,0.0357,1,0,0
J03332351-0459554,10.948,0.806,3.84,10.280,0.808,10.011,0.794,g0333235-045955,1,p,3.55653,-4.99869,3778,0.072,0.074,0.060,3.352,3.470,3.568,2.066,2.0,100,1,1,3864,7.3578,0.0270,1,1,1
J03333580-1344286,12.679,0.774,5.49,11.963,0.790,11.909,0.648,g0333358-134429,1,p,3.55994,-13.74128,12153,0.516,0.532,0.390,2.772,2.877,3.108,2.198,4.0,1058,2,1,11936,3.7869,0.1009,1,1,1
J03333742-2247450,13.150,0.704,1.93,12.515,0.648,12.330,0.557,g0333374-224745,1,p,3.56039,-22.79583,13547,0.498,0.442,0.351,2.727,2.945,3.121,2.029,2.0,,,,,5.7940,0.0521,0,0,0
J03334249-1552426,13.723,0.346,6.00,13.248,0.174,13.005,0.151,g0333425-155243,1,p,3.56181,-15.87850,9548,-0.005,-0.177,-0.200,3.208,3.590,3.667,2.093,1.5,,,,,,,0,0,0
J03334284-2412026,13.537,0.592,4.03,12.877,0.561,12.362,0.686,g0333429-241203,1,,3.56190,-24.20072,16068,0.456,0.425,0.550,2.812,2.989,2.853,2.176,4.0,,,,,3.8640,0.1211,1,0,1
J03341005-7527356,13.666,0.528,3.25,13.208,0.409,12.519,0.497,g0334101-752735,1,p,3.56947,-75.45983,16074,0.392,0.273,0.361,2.918,3.179,3.180,2.149,2.0,,,,,,,0,0,1
J03341331-3717368,12.561,0.582,3.60,11.868,0.574,11.441,0.613,g0334133-371737,1,p,3.57036,-37.29353,13936,0.387,0.379,0.418,3.205,3.352,3.363,2.287,3.0,,,,,3.5117,0.1483,1,1,1
J03341681-3043570,11.669,1.073,6.00,11.133,0.982,10.780,1.028,g0334168-304357,1,p,3.57133,-30.73253,11494,0.799,0.708,0.754,2.566,2.817,2.795,2.207,4.0,,,,,4.4064,0.0796,1,1,1
J03343207-0448387,11.042,1.031,4.50,10.362,1.009,10.067,1.008,g0334321-044839,1,p,3.57558,-4.81072,5908,0.483,0.461,0.460,2.883,3.050,3.121,2.154,2.3,317,2,2,5985,3.7001,0.1067,1,1,1
J03345303-5513036,12.898,0.738,2.22,12.243,0.693,11.990,0.682,g0334530-551304,1,p,3.58140,-55.21772,13052,0.516,0.471,0.460,2.754,2.960,3.005,2.165,2.5,,,,,1.5635,0.7844,1,1,1
J03350583-1549448,11.694,0.788,2.82,10.982,0.791,10.690,0.778,g0335058-154945,2,p,3.58496,-15.82917,9250,0.423,0.426,0.413,3.133,3.260,3.338,2.225,1.3,,,,,1.9872,0.4071,1,1,1
J03350601-3338132,14.000,0.474,2.35,13.225,0.515,12.835,0.592,g0335060-333814,1,,3.58501,-33.63708,15698,0.328,0.369,0.446,2.857,2.938,2.850,2.115,2.3,,,,,,,0,0,0
J03350729-7127474,13.331,0.579,5.80,12.694,0.512,12.415,0.532,g0335073-712747,1,p,3.58537,-71.46311,14834,0.410,0.343,0.363,2.917,3.156,3.140,2.181,0.7,,,,,4.4782,0.0802,1,1,1
J03351659-3513345,9.047,1.193,5.70,8.363,1.185,8.162,1.165,g0335166-351335,1,p,3.58794,-35.22625,1372,0.014,0.006,-0.014,3.307,3.458,3.555,2.227,0.0,,,,,,,1,1,1
J03352428-6746114,13.675,0.243,3.28,13.004,0.191,12.584,0.262,g0335243-674612,1,p,3.59009,-67.76989,10627,-0.064,-0.116,-0.045,3.428,3.652,3.609,2.271,1.0,,,,,,,0,0,0
J03355006-8444504,13.416,0.464,6.00,12.874,0.332,12.608,0.258,g0335501-844450,1,p,3.59726,-84.74731,14091,0.274,0.142,0.068,3.124,3.450,3.617,2.206,0.7,,,,,,,1,0,0
J03355222-7509116,13.062,0.533,6.00,12.383,0.460,11.942,0.538,g0335522-750912,1,p,3.59782,-75.15327,14755,0.362,0.289,0.367,3.140,3.399,3.328,2.279,1.0,,,,,,,1,1,1
J03355804-7425345,13.221,0.498,4.32,12.537,0.442,12.009,0.569,g0335580-742534,1,p,3.59944,-74.42619,15982,0.359,0.303,0.430,3.140,3.372,3.234,2.311,1.3,,,,,6.7454,0.0466,1,1,1
J03360740-5201509,12.682,0.532,4.23,12.066,0.483,11.684,0.508,g0336074-520151,1,p,3.60207,-52.03083,10946,0.238,0.189,0.214,3.238,3.437,3.473,2.261,3.0,,,,,3.4307,0.1690,1,1,1
J03361685-4043420,12.992,0.560,4.95,12.108,0.624,11.893,0.612,g0336168-404342,1,p,3.60468,-40.72839,12118,0.308,0.372,0.360,3.066,3.146,3.183,2.222,0.0,,,,,5.6129,0.0765,1,1,1
J03362402-2539479,12.916,0.477,3.66,12.278,0.413,11.856,0.446,g0336241-253948,1,p,3.60668,-25.66325,14515,0.299,0.235,0.268,3.279,3.514,3.532,2.245,2.7,,,,,10.1596,0.0147,1,1,1
J03363609-1553482,11.955,0.701,4.73,11.282,0.655,10.978,0.661,g0336361-155348,1,,3.61002,-15.89667,9372,0.342,0.296,0.302,3.203,3.413,3.457,2.282,2.0,,,,,1.4660,0.7556,1,1,1
J03365343-2552080,13.323,0.432,4.85,12.709,0.356,12.070,0.589,g0336535-255208,1,p,3.61485,-25.86886,15145,0.271,0.195,0.428,3.209,3.460,3.161,2.221,2.0,,,,,9.9789,0.0168,1,1,1
J03365483-0737286,11.790,0.949,1.94,11.070,0.895,10.764,0.832,g0336548-073729,1,p,3.61523,-7.62469,10891,0.666,0.612,0.549,2.777,3.023,3.199,2.225,4.0,880,2,1,11254,4.9273,0.0762,0,0,0
J03371173-3544461,9.481,1.021,3.02,8.864,0.986,8.632,0.983,g0337117-354446,1,p,3.61993,-35.74611,776,-0.405,-0.440,-0.443,3.473,3.652,3.730,2.083,1.3,,,,,,,1,1,1
J03371309-5250358,11.848,0.682,5.95,11.111,0.699,11.025,0.595,g0337131-525036,1,p,3.62031,-52.84330,5463,0.095,0.112,0.008,3.239,3.357,3.557,2.168,1.7,,,,,7.7799,0.0333,1,1,1
J03373338-0631140,11.139,0.752,5.28,10.394,0.759,10.156,0.734,g0337334-063114,1,p,3.62594,-6.52047,5225,0.146,0.153,0.128,3.390,3.529,3.630,2.322,3.0,,,,,4.1784,0.0773,1,1,1
J03373925-1820220,10.331,0.891,3.10,9.620,0.887,9.438,0.846,g0337392-182022,2,p,3.62757,-18.33947,1883,-0.243,-0.247,-0.288,3.415,3.563,3.690,2.185,3.0,13,0,2,1523,41.9743,0.0002,1,1,1
J03375197-8532065,13.483,0.264,2.78,12.678,0.292,12.441,0.255,g0337517-853207,1,,3.63103,-85.53516,12745,0.033,0.061,0.024,3.493,3.603,3.690,2.365,2.0,,,,,,,1,1,1
J03375207-3336460,13.364,0.486,6.00,12.572,0.518,12.203,0.524,g0337521-333646,1,,3.63114,-33.61283,15642,0.339,0.371,0.377,3.086,3.192,3.238,2.144,2.7,,,,,6.2440,0.0393,1,1,1
J03375780-0500006,11.886,0.686,4.68,11.176,0.671,10.851,0.688,g0337578-050001,1,,3.63273,-5.00022,10650,0.380,0.365,0.382,3.257,3.423,3.450,2.408,4.0,,,,,4.2971,0.0784,1,1,1
J03382369-4004036,13.533,0.243,6.00,12.545,0.449,12.335,0.311,g0338237-400403,1,p,3.63992,-40.06761,16106,0.108,0.314,0.176,3.509,3.344,3.612,2.292,2.5,,,,,8.6114,0.0197,1,1,1
J03382592-6321314,12.315,0.369,3.75,11.589,0.387,11.262,0.413,g0338260-632131,1,p,3.64054,-63.35872,5491,-0.215,-0.197,-0.171,3.684,3.794,3.828,2.242,1.7,,,,,3.8078,0.1180,1,1,1
J03382944-5758333,13.011,0.572,3.32,12.195,0.589,11.980,0.562,g0338295-575834,1,p,3.64151,-57.97597,13841,0.375,0.392,0.365,3.058,3.199,3.255,2.203,2.0,,,,,,,0,0,0
J03384978-6338415,13.480,0.394,4.57,12.774,0.335,12.503,0.240,g0338498-633842,1,,3.64717,-63.64489,10409,0.079,0.020,-0.075,3.202,3.454,3.685,2.136,2.0,,,,,15.8270,0.0075,1,1,1
J03385135-1648535,13.628,0.316,4.55,12.841,0.319,12.350,0.429,g0338513-164853,1,p,3.64759,-16.81481,11536,0.022,0.025,0.135,3.322,3.475,3.377,2.217,3.5,811,4,3,10949,2.0676,0.3479,1,1,1
J03385191-3535398,7.766,1.250,2.96,7.086,1.233,6.820,1.236,g0338519-353539,1,p,3.64775,-35.59420,1767,0.180,0.163,0.166,3.707,3.875,3.950,2.413,0.0,,,,,,,1,1,1
J03385281-1801336,13.629,0.279,2.81,12.768,0.381,12.592,0.253,g0338528-180134,1,p,3.64800,-18.02600,12257,0.038,0.140,0.012,3.395,3.383,3.630,2.093,3.0,1086,2,3,12450,2.2044,0.3275,1,1,0
J03385297-1821146,11.159,0.803,4.16,10.455,0.796,10.223,0.761,g0338530-182115,1,p,3.64805,-18.35408,4103,0.094,0.087,0.052,3.276,3.425,3.549,2.230,3.3,,,,,9.6917,0.0168,1,1,1
J03385735-1643275,12.455,0.813,6.00,11.726,0.816,11.405,0.816,g0338573-164328,1,p,3.64926,-16.72439,11086,0.519,0.522,0.522,2.797,2.927,2.981,2.244,2.0,811,4,3,10949,3.7344,0.1028,1,1,1
J03390011-1710495,12.330,0.506,6.00,11.591,0.503,11.389,0.419,g0339001-171050,2,,3.65003,-17.18042,9258,0.142,0.139,0.055,3.448,3.596,3.779,2.253,3.0,,,,,2.6223,0.2085,1,1,1
J03390302-1751405,11.628,0.854,3.81,10.925,0.836,10.560,0.870,g0339030-175141,1,p,3.65084,-17.86128,12347,0.613,0.595,0.629,3.043,3.208,3.208,2.412,0.7,1086,2,3,12450,4.1894,0.0889,1,1,1
J03391196-1642135,12.761,0.958,6.00,12.538,0.630,11.927,0.806,g0339120-164214,1,p,3.65332,-16.70375,10936,0.664,0.336,0.512,2.387,2.976,2.793,2.121,1.3,811,4,3,10949,2.0052,0.4350,1,1,1
J03391927-1800359,12.947,0.603,5.37,12.211,0.606,11.863,0.609,g0339193-180036,1,p,3.65535,-18.00994,12527,0.362,0.365,0.368,3.019,3.155,3.209,2.040,3.5,1086,2,3,12450,4.0063,0.0901,0,0,0
J03394515-4035514,13.022,0.425,6.00,12.145,0.541,11.974,0.412,g0339452-403552,1,p,3.66254,-40.59764,14969,0.260,0.376,0.247,3.342,3.314,3.553,2.342,1.0,,,,,6.2639,0.0615,1,1,1
J03395225-5448145,13.593,0.401,4.09,12.899,0.447,12.643,0.356,g0339522-544815,1,,3.66451,-54.80408,14014,0.202,0.248,0.157,3.156,3.194,3.397,2.099,0.7,1237,5,2,13782,1.4280,1.1312,1,0,0
J03400924-5510565,14.021,0.381,1.99,13.262,0.460,13.006,0.349,g0340092-551057,1,p,3.66922,-55.18239,12816,0.152,0.231,0.120,3.018,3.017,3.265,2.098,2.0,,,,,,,0,0,0
J03401157-1536380,11.618,0.759,6.00,10.862,0.756,10.591,0.729,g0340116-153639,2,p,3.66988,-15.61069,9287,0.396,0.393,0.366,3.216,3.375,3.474,2.344,2.0,,,,,2.6498,0.2179,1,1,1
J03401370-7455515,13.832,0.081,6.00,12.621,0.416,12.302,0.480,g0340138-745552,1,p,3.67049,-74.93103,15266,-0.076,0.259,0.323,3.740,3.395,3.300,2.363,2.0,,,,,5.1944,0.0808,0,1,1
J03401961-2209394,13.380,0.503,5.10,12.614,0.513,12.629,0.278,g0340196-220940,1,p,3.67212,-22.16103,11546,0.231,0.241,0.006,3.024,3.164,3.557,2.175,2.0,,,,,4.0099,0.1285,1,1,0
J03402403-7322034,13.582,0.306,4.48,13.036,0.218,12.491,0.302,g0340241-732203,1,p,3.67336,-73.36753,14242,0.120,0.032,0.116,3.366,3.608,3.572,2.256,0.5,,,,,4.1216,0.1802,1,0,1
J03403012-8540119,13.022,0.422,5.09,12.412,0.339,12.287,0.204,g0340303-854012,1,p,3.67509,-85.66991,12745,0.191,0.108,-0.027,3.362,3.616,3.854,2.339,1.5,,,,,,,1,1,1
J03403676-3049150,13.533,0.243,2.64,12.617,0.383,12.524,0.271,g0340368-304915,1,,3.67688,-30.82078,9524,-0.109,0.031,-0.081,3.466,3.409,3.609,2.228,0.7,,,,,17.6990,0.0054,1,1,1
J03412717-0500574,13.803,0.258,6.00,12.869,0.446,12.675,0.370,g0341272-050058,1,p,3.69088,-5.01597,12814,0.029,0.217,0.141,3.360,3.208,3.359,2.364,1.0,,,,,9.4088,0.0219,0,0,0
J03414540-2807277,12.949,0.493,6.00,12.148,0.538,11.970,0.473,g0341454-280728,1,p,3.69595,-28.12431,12248,0.245,0.290,0.225,3.217,3.302,3.430,2.380,2.0,,,,,5.6344,0.0452,1,1,1
J03415168-0522128,13.619,0.355,6.00,13.038,0.240,12.812,0.156,g0341517-052213,1,,3.69769,-5.37028,12995,0.132,0.017,-0.067,3.240,3.553,3.732,2.157,0.7,,,,,,,1,0,0
J03415804-3801135,13.721,0.255,3.62,13.184,0.145,12.913,0.169,g0341580-380114,1,p,3.69945,-38.02042,13377,0.044,-0.066,-0.042,3.392,3.680,3.662,2.156,0.5,,,,,,,0,0,0
J03420104-1717317,12.294,0.644,5.00,11.575,0.633,11.378,0.550,g0342010-171732,1,p,3.70029,-17.29214,11811,0.381,0.370,0.287,3.205,3.358,3.525,2.347,2.0,,,,,2.2741,0.2772,1,1,1
J03420335-1731157,11.636,0.817,4.27,10.933,0.765,10.597,0.774,g0342033-173116,1,p,3.70093,-17.52108,11661,0.549,0.497,0.506,3.118,3.348,3.388,2.438,1.7,,,,,2.1777,0.2970,1,1,1
J03420365-5647319,13.200,0.557,6.00,12.686,0.436,12.124,0.611,g0342036-564732,1,p,3.70101,-56.79214,13601,0.352,0.231,0.406,3.001,3.301,3.095,2.268,2.3,,,,,3.7952,0.1579,1,1,1
J03421942-3523337,9.026,1.262,4.75,8.324,1.274,8.139,1.259,g0342194-352334,1,p,3.70540,-35.39264,1321,0.066,0.078,0.063,3.176,3.295,3.376,2.185,0.0,,,,,,,1,1,1
J03422281-2541259,13.068,0.442,6.00,12.623,0.238,12.443,0.163,g0342228-254126,1,p,3.70633,-25.69056,16262,0.330,0.126,0.051,3.303,3.740,3.866,2.390,2.0,1623,4,1,17055,2.9873,0.1801,0,0,0
J03423630-2455336,13.377,0.090,2.31,12.568,0.122,12.397,0.051,g0342363-245533,1,p,3.71009,-24.92592,12243,-0.158,-0.126,-0.197,3.852,3.967,4.103,2.301,2.0,,,,,4.5422,0.0787,1,1,1
J03424012-0622548,11.707,0.700,4.77,10.964,0.708,10.554,0.757,g0342401-062255,1,,3.71114,-6.38186,6191,0.166,0.174,0.223,3.275,3.409,3.427,2.138,4.0,,,,,3.7391,0.1095,1,1,1
J03424801-1754561,13.306,0.470,6.00,12.482,0.565,12.479,0.307,g0342480-175456,1,p,3.71334,-17.91561,11573,0.199,0.294,0.036,3.141,3.127,3.568,2.130,1.3,,,,,1.7802,0.4738,1,1,1
J03430373-5516093,13.006,0.654,6.00,12.029,0.805,12.109,0.563,g0343037-551610,1,p,3.71770,-55.26933,13718,0.455,0.606,0.364,2.884,2.826,3.197,2.187,1.7,1237,5,2,13782,2.1329,0.4266,1,1,1
J03452171-7438539,12.193,0.831,5.11,11.338,0.923,11.241,0.774,g0345217-743854,1,p,3.75602,-74.64841,14997,0.666,0.758,0.609,2.904,2.899,3.141,2.356,1.3,,,,,4.6216,0.0793,1,1,1
J03454083-1325484,11.533,0.562,6.00,10.850,0.558,10.555,0.533,g0345408-132548,1,p,3.76134,-13.43006,8962,0.184,0.180,0.155,3.641,3.773,3.879,2.234,2.0,,,,,4.9830,0.0622,1,1,1
J03454312-0405295,10.244,1.036,3.67,9.517,1.032,9.212,1.047,g0345431-040530,1,p,3.76198,-4.09158,3855,0.321,0.317,0.332,3.183,3.333,3.385,2.239,4.0,103,2,2,4044,6.7166,0.0327,1,1,1
J03454413-1833062,13.679,0.409,2.30,13.105,0.290,12.808,0.288,g0345442-183306,1,p,3.76226,-18.55167,11758,0.144,0.025,0.023,3.116,3.429,3.475,2.273,0.7,,,,,,,0,0,0
J03454716-0901076,11.743,0.895,5.66,11.068,0.832,10.679,0.897,g0345472-090107,1,p,3.76310,-9.01872,9856,0.557,0.494,0.559,2.900,3.145,3.103,2.264,0.3,,,,,1.4803,0.6316,1,1,1
J03460325-2522337,13.106,0.353,6.00,12.502,0.331,12.219,0.293,g0346033-252234,1,,3.76758,-25.37605,13238,0.137,0.115,0.077,3.442,3.581,3.691,2.111,0.7,,,,,5.3399,0.0564,1,1,1
J03460717-0404093,10.944,0.592,3.63,10.250,0.570,9.930,0.599,g0346072-040409,1,p,3.76866,-4.06919,3796,-0.123,-0.145,-0.116,3.790,3.963,3.993,2.302,1.3,103,2,2,4044,6.5453,0.0335,1,1,1
J03461286-0940572,12.002,0.800,2.74,11.338,0.773,10.933,0.796,g0346129-094057,1,p,3.77024,-9.68261,9978,0.463,0.436,0.459,2.984,3.153,3.203,2.221,3.0,782,3,1,9886,1.7293,0.4669,1,1,1
J03461378-2141350,12.920,0.586,4.20,12.023,0.686,11.564,0.770,g0346138-214135,1,p,3.77049,-21.69306,12363,0.342,0.442,0.526,3.053,3.063,3.002,2.091,3.3,,,,,3.3410,0.1398,1,1,1
J03463210-1315477,12.133,0.658,3.61,11.403,0.683,11.040,0.712,g0346321-131548,1,p,3.77559,-13.26328,8754,0.270,0.295,0.324,3.207,3.300,3.327,2.190,1.7,,,,,5.1880,0.0643,1,1,1
J03463527-3423014,13.824,0.356,3.79,13.042,0.392,12.774,0.300,g0346353-342301,1,,3.77647,-34.38369,15624,0.208,0.244,0.152,3.163,3.256,3.458,2.263,0.7,,,,,,,0,0,0
J03464060-3422464,14.081,0.659,2.29,13.262,0.659,12.986,0.711,g0346406-342247,1,,3.77795,-34.37958,16284,0.528,0.528,0.580,2.459,2.638,2.552,2.212,3.7,,,,,,,0,0,0
