2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks
J10235033-0853389,12.576,0.625,6.00,11.909,0.577,11.594,0.542,g1023503-085339,1,p,10.39731,-8.89419,16372,0.496,0.448,0.413,3.138,3.349,3.451,2.386,0.0,,,,,2.8393,0.2078,0,0,0
J10235371-1717362,12.064,0.965,3.84,11.319,0.984,10.963,1.029,g1023537-171736,1,p,10.39826,-17.29342,8332,0.567,0.586,0.631,2.622,2.732,2.724,2.162,4.0,474,3,3,8539,4.0547,0.0949,1,1,1
J10240169-1900374,13.975,0.349,1.64,13.238,0.325,12.730,0.456,g1024017-190037,1,,10.40048,-19.01028,13576,0.144,0.120,0.251,3.120,3.311,3.168,2.112,2.0,,,,,8.6337,0.0264,0,0,0
J10240200-1921214,12.228,0.809,2.48,11.515,0.808,11.237,0.751,g1024020-192122,1,p,10.40056,-19.35600,15135,0.648,0.647,0.590,2.905,3.040,3.175,2.251,3.5,,,,,4.4702,0.0744,1,1,1
J10241456-0423033,12.841,0.781,6.00,12.460,0.525,11.943,0.658,g1024146-042304,1,p,10.40405,-4.38431,16731,0.655,0.399,0.532,2.723,3.235,3.080,2.095,0.5,1511,4,2,16503,1.9532,0.3973,0,0,0
J10242025-2643360,13.194,0.660,4.15,12.746,0.506,12.084,0.770,g1024203-264336,1,,10.40563,-26.72667,11195,0.368,0.214,0.478,2.792,3.129,2.795,2.112,0.0,806,5,2,11010,1.5655,0.7640,1,1,1
J10242507-0436541,13.164,0.577,4.67,12.456,0.557,12.404,0.374,g1024251-043654,1,p,10.40696,-4.61500,16492,0.451,0.431,0.248,3.001,3.173,3.463,2.274,0.0,1511,4,2,16503,1.5541,0.6525,0,0,0
J10243252-3616204,12.108,0.985,2.88,11.356,0.983,11.039,0.999,g1024325-361620,1,p,10.40901,-36.27228,10390,0.669,0.667,0.683,2.577,2.731,2.756,2.226,4.0,,,,,6.4396,0.0384,1,1,1
J10245700-1726039,11.086,1.073,5.80,10.440,1.019,10.066,1.048,g1024570-172604,1,p,10.41583,-17.43444,8542,0.675,0.621,0.650,2.796,3.013,3.044,2.326,4.0,474,3,3,8539,4.1082,0.0898,1,1,1
J10245910-1725359,12.988,0.266,3.82,12.175,0.320,11.959,0.326,g1024591-172536,1,p,10.41641,-17.42661,8572,-0.132,-0.078,-0.072,3.649,3.717,3.731,2.070,2.0,474,3,3,8539,3.9966,0.0996,1,1,1
J10250673-6920485,12.108,0.751,6.00,11.392,0.751,11.324,0.592,g1025067-692049,1,p,10.41853,-69.34686,7664,0.308,0.308,0.149,3.044,3.175,3.460,2.108,1.0,,,,,11.8581,0.0112,0,0,0
J10254477-0919461,13.584,0.371,5.99,12.859,0.394,12.725,0.211,g1025448-091946,1,,10.42910,-9.32947,16012,0.233,0.256,0.073,3.240,3.333,3.660,2.185,1.0,,,,,3.0805,0.2580,1,0,0
J10255484-2652469,13.072,0.438,6.00,12.649,0.164,12.282,0.163,g1025548-265247,1,,10.43190,-26.87978,11135,0.146,-0.128,-0.129,3.285,3.852,3.930,2.231,1.5,806,5,2,11010,1.1485,1.4196,0,0,0
J10260817-2014069,11.569,0.731,3.90,10.881,0.723,10.619,0.705,g1026082-201407,1,p,10.43560,-20.23528,5990,0.183,0.175,0.157,3.270,3.413,3.506,2.250,1.0,,,,,7.6825,0.0262,1,1,1
J10260948-2034149,11.735,0.708,4.68,10.970,0.737,10.689,0.708,g1026095-203415,1,,10.43596,-20.57081,12555,0.470,0.499,0.470,3.295,3.390,3.481,2.330,0.0,,,,,9.4345,0.0174,1,1,1
J10261383-1457516,12.613,0.554,6.00,11.889,0.541,11.903,0.304,g1026138-145752,1,p,10.43718,-14.96436,11093,0.265,0.252,0.015,3.252,3.412,3.806,2.373,0.0,,,,,7.6631,0.0256,1,1,1
J10262146-0237197,10.775,1.036,3.97,10.153,0.984,9.916,0.948,g1026215-023720,1,p,10.43929,-2.62217,5819,0.485,0.433,0.397,2.967,3.176,3.297,2.292,0.0,251,2,1,5938,4.1014,0.0852,1,1,1
J10262861-0354567,12.954,0.412,4.03,12.248,0.417,11.967,0.403,g1026286-035457,1,p,10.44129,-3.91569,11905,0.152,0.157,0.143,3.384,3.508,3.574,2.285,0.0,,,,,2.4828,0.2413,1,1,1
