6dFGS,No,logAge,e_logAge,[Fe/H],e_[Fe/H],[a/Fe],e_[a/Fe],[Z/H],e_[Z/H],Q,_RA,_DE
g2109260-161309,1,1.175,0.050,0.202,0.072,0.210,0.058,0.400,0.037,10,317.3583333,-16.2191667
g2109281-525560,1,1.000,0.059,-0.371,0.065,0.500,0.044,0.100,0.034,4,317.3672500,-52.9333056
g2109323-292018,1,0.850,0.134,-0.796,0.223,0.420,0.140,-0.400,0.128,8,317.3847500,-29.3384167
g2109323-645321,1,0.925,0.096,-0.351,0.115,0.240,0.079,-0.125,0.055,3,317.3843750,-64.8891389
g2109378-033042,1,0.150,0.050,0.074,0.135,0.320,0.059,0.375,0.125,6,317.4074583,-3.5117500
g2109536-160854,1,1.175,0.030,0.180,0.064,0.180,0.052,0.350,0.027,6,317.4731250,-16.1483333
g2109559-701408,1,0.950,0.095,0.202,0.070,0.210,0.040,0.400,0.049,4,317.4828750,-70.2355556
g2110009-140441,1,0.875,0.073,0.168,0.070,0.060,0.042,0.225,0.044,3,317.5035833,-14.0779722
g2110036-511012,1,0.300,0.085,-0.471,0.225,0.420,0.146,-0.075,0.111,10,317.5150000,-51.1700556
g2110082-004623,1,-0.100,0.043,0.238,0.104,-0.120,0.072,0.125,0.078,8,317.5340000,-0.7729444
g2110199-023050,1,0.175,0.072,0.341,0.182,-0.150,0.116,0.200,0.125,7,317.5830833,-2.5139722
g2110272-291512,1,0.425,0.162,0.266,0.266,-0.150,0.114,0.125,0.209,7,317.6134167,-29.2533889
g2110289-231248,1,0.900,0.105,0.027,0.104,0.210,0.057,0.225,0.065,3,317.6202500,-23.2133611
g2110476-232231,1,0.900,0.072,-0.035,0.086,0.090,0.057,0.050,0.053,2,317.6984167,-23.3752500
g2110542-034635,1,0.950,0.097,-0.351,0.130,0.240,0.090,-0.125,0.058,6,317.7259167,-3.7763056
g2110564-020548,1,-0.200,0.048,0.238,0.113,-0.120,0.064,0.125,0.112,10,317.7350833,-2.0966944
g2110572-434240,1,0.550,0.124,0.037,0.140,0.120,0.076,0.150,0.085,7,317.7384583,-43.7110000
g2111074-204357,1,1.150,0.073,-0.729,0.132,0.270,0.098,-0.475,0.071,3,317.7809583,-20.7326111
g2111079-231411,1,1.100,0.056,-0.352,0.103,0.400,0.068,0.025,0.057,5,317.7827917,-23.2362500
g2111102-220635,1,1.100,0.069,-0.270,0.092,0.180,0.074,-0.100,0.043,3,317.7926667,-22.1096389
g2111125-805048,1,0.600,0.100,0.012,0.118,0.120,0.063,0.125,0.076,3,317.8020000,-80.8467778
g2111148-483016,1,1.025,0.040,-0.539,0.067,0.440,0.047,-0.125,0.030,3,317.8116250,-48.5044722
g2111324-423852,1,0.250,0.091,0.388,0.214,-0.120,0.070,0.275,0.167,3,317.8850417,-42.6478333
g2111521-491701,1,1.025,0.035,-0.223,0.055,0.210,0.037,-0.025,0.031,3,317.9668750,-49.2837222
g2111577-230936,1,0.750,0.123,0.275,0.124,0.000,0.055,0.275,0.090,5,317.9905417,-23.1600000
g2111577-482700,1,0.600,0.057,-0.023,0.079,0.210,0.056,0.175,0.052,7,317.9904167,-48.4500556
g2112080-232445,1,0.850,0.102,-0.035,0.133,0.090,0.084,0.050,0.077,4,318.0334583,-23.4124722
g2112122-461744,1,0.850,0.087,0.128,0.093,-0.030,0.052,0.100,0.057,3,318.0508750,-46.2956667
g2112284-051708,1,1.000,0.072,-0.564,0.111,0.440,0.081,-0.150,0.053,3,318.1182917,-5.2854167
g2112346-815201,1,0.575,0.122,0.057,0.133,-0.060,0.086,0.000,0.084,5,318.1442500,-81.8668056
g2112478-443727,1,0.700,0.094,0.272,0.097,0.030,0.045,0.300,0.068,4,318.1993333,-44.6240556
g2113002-550248,1,0.525,0.091,-0.101,0.123,0.320,0.053,0.200,0.086,5,318.2509583,-55.0466111
g2113120-000837,1,0.400,0.084,0.429,0.111,-0.270,0.051,0.175,0.086,6,318.3000000,-0.1435556
g2113154-373213,1,0.775,0.081,-0.360,0.109,0.090,0.091,-0.275,0.063,2,318.3143333,-37.5368889
g2113208-475712,1,0.200,0.043,0.228,0.101,-0.030,0.050,0.200,0.067,2,318.3367083,-47.9533889
g2113232-722920,1,0.200,0.068,0.203,0.177,-0.030,0.080,0.175,0.124,4,318.3465833,-72.4888611
g2113283-742656,1,1.175,0.016,-0.707,0.063,0.400,0.056,-0.330,0.024,1,318.3679583,-74.4489722
g2113327-012248,1,0.250,0.042,-0.116,0.141,0.150,0.090,0.025,0.068,5,318.3861250,-1.3799722
g2113355-430022,1,0.325,0.143,0.209,0.223,0.150,0.078,0.350,0.173,6,318.3977917,-43.0061667
g2113568-515120,1,0.775,0.139,-0.020,0.147,0.180,0.068,0.150,0.097,6,318.4866250,-51.8555278
g2114125-424048,1,0.775,0.147,-0.104,0.165,0.270,0.083,0.150,0.101,6,318.5519167,-42.6799444
g2114146-651336,1,0.300,0.074,0.113,0.142,-0.120,0.082,0.000,0.094,5,318.5607917,-65.2267222
g2114163-514722,1,0.550,0.100,-0.066,0.122,0.150,0.073,0.075,0.074,5,318.5679583,-51.7893333
g2114203-790702,1,1.000,0.074,-0.101,0.104,0.320,0.064,0.200,0.059,4,318.5846250,-79.1172500
g2114236-050557,1,0.050,0.044,0.107,0.121,-0.060,0.071,0.050,0.078,4,318.5981250,-5.0990278
g2114369-511857,1,0.800,0.120,-0.003,0.136,0.030,0.078,0.025,0.090,5,318.6535417,-51.3158056
g2114401-282721,1,0.975,0.098,-0.304,0.125,0.270,0.080,-0.050,0.073,4,318.6672083,-28.4557222
g2114516-463352,1,1.075,0.030,-0.606,0.089,0.590,0.070,-0.050,0.037,4,318.7147917,-46.5643333
g2114560-672924,1,0.575,0.107,0.002,0.130,0.210,0.060,0.200,0.085,2,318.7334167,-67.4900278
g2115082-232131,1,1.150,0.027,0.059,0.064,0.150,0.056,0.200,0.038,6,318.7842917,-23.3584722
g2115192-722212,1,1.075,0.030,-0.123,0.051,0.210,0.042,0.075,0.032,4,318.8300833,-72.3700000
g2115356-465229,1,0.525,0.133,0.074,0.134,0.240,0.060,0.300,0.107,6,318.8982917,-46.8745833
g2115358-471730,1,0.975,0.110,0.057,0.124,-0.060,0.070,0.000,0.080,9,318.8992500,-47.2915556
g2115443-225924,1,0.550,0.122,-0.191,0.155,0.150,0.096,-0.050,0.084,5,318.9344583,-22.9898889
g2116009-464030,1,0.575,0.100,0.065,0.130,0.090,0.071,0.150,0.078,5,319.0037917,-46.6748889
g2116124-734956,1,0.600,0.128,-0.173,0.176,0.210,0.108,0.025,0.097,5,319.0515417,-73.8322500
g2116144-221404,1,1.175,0.030,-0.370,0.070,0.340,0.053,-0.050,0.035,5,319.0601250,-22.2344722
g2116171-553039,1,0.600,0.115,0.012,0.134,0.120,0.068,0.125,0.088,2,319.0713333,-55.5109444
g2116254-513934,1,0.500,0.085,0.368,0.108,0.060,0.048,0.425,0.089,7,319.1058750,-51.6593889
g2116324-482149,1,1.100,0.000,-0.098,0.029,0.210,0.026,0.100,0.016,2,319.1349167,-48.3635556
g2116462-421542,1,1.175,0.014,-0.220,0.034,0.180,0.031,-0.050,0.021,7,319.1925000,-42.2616944
g2116571-281935,1,0.575,0.123,0.143,0.129,0.060,0.060,0.200,0.093,3,319.2378750,-28.3263611
g2116577-735657,1,1.100,0.026,-0.246,0.065,0.500,0.059,0.225,0.040,5,319.2405833,-73.9491389
g2117017-501523,1,0.975,0.077,-0.033,0.075,0.300,0.044,0.250,0.056,4,319.2570000,-50.2563333
g2117064-230717,1,1.175,0.004,-0.183,0.042,0.380,0.036,0.175,0.023,5,319.2765417,-23.1215000
g2117104-755710,1,0.275,0.081,0.143,0.156,0.060,0.081,0.200,0.121,6,319.2934583,-75.9527222
g2117120-555616,1,0.550,0.099,-0.521,0.168,0.420,0.107,-0.125,0.079,7,319.2997917,-55.9377778
g2117127-193737,1,0.675,0.103,0.034,0.116,0.150,0.058,0.175,0.075,4,319.3030417,-19.6270000
g2117283-224858,1,1.000,0.060,-0.066,0.085,0.150,0.060,0.075,0.050,2,319.3680000,-22.8161111
g2117291-804809,1,0.050,0.077,0.328,0.176,-0.030,0.078,0.300,0.126,4,319.3712083,-80.8023611
g2117551-224624,1,0.175,0.050,-0.326,0.194,0.240,0.114,-0.100,0.103,5,319.4795417,-22.7733889
g2118041-514338,1,0.400,0.118,-0.017,0.178,-0.300,0.067,-0.300,0.140,6,319.5171250,-51.7273333
g2118055-223950,1,0.550,0.099,-0.013,0.146,0.120,0.088,0.100,0.085,7,319.5229583,-22.6639722
g2118215-272053,1,1.175,0.025,-0.270,0.078,0.340,0.063,0.050,0.040,4,319.5897500,-27.3480556
g2118419-450026,1,0.875,0.092,-0.371,0.104,0.420,0.060,0.025,0.061,4,319.6745000,-45.0071667
g2118529-552644,1,1.175,0.019,-0.183,0.072,0.460,0.062,0.250,0.026,10,319.7203333,-55.4454444
g2119154-711500,1,0.500,0.061,-0.226,0.087,0.320,0.058,0.075,0.047,6,319.8141667,-71.2500556
g2119187-061441,1,0.800,0.100,0.057,0.111,-0.060,0.070,0.000,0.065,3,319.8278750,-6.2447778
g2119259-064530,1,1.100,0.046,-0.208,0.060,0.300,0.048,0.075,0.035,8,319.8579583,-6.7584167
