6dFGS,No,logAge,e_logAge,[Fe/H],e_[Fe/H],[a/Fe],e_[a/Fe],[Z/H],e_[Z/H],Q,_RA,_DE
g0409117-752840,1,0.575,0.150,-0.043,0.195,-0.060,0.103,-0.100,0.114,6,62.2986250,-75.4777500
g0409119-012837,1,0.525,0.051,0.077,0.073,0.210,0.042,0.275,0.043,5,62.2997083,-1.4768056
g0409139-012818,1,1.075,0.010,-0.301,0.046,0.240,0.038,-0.075,0.018,4,62.3080833,-1.4715556
g0409240-214960,2,0.025,0.036,-0.791,0.247,0.680,0.156,-0.150,0.120,10,62.3501667,-21.8332778
g0409247-550531,1,0.250,0.036,0.159,0.092,0.150,0.043,0.300,0.061,3,62.3530417,-55.0919722
g0409518-560706,1,0.675,0.043,0.230,0.040,0.180,0.023,0.400,0.026,2,62.4660000,-56.1184444
g0409548-084157,2,1.075,0.024,-0.404,0.056,0.270,0.046,-0.150,0.023,4,62.4782500,-8.6991111
g0409556-101609,1,1.075,0.030,0.130,0.043,0.180,0.028,0.300,0.025,6,62.4814583,-10.2690833
g0410190-245724,2,0.850,0.108,-0.198,0.110,0.210,0.071,0.000,0.056,7,62.5789583,-24.9566667
g0410239-695758,1,0.600,0.084,0.193,0.089,0.060,0.038,0.250,0.066,3,62.5996667,-69.9659722
g0410323-691804,1,0.600,0.136,0.022,0.166,0.030,0.085,0.050,0.102,8,62.6347500,-69.3011111
g0410324-544104,1,1.025,0.051,0.130,0.061,0.180,0.033,0.300,0.037,7,62.6349583,-54.6843333
g0410499-093745,1,0.800,0.102,0.275,0.094,0.000,0.046,0.275,0.062,3,62.7079167,-9.6292222
g0410577-664401,1,0.850,0.092,-0.141,0.084,0.150,0.053,0.000,0.047,2,62.7402083,-66.7335833
g0411044-772626,1,1.175,0.011,-0.376,0.093,0.240,0.076,-0.150,0.032,7,62.7683333,-77.4405833
g0411071-145211,1,0.475,0.048,-0.020,0.071,0.180,0.040,0.150,0.041,6,62.7795000,-14.8697778
g0411460-382714,1,0.725,0.142,-0.415,0.200,0.090,0.104,-0.330,0.116,6,62.9416667,-38.4539167
g0411523-535009,1,1.150,0.005,-0.314,0.056,0.440,0.050,0.100,0.031,8,62.9677917,-53.8357778
g0412170-131216,1,1.000,0.029,-0.352,0.043,0.480,0.031,0.100,0.024,7,63.0708750,-13.2044444
g0412343-541310,1,0.825,0.095,0.043,0.084,0.060,0.043,0.100,0.059,4,63.1429583,-54.2195556
g0412432-574416,1,0.550,0.043,0.234,0.041,0.150,0.023,0.375,0.031,3,63.1800000,-57.7378889
g0413023-532941,1,0.450,0.081,-0.079,0.118,0.270,0.064,0.175,0.073,3,63.2595833,-53.4947778
g0413355-390521,1,1.100,0.009,-0.216,0.057,0.150,0.046,-0.075,0.023,5,63.3977083,-39.0891667
g0413370-681357,1,0.425,0.141,0.438,0.171,-0.120,0.064,0.325,0.136,10,63.4041667,-68.2324167
g0413382-692337,1,0.350,0.059,0.005,0.117,0.180,0.069,0.175,0.061,5,63.4093333,-69.3935278
g0414015-132324,1,0.500,0.057,0.042,0.060,0.300,0.032,0.325,0.042,10,63.5061250,-13.3899167
g0414046-084309,1,1.075,0.020,0.185,0.042,-0.090,0.034,0.100,0.032,8,63.5192500,-8.7191389
g0414074-130923,1,0.950,0.067,-0.091,0.082,0.150,0.049,0.050,0.046,5,63.5309583,-13.1565000
g0414079-381642,1,1.100,0.032,0.170,0.068,-0.180,0.050,0.000,0.036,9,63.5330833,-38.2783333
g0414174-751208,1,0.500,0.073,0.178,0.092,-0.030,0.046,0.150,0.061,3,63.5726250,-75.2022500
g0414360-131029,1,0.800,0.079,-0.026,0.072,0.320,0.038,0.275,0.046,3,63.6500000,-13.1747778
g0414365-530622,1,0.725,0.088,-0.045,0.106,0.180,0.059,0.125,0.064,5,63.6521667,-53.1059722
g0414561-131130,1,1.175,0.000,-0.289,0.036,0.360,0.027,0.050,0.019,8,63.7336250,-13.1916667
g0415043-080257,1,0.525,0.068,-0.554,0.092,0.270,0.056,-0.300,0.054,1,63.7680833,-8.0492222
g0415074-130744,1,0.675,0.065,0.121,0.054,0.270,0.027,0.375,0.037,5,63.7809583,-13.1288611
g0415135-142110,1,1.150,0.008,-0.649,0.057,0.530,0.048,-0.150,0.018,5,63.8064167,-14.3526667
g0415206-070351,1,0.975,0.053,0.034,0.055,0.150,0.029,0.175,0.039,4,63.8359167,-7.0642222
g0415248-380141,1,0.950,0.078,0.297,0.068,0.030,0.036,0.325,0.047,5,63.8534583,-38.0280000
g0415286-151701,1,0.225,0.036,0.034,0.094,0.150,0.055,0.175,0.054,3,63.8690833,-15.2835278
g0415303-244148,1,0.725,0.077,0.175,0.092,0.000,0.048,0.175,0.062,8,63.8764167,-24.6966111
g0415396-143856,1,0.475,0.057,-0.379,0.089,0.270,0.059,-0.125,0.049,4,63.9150417,-14.6487778
g0415413-675229,1,0.850,0.172,0.165,0.184,0.090,0.074,0.250,0.136,7,63.9219167,-67.8747778
g0416034-533037,1,1.175,0.010,-0.633,0.074,0.380,0.059,-0.275,0.030,4,64.0139583,-53.5102500
g0416079-233245,1,1.025,0.061,-0.113,0.066,0.120,0.046,0.000,0.041,8,64.0329167,-23.5457500
g0416090-613111,1,0.800,0.111,-0.708,0.188,0.380,0.107,-0.350,0.124,9,64.0375833,-61.5198333
g0416129-023636,1,1.125,0.015,-0.085,0.052,0.090,0.042,0.000,0.027,6,64.0535833,-2.6098889
g0416166-535842,1,0.525,0.113,0.029,0.131,0.420,0.047,0.425,0.105,3,64.0691667,-53.9782500
g0416184-391924,1,0.450,0.117,0.237,0.134,0.120,0.057,0.350,0.103,8,64.0765000,-39.3233056
g0416263-792606,1,1.100,0.035,-0.433,0.067,0.300,0.053,-0.150,0.032,7,64.1095000,-79.4348611
g0416382-122355,1,0.875,0.074,-0.924,0.122,0.530,0.064,-0.425,0.079,10,64.1589583,-12.3985556
g0416424-121200,1,0.600,0.035,0.180,0.036,0.180,0.023,0.350,0.024,6,64.1768333,-12.2000556
g0416470-513326,1,0.700,0.100,-0.004,0.110,0.270,0.054,0.250,0.072,2,64.1960000,-51.5573333
g0416581-120902,1,0.600,0.083,0.097,0.103,0.030,0.046,0.125,0.073,8,64.2418750,-12.1506111
g0416596-122205,1,0.450,0.066,0.053,0.095,-0.030,0.055,0.025,0.061,5,64.2482500,-12.3680278
g0417154-700126,2,0.700,0.053,-0.020,0.077,0.180,0.044,0.150,0.047,1,64.3143333,-70.0237778
g0417160-040759,1,0.675,0.120,0.205,0.104,0.180,0.045,0.375,0.074,3,64.3166250,-4.1329167
g0417218-040701,1,1.150,0.000,-0.356,0.065,0.590,0.048,0.200,0.028,8,64.3406667,-4.1168611
g0417242-371655,1,0.775,0.083,-0.221,0.083,0.420,0.043,0.175,0.055,9,64.3510000,-37.2818889
g0417280-502600,1,1.175,0.016,-0.035,0.053,0.090,0.044,0.050,0.030,2,64.3666667,-50.4333333
g0417281-081032,1,0.300,0.060,0.068,0.126,0.060,0.074,0.125,0.073,4,64.3670833,-8.1755556
g0417321-131028,1,1.100,0.041,-0.189,0.060,0.440,0.036,0.225,0.034,5,64.3837917,-13.1745000
g0417345-525307,1,0.475,0.107,-0.204,0.154,0.270,0.088,0.050,0.085,3,64.3937500,-52.8852778
g0417356-255627,1,1.175,0.000,0.024,0.036,0.240,0.029,0.250,0.016,3,64.3982500,-25.9408611
g0417364-104323,1,0.900,0.089,0.018,0.079,0.060,0.047,0.075,0.059,5,64.4017917,-10.7229167
g0417457-370832,1,0.850,0.116,-0.132,0.111,0.060,0.065,-0.075,0.067,6,64.4402917,-37.1422778
g0417522-634031,1,0.725,0.057,0.230,0.045,0.180,0.025,0.400,0.027,4,64.4674167,-63.6752500
g0417534-563659,1,0.850,0.071,-0.095,0.079,0.180,0.046,0.075,0.043,4,64.4723333,-56.6162500
g0418125-541406,1,0.850,0.116,-0.070,0.105,0.180,0.052,0.100,0.072,2,64.5520000,-54.2350556
g0418513-412510,1,1.075,0.026,-0.154,0.054,0.270,0.038,0.100,0.031,3,64.7137917,-41.4193056
g0418522-372743,1,1.125,0.019,-0.329,0.052,0.270,0.043,-0.075,0.026,5,64.7172917,-37.4620278
g0418541-141146,1,1.000,0.026,-0.063,0.033,0.120,0.024,0.050,0.022,3,64.7253333,-14.1960000
g0418568-114720,1,0.475,0.070,0.350,0.079,0.000,0.038,0.350,0.060,5,64.7365417,-11.7888333
g0418571-632921,1,0.225,0.036,-0.008,0.078,0.300,0.033,0.275,0.062,7,64.7377083,-63.4891111
g0418576-014131,1,0.450,0.077,0.274,0.094,0.240,0.038,0.500,0.087,7,64.7399583,-1.6920278
g0418586-371232,1,0.175,0.053,0.152,0.161,0.210,0.068,0.350,0.125,9,64.7441667,-37.2089722
g0419165-140611,1,0.550,0.067,0.196,0.063,0.270,0.027,0.450,0.049,2,64.8189167,-14.1031389
g0419244-673329,1,0.500,0.134,0.113,0.151,-0.120,0.072,0.000,0.100,7,64.8515000,-67.5581389
g0419248-080258,1,0.775,0.098,-0.360,0.128,0.090,0.086,-0.275,0.071,2,64.8533333,-8.0493333
g0419278-264355,1,0.850,0.082,-0.107,0.082,0.060,0.045,-0.050,0.047,7,64.8657083,-26.7318611
g0419441-001526,1,0.550,0.089,0.180,0.113,0.180,0.056,0.350,0.083,9,64.9337500,-0.2572778
g0419477-005450,1,0.600,0.084,-0.091,0.099,0.150,0.055,0.050,0.059,3,64.9485833,-0.9139167
g0419513-734005,1,1.175,0.031,-0.320,0.059,0.180,0.042,-0.150,0.031,6,64.9636667,-73.6680278
g0420024-371629,1,0.625,0.091,0.115,0.124,0.090,0.061,0.200,0.078,8,65.0100000,-37.2747778
g0420031-510945,1,0.725,0.082,-0.126,0.100,0.320,0.061,0.175,0.057,6,65.0129167,-51.1623889
g0420177-004134,1,0.950,0.059,0.132,0.059,-0.060,0.037,0.075,0.042,2,65.0736667,-0.6927222
g0420258-145947,1,0.725,0.087,-0.145,0.107,0.180,0.060,0.025,0.061,9,65.1072917,-14.9963333
g0420259-533211,1,1.175,0.013,-0.539,0.069,0.440,0.058,-0.125,0.027,4,65.1078333,-53.5362500
g0420290-062507,1,0.825,0.087,-0.048,0.084,0.210,0.054,0.150,0.054,7,65.1208750,-6.4186111
g0420398-064402,1,1.075,0.008,-0.098,0.040,0.210,0.035,0.100,0.022,3,65.1660000,-6.7338333
g0420410-144652,1,0.750,0.060,0.074,0.058,0.240,0.032,0.300,0.038,10,65.1707917,-14.7810556
g0420443-181042,1,0.700,0.094,-0.085,0.090,0.090,0.050,0.000,0.057,7,65.1845000,-18.1782778
g0420579-054645,1,0.850,0.102,-0.364,0.114,0.360,0.091,-0.025,0.058,9,65.2411667,-5.7791667
g0421002-035914,1,0.925,0.060,-0.229,0.068,0.270,0.046,0.025,0.039,3,65.2507917,-3.9871944
g0421093-064503,1,0.825,0.084,-0.213,0.089,0.120,0.060,-0.100,0.047,4,65.2885833,-6.7508889
g0421135-245840,1,0.425,0.083,0.099,0.115,0.240,0.037,0.325,0.091,7,65.3062500,-24.9777222
g0421172-095645,1,0.600,0.075,0.337,0.061,0.120,0.025,0.450,0.047,3,65.3217500,-9.9458611
g0421210-063840,1,0.825,0.098,0.155,0.079,0.180,0.034,0.325,0.057,3,65.3375000,-6.6444167
g0421225-051007,1,1.175,0.004,-0.029,0.042,0.270,0.037,0.225,0.017,7,65.3436667,-5.1685278
g0421252-020850,1,0.750,0.085,-0.101,0.103,0.240,0.061,0.125,0.055,5,65.3547917,-2.1472222
g0421379-573157,1,0.225,0.030,-0.327,0.105,0.480,0.073,0.125,0.044,7,65.4078750,-57.5324722
g0421476-154520,1,1.175,0.000,-0.333,0.046,0.380,0.035,0.025,0.020,7,65.4484583,-15.7555000
g0421480-021058,1,0.800,0.098,-0.048,0.081,0.210,0.041,0.150,0.059,1,65.4501250,-2.1826944
g0421524-040843,1,1.075,0.017,-0.229,0.045,0.270,0.033,0.025,0.025,5,65.4683750,-4.1453056
g0422021-034019,1,0.550,0.084,0.400,0.083,0.000,0.042,0.400,0.064,7,65.5089167,-3.6718889
g0422195-375336,1,0.575,0.059,0.140,0.066,0.090,0.036,0.225,0.044,2,65.5811667,-37.8932778
g0422284-073050,1,0.350,0.059,-0.158,0.114,0.300,0.072,0.125,0.059,9,65.6182500,-7.5139444
g0422294-050129,1,1.075,0.012,0.147,0.034,0.030,0.027,0.175,0.022,7,65.6225833,-5.0246944
g0422427-123654,1,1.000,0.058,-0.082,0.056,0.060,0.035,-0.025,0.035,2,65.6780000,-12.6151111
g0422538-113820,1,0.700,0.107,0.007,0.118,-0.060,0.074,-0.050,0.062,10,65.7241250,-11.6389167
g0423011-155045,1,1.175,0.000,-0.073,0.032,0.210,0.025,0.125,0.019,5,65.7545417,-15.8456944
g0423020-030741,1,1.100,0.071,0.215,0.075,0.090,0.056,0.300,0.047,10,65.7582083,-3.1279167
g0423100-071253,1,0.425,0.061,-0.035,0.123,0.090,0.069,0.050,0.068,6,65.7917083,-7.2148333
g0423236-050859,1,0.800,0.121,0.142,0.082,0.380,0.033,0.500,0.066,6,65.8482917,-5.1496944
g0423245-072215,1,0.500,0.039,0.134,0.051,0.150,0.026,0.275,0.034,4,65.8518750,-7.3709444
g0423282-114724,1,0.725,0.107,0.146,0.097,0.270,0.040,0.400,0.068,10,65.8676667,-11.7900278
g0423298-154555,1,0.575,0.069,-0.116,0.085,0.150,0.046,0.025,0.055,2,65.8739583,-15.7653333
g0423386-742157,1,0.350,0.088,-0.058,0.154,0.300,0.071,0.225,0.099,7,65.9107917,-74.3659444
g0423430-733132,1,0.450,0.077,-0.238,0.126,0.120,0.071,-0.125,0.070,4,65.9289583,-73.5256389
g0424186-274344,1,1.175,0.011,0.090,0.050,0.090,0.041,0.175,0.025,7,66.0774167,-27.7288611
g0424299-102940,1,0.575,0.083,0.062,0.091,0.120,0.044,0.175,0.063,4,66.1244167,-10.4943333
g0424305-135052,1,0.725,0.084,-0.388,0.107,0.120,0.074,-0.275,0.056,6,66.1269583,-13.8478611
g0424432-122117,1,0.575,0.097,0.037,0.106,0.120,0.048,0.150,0.074,7,66.1799167,-12.3546389
g0425011-095421,1,0.550,0.060,0.011,0.058,0.440,0.031,0.425,0.045,6,66.2547083,-9.9059444
g0425191-144311,1,1.100,0.026,-1.129,0.080,0.800,0.062,-0.375,0.037,5,66.3296667,-14.7197500
g0425221-071837,1,0.975,0.060,-0.104,0.070,0.270,0.044,0.150,0.040,10,66.3420000,-7.3103333
g0425307-104137,1,0.825,0.086,0.140,0.074,0.090,0.044,0.225,0.050,9,66.3779167,-10.6935556
g0425321-093328,1,0.700,0.078,-0.016,0.095,0.150,0.049,0.125,0.058,3,66.3835833,-9.5578611
g0425470-083158,1,1.175,0.011,-0.891,0.060,0.680,0.052,-0.250,0.022,9,66.4457083,-8.5327222
g0425507-103740,1,0.350,0.054,-0.023,0.080,0.210,0.045,0.175,0.052,5,66.4613750,-10.6277778
g0425567-102440,1,0.800,0.142,0.375,0.104,0.000,0.050,0.375,0.079,7,66.4863333,-10.4110833
g0425569-083740,1,1.175,0.013,0.105,0.038,0.180,0.035,0.275,0.015,4,66.4869583,-8.6278889
g0426065-082335,1,0.300,0.058,-0.195,0.139,0.340,0.085,0.125,0.067,9,66.5271667,-8.3931111
g0426138-103324,1,1.100,0.025,-0.051,0.055,0.240,0.037,0.175,0.031,5,66.5574167,-10.5567778
g0426165-371409,1,1.150,0.015,0.329,0.053,-0.270,0.033,0.075,0.036,8,66.5685417,-37.2357778
g0426177-125747,1,1.125,0.117,-0.248,0.082,0.210,0.050,-0.050,0.078,8,66.5738333,-12.9630278
g0426188-033716,1,0.725,0.043,-0.108,0.054,0.300,0.031,0.175,0.032,2,66.5784167,-3.6210833
g0426206-100554,1,0.975,0.051,-0.045,0.051,0.180,0.032,0.125,0.030,2,66.5856250,-10.0984444
g0426214-115103,1,0.675,0.060,-0.377,0.093,0.480,0.053,0.075,0.050,8,66.5891250,-11.8508889
g0426260-125126,1,0.525,0.078,-0.070,0.105,0.180,0.058,0.100,0.063,4,66.6084583,-12.8571944
g0426331-320953,1,0.450,0.069,0.090,0.091,0.090,0.043,0.175,0.060,6,66.6380417,-32.1646389
g0426332-081926,1,0.775,0.083,0.165,0.084,0.090,0.040,0.250,0.058,4,66.6383750,-8.3240000
g0426380-103257,1,0.700,0.063,-0.252,0.089,0.400,0.055,0.125,0.047,5,66.6583750,-10.5492778
g0426461-115827,1,0.900,0.109,-0.379,0.106,0.270,0.059,-0.125,0.059,3,66.6922500,-11.9741944
g0426513-101152,1,0.675,0.075,-0.166,0.081,0.150,0.041,-0.025,0.050,4,66.7136250,-10.1976667
g0426521-131425,1,0.675,0.070,0.105,0.069,0.180,0.030,0.275,0.047,5,66.7172500,-13.2401667
g0426548-115909,1,0.950,0.079,-0.248,0.084,0.210,0.045,-0.050,0.051,4,66.7281250,-11.9856944
g0426572-404717,1,0.675,0.104,0.416,0.106,-0.150,0.047,0.275,0.079,7,66.7384167,-40.7880000
g0426592-115804,1,1.100,0.008,-0.552,0.050,0.400,0.045,-0.175,0.019,5,66.7464583,-11.9676944
g0426597-035009,1,0.675,0.089,0.009,0.112,0.150,0.052,0.150,0.084,5,66.7486250,-3.8358056
g0427022-100113,1,1.025,0.047,0.102,0.065,0.210,0.045,0.300,0.035,5,66.7592500,-10.0202222
g0427048-060954,1,0.650,0.060,-0.088,0.073,0.120,0.043,0.025,0.041,5,66.7701667,-6.1649167
g0427113-060714,1,0.425,0.052,-0.038,0.088,0.120,0.045,0.075,0.054,3,66.7971250,-6.1205000
g0427181-101905,1,0.500,0.070,0.012,0.089,0.120,0.045,0.125,0.057,4,66.8255833,-10.3180833
g0427186-101823,1,0.450,0.073,0.085,0.105,-0.090,0.058,0.000,0.066,9,66.8275000,-10.3063056
g0427200-101934,1,1.150,0.030,-0.471,0.070,0.420,0.057,-0.075,0.030,5,66.8331667,-10.3261944
g0427328-120937,1,0.825,0.069,0.149,0.047,0.320,0.024,0.450,0.034,4,66.8868333,-12.1602222
g0427349-123915,1,1.150,0.016,-0.370,0.056,0.180,0.044,-0.200,0.026,6,66.8955417,-12.6541111
g0427390-064811,1,0.850,0.099,0.042,0.083,0.300,0.035,0.325,0.069,10,66.9123750,-6.8030000
g0427398-054701,1,1.100,0.010,-0.229,0.048,0.270,0.038,0.025,0.018,3,66.9159167,-5.7837222
g0427403-123538,1,0.850,0.062,-0.045,0.062,0.180,0.036,0.125,0.038,4,66.9180000,-12.5937778
g0427448-120202,1,0.650,0.042,0.027,0.050,0.210,0.027,0.225,0.031,2,66.9367917,-12.0338056
g0427487-581144,1,0.750,0.080,-0.264,0.080,0.360,0.048,0.075,0.042,2,66.9527083,-58.1956111
g0427509-184157,1,1.050,0.017,-0.458,0.047,0.460,0.033,-0.025,0.023,10,66.9622083,-18.6991944
g0428011-404912,1,0.700,0.138,-0.389,0.186,0.440,0.116,0.025,0.104,9,67.0045833,-40.8199444
g0428104-113435,1,0.275,0.023,-0.045,0.061,0.180,0.042,0.125,0.033,3,67.0434583,-11.5764722
g0428164-120917,1,0.350,0.063,-0.020,0.105,0.180,0.058,0.150,0.061,8,67.0683333,-12.1545833
g0428212-125329,1,0.300,0.047,0.109,0.081,0.150,0.043,0.250,0.055,4,67.0882917,-12.8912778
g0428235-061753,1,0.525,0.054,0.212,0.067,0.120,0.034,0.325,0.044,3,67.0977917,-6.2979722
g0428242-061728,1,0.750,0.133,0.009,0.162,0.150,0.077,0.150,0.102,7,67.1007917,-6.2912222
g0428243-320040,1,0.750,0.088,-0.752,0.151,0.480,0.092,-0.300,0.078,6,67.1010417,-32.0111389
g0428312-030930,1,1.175,0.007,-0.302,0.083,0.400,0.059,0.075,0.038,5,67.1299167,-3.1583889
g0428438-062608,1,0.725,0.108,-0.108,0.123,0.300,0.058,0.175,0.079,6,67.1823750,-6.4355833
g0428455-281941,1,0.550,0.083,0.234,0.094,0.150,0.039,0.375,0.071,3,67.1897083,-28.3281111
g0428469-120940,1,1.175,0.008,-0.483,0.041,0.380,0.037,-0.125,0.017,3,67.1955000,-12.1610000
g0428504-091638,1,0.825,0.089,-0.223,0.090,0.210,0.055,-0.025,0.053,4,67.2099167,-9.2773056
g0428537-091829,1,1.050,0.017,-0.133,0.038,0.380,0.030,0.225,0.020,4,67.2236667,-9.3081667
g0428574-015143,1,1.125,0.012,0.068,0.070,0.060,0.054,0.125,0.027,5,67.2392917,-1.8618333
g0428597-121329,1,0.900,0.059,-0.076,0.052,0.240,0.031,0.150,0.033,1,67.2489167,-12.2247500
g0429137-180722,1,1.050,0.012,-0.531,0.045,0.590,0.037,0.025,0.020,10,67.3070417,-18.1226944
g0429241-731936,1,0.900,0.084,-0.104,0.096,0.270,0.066,0.150,0.058,7,67.3505417,-73.3265278
g0429253-733512,1,0.975,0.100,0.055,0.083,0.340,0.039,0.375,0.055,8,67.3554583,-73.5866111
g0429272-111607,1,0.300,0.032,0.030,0.060,0.180,0.034,0.200,0.036,4,67.3635000,-11.2686667
g0429488-131722,1,0.150,0.045,0.137,0.110,0.120,0.050,0.250,0.083,6,67.4534583,-13.2894722
g0429541-131840,1,0.525,0.088,0.146,0.080,0.270,0.026,0.400,0.070,3,67.4755000,-13.3111111
g0429575-733723,1,1.025,0.051,0.125,0.053,0.000,0.038,0.125,0.036,3,67.4896667,-73.6230833
g0429596-122428,1,0.650,0.087,-0.564,0.136,0.360,0.083,-0.225,0.064,7,67.4983750,-12.4077778
g0430011-064147,1,0.625,0.084,0.086,0.087,0.360,0.037,0.425,0.075,10,67.5044167,-6.6965000
g0430184-133144,1,0.500,0.099,0.130,0.127,0.180,0.054,0.300,0.089,6,67.5767500,-13.5288889
g0430227-120325,1,0.350,0.051,0.067,0.082,0.300,0.047,0.350,0.051,3,67.5945417,-12.0568611
g0430320-115759,1,0.275,0.055,0.059,0.139,0.150,0.085,0.200,0.068,9,67.6334583,-11.9663056
g0430414-114832,1,0.250,0.038,0.067,0.103,0.300,0.044,0.350,0.085,5,67.6723333,-11.8087778
g0430516-054754,1,0.725,0.034,-0.116,0.050,0.150,0.030,0.025,0.029,8,67.7150833,-5.7982778
g0430523-132142,1,0.275,0.048,0.159,0.090,0.150,0.042,0.300,0.061,5,67.7177917,-13.3616389
g0430523-161823,1,0.750,0.061,-0.378,0.069,0.560,0.043,0.150,0.036,9,67.7180833,-16.3063611
g0430567-101445,1,0.800,0.068,0.180,0.066,0.180,0.033,0.350,0.040,6,67.7362083,-10.2459444
g0431031-125826,1,0.500,0.053,-0.048,0.073,0.210,0.037,0.150,0.049,5,67.7630833,-12.9739722
g0431056-121031,1,0.525,0.090,-0.258,0.128,0.460,0.070,0.175,0.068,8,67.7734583,-12.1753611
g0431130-292536,1,0.575,0.070,0.125,0.090,0.000,0.050,0.125,0.052,6,67.8043333,-29.4266944
g0431136-710325,1,0.350,0.069,-0.251,0.127,0.320,0.071,0.050,0.074,3,67.8066667,-71.0569444
g0431158-045703,1,0.600,0.057,0.080,0.070,0.180,0.042,0.250,0.047,2,67.8159167,-4.9508889
g0431165-122718,1,0.950,0.054,-0.016,0.054,0.150,0.030,0.125,0.038,3,67.8189167,-12.4550833
g0431237-130413,1,0.250,0.037,-0.433,0.155,0.380,0.104,-0.075,0.075,8,67.8488333,-13.0703889
g0431316-122655,1,0.400,0.069,-0.223,0.123,0.210,0.072,-0.025,0.064,3,67.8816250,-12.4487222
g0431331-122747,1,1.175,0.000,-0.271,0.037,0.500,0.026,0.200,0.018,8,67.8877500,-12.4630833
g0431429-571031,1,0.075,0.036,0.122,0.085,0.030,0.048,0.150,0.051,5,67.9287500,-57.1751944
g0431445-124057,1,0.525,0.089,-0.148,0.109,0.210,0.057,0.050,0.064,5,67.9352083,-12.6826111
g0431460-100712,1,0.450,0.069,0.228,0.081,-0.030,0.045,0.200,0.058,4,67.9417500,-10.1199167
g0431477-762806,1,0.750,0.079,0.187,0.078,0.120,0.039,0.300,0.054,2,67.9487083,-76.4682500
g0431580-124907,1,1.025,0.026,-0.226,0.044,0.320,0.034,0.075,0.022,3,67.9914583,-12.8185833
g0431586-052211,1,1.025,0.021,-0.048,0.031,0.210,0.026,0.150,0.019,3,67.9941667,-5.3696944
g0432017-422732,1,1.075,0.010,-0.345,0.046,0.340,0.038,-0.025,0.019,2,68.0070000,-42.4589167
g0432240-124648,1,0.525,0.092,0.318,0.108,0.060,0.045,0.375,0.078,10,68.0998333,-12.7800278
g0432272-131558,1,0.900,0.065,-0.076,0.060,0.240,0.031,0.150,0.043,3,68.1133333,-13.2660833
g0432292-132336,1,0.575,0.086,0.023,0.083,0.400,0.034,0.400,0.062,5,68.1215417,-13.3933333
g0432345-112056,1,0.475,0.107,0.226,0.125,-0.240,0.060,0.000,0.087,7,68.1437500,-11.3488611
g0432374-115426,1,0.700,0.094,-0.183,0.115,0.460,0.054,0.250,0.070,5,68.1559583,-11.9073056
g0432448-131126,1,1.175,0.008,-0.653,0.061,0.560,0.050,-0.125,0.024,6,68.1865417,-13.1905556
g0432451-042221,1,1.025,0.029,0.062,0.038,0.120,0.023,0.175,0.025,4,68.1879167,-4.3723889
g0432485-122319,1,0.325,0.040,0.077,0.062,0.210,0.033,0.275,0.041,6,68.2020833,-12.3886944
g0432497-060131,1,0.800,0.048,-0.038,0.046,0.120,0.025,0.075,0.031,3,68.2070417,-6.0253056
g0432545-125853,1,0.525,0.066,-0.239,0.093,0.360,0.052,0.100,0.054,3,68.2269583,-12.9812500
g0433060-041751,1,1.100,0.016,-0.583,0.066,0.300,0.058,-0.300,0.025,3,68.2748333,-4.2974444
g0433074-073131,1,0.950,0.059,-0.308,0.064,0.300,0.038,-0.025,0.036,3,68.2807500,-7.5253611
g0433337-122907,1,0.425,0.072,0.059,0.095,0.150,0.051,0.200,0.065,4,68.3903333,-12.4852500
g0433364-125802,1,0.950,0.055,0.084,0.061,0.150,0.039,0.225,0.039,9,68.4016667,-12.9672778
g0433387-123204,1,0.650,0.110,-0.150,0.135,0.000,0.082,-0.150,0.066,4,68.4113750,-12.5344722
g0433387-130312,1,0.725,0.080,0.210,0.118,-0.090,0.059,0.125,0.073,7,68.4113750,-13.0533611
g0433429-093953,1,0.850,0.106,0.034,0.091,0.150,0.056,0.175,0.063,8,68.4285417,-9.6648056
g0433482-114105,1,1.125,0.031,-0.216,0.068,0.150,0.045,-0.075,0.036,9,68.4506667,-11.6846111
g0433521-114215,1,0.350,0.054,0.052,0.062,0.210,0.038,0.250,0.038,7,68.4670833,-11.7042778
g0433569-104334,1,0.525,0.074,0.255,0.092,0.180,0.049,0.425,0.068,5,68.4870833,-10.7260278
g0434038-132748,1,1.150,0.017,-0.674,0.063,0.530,0.051,-0.175,0.023,4,68.5160000,-13.4633056
g0434197-124758,1,0.275,0.050,-0.178,0.129,0.560,0.042,0.350,0.107,8,68.5821667,-12.7994167
g0434477-102327,1,0.250,0.031,0.092,0.107,0.380,0.035,0.450,0.108,5,68.6987500,-10.3908333
g0434488-110754,1,0.900,0.082,-0.245,0.086,0.180,0.054,-0.075,0.045,5,68.7034583,-11.1316111
g0434494-134847,1,0.250,0.042,0.225,0.108,0.000,0.051,0.225,0.078,7,68.7058750,-13.8130278
g0434539-101056,1,0.075,0.063,-0.046,0.172,0.420,0.079,0.350,0.129,10,68.7245833,-10.1821111
g0434579-101141,1,0.425,0.048,0.137,0.060,0.120,0.037,0.250,0.048,8,68.7412500,-10.1946667
g0435030-125351,1,0.700,0.080,-0.258,0.094,0.300,0.049,0.025,0.060,2,68.7624583,-12.8976111
g0435057-132815,1,0.500,0.084,0.084,0.118,0.150,0.065,0.225,0.068,8,68.7735833,-13.4706944
