F,Seq,6dFGS,No,2MASX,MJD,z,S/N,R,Vd,e_Vd,elogVd,Cats,Simbad,_RA,_DE
F,05123,g1000237-393946,1,J10002375-3939459,52707.48,0.0227,13.7,8.9,158.4,17.9,0.049,Cats,Simbad,150.0989167,-39.6626667
F,05124,g1000243-145036,1,J10002429-1450359,52760.38,0.0497,18.6,15.4,310.5,22.2,0.031,Cats,Simbad,150.1011667,-14.8434167
F,05125,g1000270-025650,1,J10002693-0256503,53140.37,0.0220,11.8,15.1,189.4,20.9,0.048,Cats,Simbad,150.1122917,-2.9472500
F,05126,g1000306-075308,1,J10003058-0753080,53389.70,0.0346,20.9,22.8,149.1,10.6,0.031,Cats,Simbad,150.1274167,-7.8855833
F,05127,g1000307-020941,1,J10003072-0209403,53140.37,0.0202,14.4,20.1,139.2,16.0,0.050,Cats,Simbad,150.1279583,-2.1612778
F,05128,g1000330-380841,1,J10003297-3808409,53084.48,0.0417,14.5,15.3,266.7,22.7,0.037,Cats,Simbad,150.1373333,-38.1446667
F,05129,g1000387-074154,1,J10003872-0741540,52759.38,0.0340,15.4,19.0,158.9,16.1,0.044,Cats,Simbad,150.1612917,-7.6983611
F,05130,g1000440-381155,1,J10004400-3811549,53062.56,0.0418,11.6,14.0,218.5,24.7,0.049,Cats,Simbad,150.1832917,-38.1986389
F,05131,g1000474-030045,1,J10004745-0300448,53140.37,0.0200,14.3,21.3,136.8,15.7,0.050,Cats,Simbad,150.1976667,-3.0124167
F,05132,g1001020-152148,1,J10010203-1521478,52760.38,0.0495,12.8,12.9,181.0,19.6,0.047,Cats,Simbad,150.2585000,-15.3632222
F,05133,g1001169-180237,2,J10011689-1802364,52694.51,0.0491,11.5,12.2,207.8,21.5,0.045,Cats,Simbad,150.3204167,-18.0435000
F,05133,g1001169-180237,2,J10011689-1802364,52700.56,0.0491,8.4,8.6,182.0,37.3,0.089,Cats,Simbad,150.3204167,-18.0435000
F,05134,g1001192-403656,1,J10011924-4036556,52707.48,0.0218,13.8,16.8,206.7,19.0,0.040,Cats,Simbad,150.3301250,-40.6154167
p,05135,g1001312-151024,1,J10013122-1510242,53120.39,0.0311,11.3,10.8,136.3,26.4,0.084,Cats,Simbad,150.3801250,-15.1734167
F,05136,g1001384-063319,1,J10013842-0633187,53389.70,0.0164,29.1,25.3,126.2,9.0,0.031,Cats,Simbad,150.4100417,-6.5551667
F,05137,g1001518-712848,1,J10015172-7128483,53462.47,0.0260,9.1,13.7,119.5,30.3,0.110,Cats,Simbad,150.4657917,-71.4800278
F,05138,g1001529-000731,1,J10015292-0007309,53140.37,0.0328,11.4,11.8,147.6,22.8,0.067,Cats,Simbad,150.4705833,-0.1251944
F,05139,g1002058-151754,1,J10020578-1517543,53379.69,0.0314,17.5,13.0,295.1,23.1,0.034,Cats,Simbad,150.5241250,-15.2983611
F,05140,g1002077-060457,1,J10020769-0604563,53389.70,0.0334,12.6,17.3,155.2,18.9,0.053,Cats,Simbad,150.5320417,-6.0824444
F,05141,g1002463-153200,1,J10024625-1531599,52700.56,0.0316,9.8,13.7,121.1,24.3,0.087,Cats,Simbad,150.6927917,-15.5333611
F,05142,g1002496-154913,1,J10024954-1549130,52760.38,0.0326,12.8,13.7,128.1,23.3,0.079,Cats,Simbad,150.7065000,-15.8203333
F,05143,g1003029-090446,1,J10030291-0904456,53389.70,0.0476,10.4,9.7,224.4,28.9,0.056,Cats,Simbad,150.7621667,-9.0794167
F,05144,g1003031-115757,1,J10030310-1157570,53379.69,0.0478,13.3,17.4,212.3,20.0,0.041,Cats,Simbad,150.7629167,-11.9658889
F,05145,g1003040-151000,1,J10030397-1510000,53029.66,0.0301,17.6,16.6,124.2,16.9,0.059,Cats,Simbad,150.7665417,-15.1667222
F,05146,g1003040-372550,1,J10030398-3725500,53062.56,0.0235,22.9,19.1,188.9,11.7,0.027,Cats,Simbad,150.7665417,-37.4305000
F,05147,g1003071-152834,1,J10030708-1528340,52760.38,0.0288,26.3,21.5,216.7,11.0,0.022,Cats,Simbad,150.7795417,-15.4761111
F,05148,g1003072-072330,1,J10030721-0723296,53389.70,0.0549,10.8,13.9,225.4,22.8,0.044,Cats,Simbad,150.7800417,-7.3915556
F,05149,g1003105-151119,1,J10031053-1511190,52700.56,0.0298,6.5,8.1,142.0,65.4,0.200,Cats,Simbad,150.7939167,-15.1887222
,05150,g1003183-393745,1,J10031824-3937449,52707.48,0.0424,7.2,8.4,119.7,32.2,0.117,Cats,Simbad,150.8261250,-39.6290556
F,05151,g1003201-074819,1,J10032009-0748194,53389.70,0.0434,11.4,13.9,235.3,26.5,0.049,Cats,Simbad,150.8336667,-7.8053611
F,05152,g1003250-155760,1,J10032502-1557594,53029.66,0.0320,16.6,15.9,140.3,20.4,0.063,Cats,Simbad,150.8542500,-15.9666111
F,05153,g1003252-821225,1,J10032512-8212245,53414.53,0.0418,13.5,11.7,186.0,22.7,0.053,Cats,Simbad,150.8550833,-82.2068611
F,05154,g1003287-153005,1,J10032864-1530044,53379.69,0.0322,15.4,16.1,184.8,18.3,0.043,Cats,Simbad,150.8693750,-15.5012500
F,05155,g1003324-152760,1,J10033238-1527594,53029.66,0.0316,19.3,20.9,158.5,12.4,0.034,Cats,Simbad,150.8850000,-15.4665556
F,05156,g1003348-155801,2,J10033480-1558004,52694.51,0.0316,14.8,14.9,116.5,17.4,0.065,Cats,Simbad,150.8950833,-15.9668056
F,05156,g1003348-155801,2,J10033480-1558004,52700.56,0.0316,12.1,15.3,110.7,21.7,0.085,Cats,Simbad,150.8950833,-15.9668056
F,05157,g1003388-005202,1,J10033879-0052021,53140.37,0.0458,12.8,18.8,169.2,18.7,0.048,Cats,Simbad,150.9117083,-0.8672222
F,05158,g1003485-092147,1,J10034855-0921470,52759.38,0.0543,10.2,15.4,123.2,21.8,0.077,Cats,Simbad,150.9522500,-9.3631111
F,05159,g1003540-145044,1,J10035397-1450439,52760.38,0.0303,15.3,14.2,176.0,17.4,0.043,Cats,Simbad,150.9749167,-14.8454722
F,05160,g1004081-393104,1,J10040814-3931040,52707.48,0.0309,8.1,8.8,210.6,35.9,0.074,Cats,Simbad,151.0339167,-39.5178611
F,05161,g1004170-150535,1,J10041700-1505347,52760.38,0.0498,10.1,14.6,165.9,22.5,0.059,Cats,Simbad,151.0708750,-15.0929722
F,05162,g1004239-054044,1,J10042392-0540440,53389.70,0.0335,17.8,18.3,180.8,14.2,0.034,Cats,Simbad,151.0996250,-5.6788333
F,05163,g1004263-375258,1,J10042628-3752580,53062.56,0.0408,8.9,12.5,107.1,30.6,0.124,Cats,Simbad,151.1094583,-37.8827778
F,05164,g1004344-142156,1,J10043434-1421557,52760.38,0.0293,13.9,16.8,118.8,21.6,0.079,Cats,Simbad,151.1431667,-14.3655833
F,05165,g1004368-161536,1,J10043682-1615357,53029.66,0.0319,21.8,21.0,161.4,11.9,0.032,Cats,Simbad,151.1533750,-16.2599444
F,05166,g1004385-092023,1,J10043850-0920233,53389.70,0.0469,10.8,12.2,188.8,22.2,0.051,Cats,Simbad,151.1604167,-9.3398333
F,05167,g1004398-144552,1,J10043985-1445527,53029.66,0.0291,14.8,23.2,102.9,17.8,0.075,Cats,Simbad,151.1660000,-14.7645556
F,05168,g1005121-063758,1,J10051208-0637576,53389.70,0.0161,17.7,14.9,153.6,15.9,0.045,Cats,Simbad,151.3003750,-6.6326389
F,05169,g1005128-130639,1,J10051284-1306390,53379.69,0.0472,13.6,13.2,148.2,20.5,0.060,Cats,Simbad,151.3035000,-13.1108333
F,05170,g1005254-421453,1,J10052540-4214529,52707.48,0.0285,10.0,11.8,107.6,25.5,0.103,Cats,Simbad,151.3558750,-42.2479722
F,05171,g1005292-060719,1,J10052918-0607186,53389.70,0.0539,12.6,13.4,198.0,20.1,0.044,Cats,Simbad,151.3717083,-6.1218611
F,05172,g1005321-685256,1,J10053215-6852557,53462.47,0.0273,13.0,12.9,196.0,22.1,0.049,Cats,Simbad,151.3838333,-68.8821944
F,05173,g1006063-062849,1,J10060632-0628482,53389.70,0.0547,11.7,13.9,205.4,22.7,0.048,Cats,Simbad,151.5263333,-6.4801667
F,05174,g1006100-394437,1,J10060995-3944369,53089.48,0.0306,27.7,21.7,276.1,13.4,0.021,Cats,Simbad,151.5415417,-39.7435556
F,05175,g1006121-013312,1,J10061207-0133115,53140.37,0.0330,21.6,13.8,289.7,18.7,0.028,Cats,Simbad,151.5502917,-1.5532778
F,05176,g1006158-392750,1,J10061580-3927499,52707.48,0.0306,9.1,13.6,118.7,25.7,0.094,Cats,Simbad,151.5657500,-39.4639444
F,05177,g1006255-073026,1,J10062555-0730266,53389.70,0.0476,8.6,12.1,157.1,26.0,0.072,Cats,Simbad,151.6063333,-7.5072500
F,05178,g1006290-062221,1,J10062903-0622216,53389.70,0.0418,15.9,20.8,144.6,15.6,0.047,Cats,Simbad,151.6210000,-6.3725556
F,05179,g1006331-112552,1,J10063306-1125515,52759.38,0.0476,8.3,8.1,150.2,36.3,0.105,Cats,Simbad,151.6377917,-11.4310278
F,05180,g1006345-220460,1,J10063453-2204597,52675.62,0.0518,9.6,13.7,163.3,25.9,0.069,Cats,Simbad,151.6439167,-22.0832222
F,05181,g1006347-194716,2,J10063467-1947157,52675.62,0.0464,6.4,11.4,149.4,32.7,0.095,Cats,Simbad,151.6444583,-19.7876389
F,05181,g1006347-194716,2,J10063467-1947157,52761.38,0.0464,10.4,13.8,172.6,23.1,0.058,Cats,Simbad,151.6444583,-19.7876389
F,05182,g1006370-045324,1,J10063693-0453241,53140.37,0.0520,5.5,8.6,247.4,45.6,0.080,Cats,Simbad,151.6540000,-4.8900556
F,05183,g1006397-124336,1,J10063965-1243357,53379.69,0.0516,12.4,14.7,143.1,18.8,0.057,Cats,Simbad,151.6652500,-12.7266389
F,05184,g1006415-410706,1,J10064149-4107053,52707.48,0.0092,18.1,21.3,130.9,13.6,0.045,Cats,Simbad,151.6729167,-41.1181944
F,05185,g1006432-071155,1,J10064315-0711554,53389.70,0.0504,8.2,8.8,243.8,38.2,0.068,Cats,Simbad,151.6798333,-7.1986667
F,05186,g1006521-141805,1,J10065207-1418052,53379.69,0.0470,10.4,12.5,208.6,29.8,0.062,Cats,Simbad,151.7170000,-14.3013333
F,05187,g1006535-154302,2,J10065350-1543022,52694.51,0.0294,19.2,19.6,190.4,12.3,0.028,Cats,Simbad,151.7228750,-15.7173333
F,05187,g1006535-154302,2,J10065350-1543022,52700.56,0.0294,15.0,20.0,164.4,16.3,0.043,Cats,Simbad,151.7228750,-15.7173333
F,05188,g1006593-093726,1,J10065924-0937264,52759.38,0.0418,14.7,17.8,171.5,16.2,0.041,Cats,Simbad,151.7468750,-9.6239444
F,05189,g1007005-141610,1,J10070053-1416102,52760.38,0.0464,10.0,10.9,148.2,27.0,0.079,Cats,Simbad,151.7521250,-14.2695000
F,05190,g1007053-055259,1,J10070530-0552591,52762.37,0.0169,11.7,13.7,139.8,26.1,0.081,Cats,Simbad,151.7721667,-5.8831667
F,05191,g1007261-165141,2,J10072604-1651411,52694.51,0.0463,11.1,13.5,151.4,24.1,0.069,Cats,Simbad,151.8585833,-16.8613889
F,05191,g1007261-165141,2,J10072604-1651411,52700.56,0.0463,9.2,13.0,123.8,30.8,0.108,Cats,Simbad,151.8585833,-16.8613889
F,05192,g1007378-135233,1,J10073787-1352331,52760.38,0.0510,6.4,9.0,160.6,35.5,0.096,Cats,Simbad,151.9076250,-13.8758056
F,05193,g1007380-160453,1,J10073806-1604531,52760.38,0.0462,9.6,12.2,174.9,23.8,0.059,Cats,Simbad,151.9085000,-16.0815000
F,05194,g1008088-153544,1,J10080877-1535436,52760.38,0.0520,8.8,11.5,146.6,29.4,0.087,Cats,Simbad,152.0365417,-15.5954722
F,05195,g1008187-201008,1,J10081867-2010079,52675.62,0.0272,24.3,20.0,178.9,10.3,0.025,Cats,Simbad,152.0777500,-20.1689167
F,05196,g1008276-145232,1,J10082758-1452322,53029.66,0.0474,18.4,14.8,131.3,14.5,0.048,Cats,Simbad,152.1149583,-14.8755556
F,05197,g1008282-130803,1,J10082816-1308022,53379.69,0.0512,9.7,9.1,268.6,54.4,0.088,Cats,Simbad,152.1172917,-13.1340556
F,05198,g1008334-131022,1,J10083343-1310222,52760.38,0.0510,8.2,13.2,121.7,28.0,0.100,Cats,Simbad,152.1392917,-13.1728889
F,05199,g1008401-400537,1,J10084007-4005366,52707.48,0.0168,13.8,15.9,130.2,19.5,0.065,Cats,Simbad,152.1669167,-40.0935278
F,05200,g1008504-042760,1,J10085040-0427593,52762.37,0.0513,11.7,15.3,132.8,23.2,0.076,Cats,Simbad,152.2100417,-4.4665556
F,05201,g1008520-124420,1,J10085193-1244200,53379.69,0.0507,7.6,9.3,236.0,39.1,0.072,Cats,Simbad,152.2164583,-12.7388056
F,05202,g1008582-105423,1,J10085818-1054230,52759.38,0.0469,10.6,12.5,105.3,25.0,0.103,Cats,Simbad,152.2425000,-10.9064444
F,05203,g1009033-111360,1,J10090329-1113595,53382.68,0.0117,28.9,22.5,125.8,8.7,0.030,Cats,Simbad,152.2637083,-11.2332500
F,05204,g1009120-424055,1,J10091199-4240549,53463.46,0.0330,13.9,15.2,164.8,17.5,0.046,Cats,Simbad,152.2999583,-42.6820000
p,05205,g1009138-145309,1,J10091383-1453084,52760.38,0.0482,13.8,15.0,165.6,17.5,0.046,Cats,Simbad,152.3075833,-14.8857500
F,05206,g1009199-163912,1,J10091989-1639125,52760.38,0.0284,14.7,15.4,180.2,17.0,0.041,Cats,Simbad,152.3328333,-16.6533889
F,05207,g1009278-163741,1,J10092782-1637415,53029.66,0.0282,18.9,18.9,162.4,13.5,0.036,Cats,Simbad,152.3659167,-16.6281667
F,05208,g1009440-390450,1,J10094395-3904497,52707.48,0.0308,6.3,8.4,135.3,39.6,0.127,Cats,Simbad,152.4331250,-39.0804722
F,05209,g1009448-434653,1,J10094479-4346534,53463.46,0.0333,15.9,13.2,282.2,23.4,0.036,Cats,Simbad,152.4365833,-43.7814722
F,05210,g1009486-403352,1,J10094861-4033517,52707.48,0.0176,10.0,10.9,136.8,26.5,0.084,Cats,Simbad,152.4526667,-40.5643333
F,05211,g1009588-071717,1,J10095885-0717172,52759.38,0.0248,16.9,21.1,116.1,14.2,0.053,Cats,Simbad,152.4951250,-7.2881389
F,05212,g1010052-114641,1,J10100521-1146414,52759.38,0.0308,14.7,13.8,238.3,19.8,0.036,Cats,Simbad,152.5217500,-11.7781389
F,05213,g1010085-023353,1,J10100855-0233529,53140.37,0.0425,10.9,13.7,156.6,23.1,0.064,Cats,Simbad,152.5355833,-2.5647222
F,05214,g1010126-055731,1,J10101264-0557304,52762.37,0.0497,14.2,15.2,214.0,16.3,0.033,Cats,Simbad,152.5526667,-5.9585000
F,05215,g1010265-075322,1,J10102652-0753214,53389.70,0.0541,6.9,8.1,163.7,39.2,0.104,Cats,Simbad,152.6105417,-7.8893056
F,05216,g1010387-411617,1,J10103871-4116166,52707.48,0.0316,8.2,10.0,149.6,33.4,0.097,Cats,Simbad,152.6614167,-41.2713333
F,05217,g1010411-202105,1,J10104105-2021043,52674.60,0.0313,6.5,9.3,121.6,41.7,0.149,Cats,Simbad,152.6710833,-20.3512778
F,05218,g1010456-204344,1,J10104556-2043442,52761.38,0.0311,11.0,14.9,141.8,22.5,0.069,Cats,Simbad,152.6898750,-20.7290000
F,05219,g1010461-345041,1,J10104613-3450405,52664.60,0.0102,29.8,22.5,148.9,8.2,0.024,Cats,Simbad,152.6922500,-34.8446944
F,05220,g1010517-074736,1,J10105173-0747366,52759.38,0.0540,14.2,14.7,181.2,16.3,0.039,Cats,Simbad,152.7155833,-7.7934444
F,05221,g1010517-230932,1,J10105172-2309317,52675.62,0.0317,10.0,13.6,110.7,31.4,0.123,Cats,Simbad,152.7155000,-23.1588889
F,05222,g1010580-003010,1,J10105797-0030105,53140.37,0.0461,13.3,17.3,220.7,19.3,0.038,Cats,Simbad,152.7416250,-0.5028333
F,05223,g1011144-215748,2,J10111441-2157476,52675.62,0.0313,8.6,11.3,155.7,34.1,0.095,Cats,Simbad,152.8101250,-21.9633333
F,05223,g1011144-215748,2,J10111441-2157476,52761.38,0.0313,7.5,11.6,100.2,31.1,0.135,Cats,Simbad,152.8101250,-21.9633333
F,05224,g1011347-423442,1,J10113470-4234420,53463.46,0.0421,11.6,14.9,185.7,20.5,0.048,Cats,Simbad,152.8946250,-42.5783611
F,05225,g1012108-023936,1,J10121081-0239362,53140.37,0.0369,9.3,12.4,111.9,33.2,0.129,Cats,Simbad,153.0451250,-2.6600278
F,05226,g1012118-023302,1,J10121181-0233022,53140.37,0.0426,9.0,11.0,136.5,36.5,0.116,Cats,Simbad,153.0492500,-2.5506111
F,05227,g1012147-071248,1,J10121471-0712482,52759.38,0.0410,17.6,16.9,181.7,13.8,0.033,Cats,Simbad,153.0612917,-7.2134167
F,05228,g1012164-055405,1,J10121638-0554042,52762.37,0.0543,13.5,17.0,125.3,19.3,0.067,Cats,Simbad,153.0682500,-5.9012778
F,05229,g1012426-032959,1,J10124255-0329597,52762.37,0.0406,12.7,15.3,203.8,19.7,0.042,Cats,Simbad,153.1772917,-3.4998333
F,05230,g1012429-171752,1,J10124292-1717520,52700.56,0.0529,9.1,13.2,161.3,22.7,0.061,Cats,Simbad,153.1787500,-17.2977778
F,05231,g1012592-005333,1,J10125924-0053335,53403.63,0.0444,8.1,11.5,145.8,27.2,0.081,Cats,Simbad,153.2467917,-0.8925556
F,05232,g1013001-172251,2,J10130010-1722510,52694.51,0.0287,16.5,19.8,152.2,14.4,0.041,Cats,Simbad,153.2504583,-17.3808889
F,05232,g1013001-172251,2,J10130010-1722510,52700.56,0.0287,15.9,18.3,129.8,16.7,0.056,Cats,Simbad,153.2504583,-17.3808889
F,05233,g1013007-181303,1,J10130071-1813023,52674.60,0.0522,10.5,10.7,115.7,28.5,0.107,Cats,Simbad,153.2530000,-18.2173611
F,05234,g1013008-023941,1,J10130082-0239405,53403.63,0.0432,11.9,11.6,236.0,25.5,0.047,Cats,Simbad,153.2533750,-2.6612778
F,05235,g1013158-185543,2,J10131579-1855433,52694.51,0.0474,7.9,10.3,111.9,35.8,0.139,Cats,Simbad,153.3157500,-18.9287222
F,05235,g1013158-185543,2,J10131579-1855433,52700.56,0.0474,6.8,9.1,123.0,41.3,0.146,Cats,Simbad,153.3157500,-18.9287222
F,05236,g1013169-060145,1,J10131694-0601445,52762.37,0.0265,13.3,13.3,147.9,25.5,0.075,Cats,Simbad,153.3205833,-6.0291111
F,05237,g1013181-023431,1,J10131806-0234309,53403.63,0.0427,14.3,16.4,156.4,19.1,0.053,Cats,Simbad,153.3252917,-2.5753611
F,05238,g1013214-165225,1,J10132133-1652247,53029.66,0.0498,13.6,14.3,203.5,20.6,0.044,Cats,Simbad,153.3389583,-16.8735000
F,05239,g1013217-080715,1,J10132168-0807145,52759.38,0.0433,24.6,17.5,214.9,12.9,0.026,Cats,Simbad,153.3403333,-8.1208333
F,05240,g1013343-164917,3,J10133435-1649166,52694.51,0.0510,17.8,18.8,229.8,15.3,0.029,Cats,Simbad,153.3930833,-16.8213889
F,05240,g1013343-164917,3,J10133435-1649166,52700.56,0.0510,17.0,18.3,195.2,13.9,0.031,Cats,Simbad,153.3930833,-16.8213889
F,05240,g1013343-164917,3,J10133435-1649166,52760.38,0.0510,8.1,9.9,194.6,31.4,0.070,Cats,Simbad,153.3930833,-16.8213889
F,05241,g1013343-390108,1,J10133428-3901075,53089.48,0.0306,15.3,17.0,172.9,18.7,0.047,Cats,Simbad,153.3929167,-39.0188333
F,05242,g1013357-071945,1,J10133567-0719453,52762.37,0.0452,11.6,9.9,115.4,36.4,0.137,Cats,Simbad,153.3987500,-7.3292500
F,05243,g1013383-005532,1,J10133829-0055319,53140.37,0.0445,19.7,13.4,299.5,22.1,0.032,Cats,Simbad,153.4095417,-0.9254722
F,05244,g1013404-350632,1,J10134035-3506314,52664.60,0.0298,14.1,13.5,136.5,20.1,0.064,Cats,Simbad,153.4181250,-35.1088056
F,05245,g1013429-345145,1,J10134290-3451454,52664.60,0.0147,20.1,19.3,123.2,14.5,0.051,Cats,Simbad,153.4287500,-34.8625556
F,05246,g1013463-021228,1,J10134632-0212284,53140.37,0.0438,7.9,10.4,198.5,34.3,0.075,Cats,Simbad,153.4430000,-2.2078611
F,05247,g1013492-201147,1,J10134913-2011470,52674.60,0.0478,8.5,8.7,230.3,38.7,0.073,Cats,Simbad,153.4547917,-20.1964444
F,05248,g1013557-005310,1,J10135566-0053104,53403.63,0.0411,13.6,15.1,177.8,20.5,0.050,Cats,Simbad,153.4819583,-0.8862222
F,05249,g1013576-122106,1,J10135764-1221061,52758.40,0.0506,7.9,10.4,137.0,31.5,0.100,Cats,Simbad,153.4901667,-12.3516667
F,05250,g1014185-110642,1,J10141842-1106420,53382.68,0.0419,18.8,16.6,194.9,15.3,0.034,Cats,Simbad,153.5768750,-11.1116944
F,05251,g1014257-005219,1,J10142568-0052184,53403.63,0.0479,14.5,15.1,254.6,19.9,0.034,Cats,Simbad,153.6070417,-0.8718611
F,05252,g1014268-172602,1,J10142674-1726016,52674.60,0.0290,13.5,12.8,135.5,20.9,0.067,Cats,Simbad,153.6115000,-17.4337778
F,05253,g1014357-020248,1,J10143573-0202474,53403.63,0.0460,10.6,11.1,197.8,24.6,0.054,Cats,Simbad,153.6489167,-2.0465278
F,05254,g1014357-110823,1,J10143570-1108233,52758.40,0.0422,12.8,15.6,149.2,21.0,0.061,Cats,Simbad,153.6487500,-11.1397778
F,05255,g1014358-063748,1,J10143574-0637473,52762.37,0.0408,12.6,11.2,138.8,26.2,0.082,Cats,Simbad,153.6489583,-6.6298889
F,05256,g1014478-350514,1,J10144776-3505136,52664.60,0.0305,11.1,14.1,113.9,24.7,0.094,Cats,Simbad,153.6990000,-35.0872222
F,05257,g1014537-230303,1,J10145373-2303027,52675.62,0.0128,16.3,11.9,146.2,19.5,0.058,Cats,Simbad,153.7237917,-23.0506944
F,05258,g1015166-100427,1,J10151661-1004272,52759.38,0.0419,9.9,12.1,144.7,26.3,0.079,Cats,Simbad,153.8192917,-10.0742222
F,05259,g1015269-130618,1,J10152692-1306180,52758.40,0.0291,18.2,20.5,147.3,14.2,0.042,Cats,Simbad,153.8620833,-13.1050000
F,05260,g1015357-010946,1,J10153570-0109462,53403.63,0.0509,8.4,13.5,109.2,26.1,0.104,Cats,Simbad,153.8987917,-1.1627778
F,05261,g1015368-203850,1,J10153684-2038502,53027.64,0.0120,27.0,17.3,167.5,9.6,0.025,Cats,Simbad,153.9035000,-20.6473056
F,05262,g1015541-165503,2,J10155407-1655027,52694.51,0.0539,19.6,19.0,244.8,14.7,0.026,Cats,Simbad,153.9752500,-16.9174722
F,05262,g1015541-165503,2,J10155407-1655027,52700.56,0.0539,18.3,18.6,253.9,17.0,0.029,Cats,Simbad,153.9752500,-16.9174722
F,05263,g1015559-172501,2,J10155588-1725007,52694.51,0.0491,13.5,17.8,170.0,16.8,0.043,Cats,Simbad,153.9827917,-17.4169444
F,05263,g1015559-172501,2,J10155588-1725007,52700.56,0.0491,12.1,14.1,218.6,24.7,0.049,Cats,Simbad,153.9827917,-17.4169444
F,05264,g1016205-430449,1,J10162048-4304488,53463.46,0.0502,14.4,16.8,147.8,15.7,0.046,Cats,Simbad,154.0852917,-43.0802500
F,05265,g1016212-201122,1,J10162124-2011219,52674.60,0.0549,15.8,17.0,229.8,20.6,0.039,Cats,Simbad,154.0885000,-20.1894444
F,05266,g1016236-433658,1,J10162363-4336578,53463.46,0.0433,20.3,15.5,268.5,14.8,0.024,Cats,Simbad,154.0985000,-43.6160556
F,05267,g1016252-105855,1,J10162514-1058546,52759.38,0.0524,7.0,10.6,127.8,33.8,0.115,Cats,Simbad,154.1047917,-10.9818333
F,05268,g1016344-171549,2,J10163438-1715487,52694.51,0.0495,12.6,15.3,164.3,17.4,0.046,Cats,Simbad,154.1432083,-17.2634722
F,05268,g1016344-171549,2,J10163438-1715487,52700.56,0.0495,11.8,12.3,155.1,21.8,0.061,Cats,Simbad,154.1432083,-17.2634722
F,05269,g1016398-105959,1,J10163974-1059586,52758.40,0.0524,12.5,10.2,197.2,20.9,0.046,Cats,Simbad,154.1656667,-10.9995833
F,05270,g1016518-170915,2,J10165176-1709150,52694.51,0.0532,10.9,13.0,115.4,22.1,0.083,Cats,Simbad,154.2156667,-17.1541667
F,05270,g1016518-170915,2,J10165176-1709150,52700.56,0.0532,9.9,11.6,119.7,32.5,0.118,Cats,Simbad,154.2156667,-17.1541667
F,05271,g1016545-055214,1,J10165449-0552136,52762.37,0.0384,19.5,19.1,218.4,15.1,0.030,Cats,Simbad,154.2271667,-5.8704444
F,05272,g1016547-094657,1,J10165474-0946562,53382.68,0.0531,24.3,16.7,288.2,15.9,0.024,Cats,Simbad,154.2280833,-9.7823611
F,05273,g1017119-075741,1,J10171182-0757412,53382.68,0.0415,14.3,15.1,128.4,19.8,0.067,Cats,Simbad,154.2993750,-7.9614167
F,05274,g1017123-121539,1,J10171232-1215392,52758.40,0.0517,10.7,16.4,192.9,24.0,0.054,Cats,Simbad,154.3012917,-12.2608333
F,05275,g1017155-075350,1,J10171552-0753502,52762.37,0.0416,9.4,10.7,244.9,35.5,0.063,Cats,Simbad,154.3147500,-7.8973056
F,05276,g1017181-281447,1,J10171808-2814469,53024.65,0.0433,13.0,16.4,142.9,19.1,0.058,Cats,Simbad,154.3253750,-28.2464167
F,05277,g1017200-021946,1,J10171994-0219458,53403.63,0.0478,7.5,8.3,280.8,43.3,0.067,Cats,Simbad,154.3331667,-2.3294444
F,05278,g1017249-055413,1,J10172491-0554128,52762.37,0.0386,10.3,12.3,104.3,29.5,0.123,Cats,Simbad,154.3537917,-5.9035833
F,05279,g1017394-021128,1,J10173939-0211274,53403.63,0.0465,11.2,13.7,130.6,20.7,0.069,Cats,Simbad,154.4140833,-2.1910278
F,05280,g1017401-130448,1,J10174011-1304482,52758.40,0.0294,10.9,13.1,138.3,25.8,0.081,Cats,Simbad,154.4171667,-13.0800833
F,05281,g1017490-072423,1,J10174903-0724226,52762.37,0.0422,11.9,12.7,196.2,23.5,0.052,Cats,Simbad,154.4542500,-7.4062500
F,05282,g1017523-025153,1,J10175232-0251524,53403.63,0.0471,6.0,8.2,188.4,38.6,0.089,Cats,Simbad,154.4680833,-2.8645833
F,05283,g1017538-003653,1,J10175376-0036534,53403.63,0.0337,12.0,17.1,123.6,22.5,0.079,Cats,Simbad,154.4740833,-0.6148056
F,05284,g1017590-344813,1,J10175896-3448130,52664.60,0.0428,13.7,14.5,190.8,18.5,0.042,Cats,Simbad,154.4956250,-34.8035833
F,05285,g1018059-270009,1,J10180585-2700093,53022.66,0.0429,6.0,8.6,169.2,46.8,0.120,Cats,Simbad,154.5244583,-27.0025833
F,05286,g1018080-040903,1,J10180796-0409030,52762.37,0.0390,20.0,14.3,246.7,16.5,0.029,Cats,Simbad,154.5332500,-4.1508333
F,05287,g1018102-130706,1,J10181021-1307058,52758.40,0.0299,19.4,18.9,191.5,12.8,0.029,Cats,Simbad,154.5425000,-13.1182778
F,05288,g1018173-181431,1,J10181727-1814306,52674.60,0.0498,12.9,16.2,126.9,20.2,0.069,Cats,Simbad,154.5719583,-18.2418611
F,05289,g1018180-104646,1,J10181804-1046454,53382.68,0.0399,21.3,20.6,186.2,12.0,0.028,Cats,Simbad,154.5751250,-10.7793611
F,05290,g1018215-341515,1,J10182149-3415147,52664.60,0.0421,15.5,15.4,167.2,18.5,0.048,Cats,Simbad,154.5895417,-34.2541944
F,05291,g1018297-184530,1,J10182965-1845301,52674.60,0.0487,15.6,14.1,235.8,20.1,0.037,Cats,Simbad,154.6235833,-18.7583611
