F,Seq,6dFGS,No,2MASX,MJD,z,S/N,R,Vd,e_Vd,elogVd,Cats,Simbad,_RA,_DE
F,00113,g0013242-145025,1,J00132422-1450251,52583.43,0.0360,11.2,14.4,127.3,24.6,0.084,Cats,Simbad,3.3508750,-14.8403333
F,00114,g0013291-064744,1,J00132908-0647443,52971.44,0.0275,15.3,15.3,133.9,18.8,0.061,Cats,Simbad,3.3712083,-6.7956389
F,00115,g0013327-112207,1,J00133269-1122073,53201.75,0.0367,19.8,20.6,103.5,13.3,0.056,Cats,Simbad,3.3862083,-11.3687222
F,00116,g0013335-125104,1,J00133345-1251035,53201.75,0.0379,8.1,8.5,109.1,45.0,0.179,Cats,Simbad,3.3893750,-12.8509722
F,00117,g0013340-413622,1,J00133400-4136220,52881.58,0.0406,16.3,19.6,167.8,16.2,0.042,Cats,Simbad,3.3917500,-41.6061389
F,00118,g0013478-042830,1,J00134779-0428303,52971.44,0.0367,19.7,18.4,168.7,12.4,0.032,Cats,Simbad,3.4491250,-4.4751111
F,00119,g0013531-124645,1,J00135307-1246455,52583.43,0.0385,19.2,13.8,133.2,13.2,0.043,Cats,Simbad,3.4710417,-12.7792500
F,00120,g0014186-065901,1,J00141855-0659008,52585.43,0.0286,10.3,12.2,144.7,28.0,0.084,Cats,Simbad,3.5772917,-6.9835556
F,00121,g0014219-835443,1,J00142140-8354434,53645.50,0.0522,8.6,11.7,201.5,29.7,0.064,Cats,Simbad,3.5913333,-83.9119167
F,00122,g0014288-191819,1,J00142866-1918187,52932.48,0.0530,15.7,18.1,137.1,16.1,0.051,Cats,Simbad,3.6198750,-19.3053333
F,00123,g0014368-585743,1,J00143673-5857425,52970.44,0.0307,9.9,13.5,155.9,29.8,0.083,Cats,Simbad,3.6531667,-58.9618056
F,00124,g0014428-601942,1,J00144279-6019425,52970.44,0.0153,21.9,19.0,122.3,14.1,0.050,Cats,Simbad,3.6785000,-60.3284167
F,00125,g0014446-072042,1,J00144455-0720423,52585.43,0.0183,28.6,18.8,273.9,13.9,0.022,Cats,Simbad,3.6857083,-7.3450833
F,00126,g0015120-432824,1,J00151200-4328236,52881.58,0.0537,12.3,17.3,182.5,18.5,0.044,Cats,Simbad,3.8000833,-43.4732500
F,00127,g0015165-571441,1,J00151647-5714412,52970.44,0.0327,23.5,22.6,148.8,11.0,0.032,Cats,Simbad,3.8185417,-57.2447500
F,00128,g0015191-614441,1,J00151909-6144405,52961.44,0.0296,15.7,17.4,200.3,16.1,0.035,Cats,Simbad,3.8294167,-61.7446111
F,00129,g0015341-030338,1,J00153409-0303380,52971.44,0.0227,11.0,12.2,102.5,29.7,0.126,Cats,Simbad,3.8920000,-3.0606111
F,00130,g0015440-330150,1,J00154397-3301502,52876.71,0.0249,24.3,21.2,133.7,9.9,0.032,Cats,Simbad,3.9332917,-33.0306389
F,00131,g0015465-591341,1,J00154647-5913412,52970.44,0.0309,28.2,23.9,190.5,8.8,0.020,Cats,Simbad,3.9437500,-59.2280833
F,00132,g0015582-001813,1,J00155824-0018130,53202.74,0.0394,14.5,15.6,169.1,19.1,0.049,Cats,Simbad,3.9926667,-0.3035556
F,00133,g0016197-112139,1,J00161975-1121387,53201.75,0.0232,21.4,18.6,110.2,12.9,0.051,Cats,Simbad,4.0822500,-11.3608056
p,00134,g0016243-061919,1,J00162433-0619186,52585.43,0.0264,22.0,17.9,228.4,14.2,0.027,Cats,Simbad,4.1014167,-6.3219167
F,00135,g0016355-025300,1,J00163552-0253000,53202.74,0.0400,8.9,10.5,138.0,34.6,0.109,Cats,Simbad,4.1480833,-2.8834167
F,00136,g0016425-772508,1,J00164244-7725081,53614.60,0.0542,16.7,15.9,209.2,15.4,0.032,Cats,Simbad,4.1772500,-77.4189444
F,00137,g0016457-415843,1,J00164562-4158427,52881.58,0.0534,14.5,18.3,148.3,13.3,0.039,Cats,Simbad,4.1902083,-41.9785000
F,00138,g0016458-082350,1,J00164573-0823503,52582.43,0.0359,10.3,11.6,152.4,24.9,0.071,Cats,Simbad,4.1906250,-8.3973056
F,00139,g0017029-094047,1,J00170287-0940473,52582.43,0.0223,18.0,23.0,107.7,14.1,0.057,Cats,Simbad,4.2620417,-9.6797222
F,00140,g0017036-433727,1,J00170354-4337271,52881.58,0.0372,15.8,19.3,138.8,16.0,0.050,Cats,Simbad,4.2648750,-43.6242222
F,00141,g0017054-132914,1,J00170541-1329138,52583.43,0.0214,27.9,19.2,124.6,10.3,0.036,Cats,Simbad,4.2725833,-13.4871111
F,00142,g0017063-043637,1,J00170631-0436370,52971.44,0.0204,35.0,25.4,180.6,6.7,0.016,Cats,Simbad,4.2762500,-4.6103056
F,00143,g0017071-343100,1,J00170713-3431001,52884.59,0.0513,25.3,22.4,185.4,9.4,0.022,Cats,Simbad,4.2796250,-34.5167500
F,00144,g0017075-593940,1,J00170743-5939400,52970.44,0.0296,14.7,16.1,194.0,16.1,0.036,Cats,Simbad,4.2811250,-59.6610556
F,00145,g0017097-034249,1,J00170970-0342489,52971.44,0.0367,23.6,20.4,178.0,9.4,0.023,Cats,Simbad,4.2905000,-3.7136667
F,00146,g0017231-625104,1,J00172304-6251043,52961.44,0.0493,11.8,14.8,123.0,19.8,0.070,Cats,Simbad,4.3460833,-62.8511944
F,00147,g0017267-093158,1,J00172667-0931576,53201.75,0.0225,21.1,17.6,121.5,16.5,0.059,Cats,Simbad,4.3611667,-9.5326944
F,00148,g0017317-635250,1,J00173165-6352503,52961.44,0.0421,10.9,14.7,112.3,21.7,0.084,Cats,Simbad,4.3821250,-63.8805833
F,00149,g0017348-042016,1,J00173479-0420161,52971.44,0.0402,15.3,16.3,205.5,18.0,0.038,Cats,Simbad,4.3950417,-4.3378056
F,00150,g0017537-083912,2,J00175373-0839124,52582.43,0.0355,9.7,11.2,166.3,27.2,0.071,Cats,Simbad,4.4739167,-8.6534444
F,00150,g0017537-083912,2,J00175373-0839124,52585.43,0.0355,7.6,10.6,135.7,39.4,0.126,Cats,Simbad,4.4739167,-8.6534444
F,00151,g0017594-091620,1,J00175935-0916194,52582.43,0.0233,20.2,20.0,164.0,12.5,0.033,Cats,Simbad,4.4973750,-9.2720833
F,00152,g0018047-335229,1,J00180471-3352284,52884.59,0.0252,23.8,20.7,174.9,10.1,0.025,Cats,Simbad,4.5195833,-33.8746111
F,00153,g0018132-514951,1,J00181320-5149508,52967.47,0.0505,8.8,12.9,107.3,26.9,0.109,Cats,Simbad,4.5549583,-51.8307778
F,00154,g0018237-051822,1,J00182364-0518220,52585.43,0.0356,8.9,10.9,119.2,36.2,0.132,Cats,Simbad,4.5985417,-5.3061111
F,00155,g0018390-151920,1,J00183897-1519200,52583.43,0.0256,24.8,18.0,176.8,12.2,0.030,Cats,Simbad,4.6624167,-15.3223056
F,00156,g0018390-542516,1,J00183901-5425163,52969.51,0.0344,17.8,15.8,153.3,16.9,0.048,Cats,Simbad,4.6625833,-54.4211944
F,00157,g0018452-222133,1,J00184523-2221327,52878.66,0.0245,11.2,15.7,159.1,26.0,0.071,Cats,Simbad,4.6883750,-22.3591111
F,00158,g0018485-151450,1,J00184850-1514500,53206.73,0.0257,12.6,13.8,169.9,21.5,0.055,Cats,Simbad,4.7020417,-15.2471944
F,00159,g0018507-082731,2,J00185071-0827314,52582.43,0.0226,19.3,21.2,145.5,11.4,0.034,Cats,Simbad,4.7112083,-8.4586944
F,00159,g0018507-082731,2,J00185071-0827314,52585.43,0.0226,15.8,16.2,104.4,19.5,0.081,Cats,Simbad,4.7112083,-8.4586944
F,00160,g0018525-374024,1,J00185248-3740239,52884.59,0.0449,13.1,17.6,172.5,17.1,0.043,Cats,Simbad,4.7186667,-37.6733889
F,00161,g0018550-031634,1,J00185505-0316339,53202.74,0.0206,29.2,21.0,211.3,9.7,0.020,Cats,Simbad,4.7293333,-3.2760833
F,00162,g0019081-221120,1,J00190813-2211201,52878.66,0.0536,13.3,16.0,189.8,17.5,0.040,Cats,Simbad,4.7838333,-22.1888889
F,00163,g0019143-224644,1,J00191428-2246441,52883.61,0.0255,17.4,12.5,105.7,22.9,0.094,Cats,Simbad,4.8094583,-22.7789722
F,00164,g0019239-212043,1,J00192381-2120441,52878.66,0.0529,9.4,10.2,170.8,27.1,0.069,Cats,Simbad,4.8494167,-21.3453056
F,00165,g0019284-522137,1,J00192835-5221370,52967.47,0.0338,13.8,14.2,178.9,19.4,0.047,Cats,Simbad,4.8682917,-52.3602222
F,00166,g0019365-614127,1,J00193649-6141273,52961.44,0.0371,14.4,16.4,167.1,15.0,0.039,Cats,Simbad,4.9019167,-61.6909167
F,00167,g0019426-414840,1,J00194264-4148397,52881.58,0.0535,17.3,16.3,206.6,14.7,0.031,Cats,Simbad,4.9275833,-41.8110000
F,00168,g0019475-511510,1,J00194744-5115098,53554.73,0.0218,26.0,15.1,162.4,11.6,0.031,Cats,Simbad,4.9477083,-51.2526667
F,00169,g0020028-040306,1,J00200284-0403062,52971.44,0.0398,12.1,14.2,156.6,22.7,0.063,Cats,Simbad,5.0118333,-4.0517222
F,00170,g0020112-032402,1,J00201118-0324022,53202.74,0.0399,16.6,15.0,193.5,16.5,0.037,Cats,Simbad,5.0465833,-3.4005833
F,00171,g0020127-215921,1,J00201271-2159203,52878.66,0.0539,8.3,11.0,130.2,25.2,0.084,Cats,Simbad,5.0529583,-21.9890556
F,00172,g0020128-494032,1,J00201281-4940326,52967.47,0.0435,18.4,16.5,212.0,14.6,0.030,Cats,Simbad,5.0532917,-49.6756667
F,00173,g0020265-020643,1,J00202649-0206429,52584.43,0.0397,13.1,12.4,195.8,22.1,0.049,Cats,Simbad,5.1104583,-2.1118889
F,00174,g0020281-495632,1,J00202806-4956319,52967.47,0.0333,10.8,11.8,161.0,27.4,0.074,Cats,Simbad,5.1168750,-49.9422222
F,00175,g0020374-131719,1,J00203733-1317189,52583.43,0.0548,10.4,8.2,158.6,34.0,0.093,Cats,Simbad,5.1556250,-13.2886667
F,00176,g0020403-735523,1,J00204041-7355233,53668.48,0.0490,15.7,18.1,104.2,15.6,0.065,Cats,Simbad,5.1680417,-73.9230833
