2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks,d_mpc,M_K,M_pred,residual,mu_fj,d_fj_mpc
J15295779-1346067,13.663,0.182,4.54,12.803,0.26,12.568,0.18,g1529578-134607,1,,15.49939,-13.76861,15904,0.041,0.119,0.039,3.612,3.64,3.795,2.22,0.0,,,,,7.9586,0.0244,0,1,0,225.55665862998154,-24.19827826188098,-24.223877927673012,0.025599665792032766,36.79187792767301,228.2315005070146
J15301708-3147012,14.129,0.272,6.0,13.236,0.373,12.912,0.408,g1530171-314701,1,p,15.50475,-31.78364,14428,0.092,0.193,0.228,3.255,3.244,3.208,2.134,0.0,,,,,,,0,0,0,204.62345766557934,-23.642777094846416,-23.941700366107924,0.29892327126150775,36.85370036610792,234.82269780648832
J15301875-1312150,13.174,0.346,6.0,12.486,0.323,11.999,0.456,g1530187-131215,1,,15.50521,-13.20414,13235,0.13,0.107,0.24,3.463,3.625,3.468,2.289,1.5,,,,,22.667,0.0031,1,1,1,187.70387179123526,-24.36836615480162,-24.450276203812443,0.08191004901082266,36.449276203812445,194.91947849588144
J15301983-0145569,13.679,0.265,6.0,13.024,0.22,12.72,0.172,g1530198-014557,1,p,15.50551,-1.76586,11582,-0.006,-0.051,-0.099,3.417,3.609,3.748,2.2,0.0,,,,,9.3677,0.0227,0,0,0,164.26038859736207,-23.35766422960156,-24.158255238936945,0.8005910093353847,36.878255238936944,237.4931281120232
J15302747-2011467,12.876,0.488,1.95,12.152,0.481,11.911,0.47,g1530275-201147,1,p,15.50763,-20.19639,7509,0.036,0.029,0.018,3.258,3.408,3.467,2.073,2.0,,,,,2.9257,0.1645,1,1,1,106.49553254857466,-23.22565694825422,-23.741551165462923,0.5158942172087038,35.652551165462924,135.05486498724284
J15303086-0216328,12.47,0.46,3.85,11.705,0.464,11.503,0.394,g1530309-021633,1,p,15.50858,-2.27589,8584,0.064,0.068,-0.002,3.498,3.636,3.79,2.096,1.0,,,,,3.0103,0.1811,1,1,1,121.74159693660472,-23.924194971404262,-23.8170172575094,-0.1071777138948633,35.3200172575094,115.8786565431971
J15303730-4100154,12.767,0.517,5.71,12.176,0.386,11.702,0.492,g1530373-410016,1,p,15.51037,-41.00436,14988,0.352,0.221,0.327,3.306,3.64,3.522,2.287,0.0,,,,,4.1576,0.1297,1,1,1,212.5655935328322,-24.93546484872359,-24.443713934938835,-0.491750913784756,36.14571393493883,169.48949550415057
J15303952-0212448,11.671,0.911,1.5,10.93,0.918,10.63,0.908,g1530395-021245,1,p,15.51098,-2.21242,8464,0.509,0.516,0.506,2.915,3.038,3.111,2.03,4.0,,,,,3.2142,0.1572,0,0,0,120.03971067933625,-24.766624700070338,-23.60046238468038,-1.1661623153899576,34.23046238468038,70.16046794192673
J15315346-3110159,13.387,0.236,2.86,12.528,0.289,12.371,0.234,g1531534-311016,1,p,15.53151,-31.17111,6902,-0.252,-0.199,-0.254,3.592,3.662,3.771,2.181,2.0,,,,,7.1338,0.0411,1,1,1,97.88682456389164,-22.58262120139213,-24.095913684637683,1.5132924832455537,36.46691368463768,196.50913181672
J15322312-0645528,11.949,0.939,4.93,11.496,0.725,11.24,0.716,g1532231-064553,1,p,15.53975,-6.76467,11342,0.659,0.445,0.436,2.753,3.205,3.249,2.162,0.0,,,,,5.9997,0.0486,1,1,1,160.85661608282513,-24.792194641364688,-24.03357213033842,-0.7586225110262674,35.27357213033842,113.42647252390043
